,school,type,address,city,county,zip,nurse,enrolled,dtap,polio,mmr,hepb,var,exempt_dtap,exempt_polio,exempt_mmr,exempt_hepb,exempt_var,year
769,Maricopa Village Christian School,Private,8129 W. Baseline Rd.,Laveen,Maricopa,85339.0,N,<20,,,,,,,,,,,2015
770,Marilyn Thiele Wilson School,Public,5619 E Glade Ave.,Mesa,Maricopa,85206.0,Y,115,90.40%,90.40%,93.00%,93.00%,80.00%,6.10%,6.10%,6.10%,4.30%,0.00%,2015
771,Marion Donaldson Elementary School,Public,2040 W Omar Dr. ,Tucson,Pima,85704.0,N,44,100%,100%,100%,100%,97.70%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
772,Marjorie W Estes Elementary School,Public,11279 W. Grier Rd.,Marana,Pima,85653.0,N,119,100%,98.30%,99.20%,99.20%,96.60%,0.00%,0.00%,0.00%,0.00%,0.80%,2015
773,Marley Park Elementary,Public,15042 West Sweetwater Rd.,Surprise,Maricopa,85379.0,N,79,91.10%,91.10%,91.10%,92.40%,64.60%,7.60%,7.60%,7.60%,7.60%,7.60%,2015
774,Marshall Elementary School,Public,9066 E 29th St.,Tucson,Pima,85710.0,Y,39,97.40%,100%,100%,97.40%,92.30%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
775,Marshall Ranch Elementary School,Public,12995 N. Marshall Ranch Dr. ,Glendale,Maricopa,85304.0,Y,65,95.40%,100%,96.90%,98.50%,81.50%,0.00%,0.00%,0.00%,1.50%,0.00%,2015
776,Mary A Otondo Elementary School,Public,2251 Otondo Dr.,Yuma,Yuma,85365.0,N,110,100%,100%,100%,100%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
777,Mary Belle Mccorkle Academy Of Excellence Pre-k-8,Public,4455 S Mission Rd.,Tucson,Pima,85746.0,Y,92,98.90%,98.90%,97.80%,97.80%,96.70%,1.10%,1.10%,2.20%,2.20%,1.10%,2015
778,Mary C O'Brien Elementary School,Public,1400 N. Eleven Mile Corner Rd.,Casa Grande,Pinal,85194.0,Y,<20,,,,,,,,,,,2015
779,Mary L Welty Elementary School,Public,1050 W Cimarron St.,Nogales,Santa Cruz,85621.0,Y,61,98.40%,100%,98.40%,100%,91.80%,1.60%,0.00%,1.60%,0.00%,0.00%,2015
780,Mary Mcleod Bethune School-k And 6,Public,1310 S 15th Ave.,Phoenix,Maricopa,85007.0,Y,52,98.10%,98.10%,98.10%,100%,98.10%,1.90%,1.90%,1.90%,0.00%,1.90%,2015
781,Mary Velasquez Riley Seven Mile Elementary School,Public,P. O. Box 190,Whiteriver,Navajo,85941.0,N,116,100%,98.30%,97.40%,99.10%,95.70%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
782,Maryland Elementary School,Public,6503 N 21st Ave.,Phoenix,Maricopa,85015.0,N,109,90.80%,95.40%,94.50%,98.20%,89.90%,2.80%,2.80%,3.70%,0.90%,1.80%,2015
783,Maryvale Preparatory Academy,Public,6301 W Indian School Rd.,Phoenix,Maricopa,85018.0,N,49,98.00%,98.00%,98.00%,98.00%,98.00%,2.00%,2.00%,2.00%,2.00%,2.00%,2015
784,Masada Charter School,Charter,P.O. Box 2277,Centennial Park,Mohave,86021.0,N,56,30.40%,33.90%,37.50%,37.50%,28.60%,42.90%,42.90%,42.90%,42.90%,42.90%,2015
785,Math And Science Success Academy,Charter,434 W Lerdo Rd.,Tucson,Pima,85756.0,N,51,100%,100%,100%,100%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
786,Maurice C Cash School,Public,3851 W Roeser Rd.,Phoenix,Maricopa,85041.0,N,112,98.20%,96.40%,96.40%,99.10%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
787,Maxine O Bush School,Public,602 E. Siesta Dr.,Phoenix,Maricopa,85042.0,Y,47,100%,100%,100%,100%,91.50%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
788,Mayer Elementary School,Public,P.O. Box 1059,Mayer,Yavapai,86333.0,N,37,81.10%,81.10%,81.10%,83.80%,75.70%,18.90%,18.90%,18.90%,16.20%,16.20%,2015
789,Mccartney Ranch Elementary School,Public,2631 N Brown Ave.,Casa Grande,Pinal,85122.0,Y,99,97.00%,97.00%,99.00%,100%,96.00%,1.00%,1.00%,1.00%,0.00%,0.00%,2015
790,Mcdowell Mountain Elementary School,Public,14825 N Fayette Dr.,Fountain Hills,Maricopa,85268.0,N,68,97.10%,97.10%,98.50%,95.60%,89.70%,2.90%,2.90%,1.50%,4.40%,2.90%,2015
791,Mcnary Elementary School,Public,P.O. Box 598,Mcnary,Apache,85930.0,N,<20,,,,,,,,,,,2015
792,Mcneal Elementary,Public,P.O. Box 8,Mcneal,Cochise,85617.0,N,<20,,,,,,,,,,,2015
793,Melvin E. Sine Elementary School,Public,4932 West Myrtle Ave.,Glendale,Maricopa,85301.0,Y,62,96.80%,96.80%,100%,100%,98.40%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
794,Mendoza Elementary School,Public,5831 E Mclellan Rd.,Mesa,Maricopa,85205.0,Y,44,100%,100%,100%,97.70%,86.40%,0.00%,0.00%,0.00%,2.30%,0.00%,2015
795,Mercury Mine Elementary,Public,9640 N. 28th  St.,Phoenix,Maricopa,85028.0,Y,86,96.50%,97.70%,98.80%,98.80%,87.20%,2.30%,1.20%,0.00%,1.20%,2.30%,2015
796,Meridian Elementary,Public,3900 South Mountain Rd.,Mesa,Maricopa,85212.0,Y,81,98.80%,98.80%,98.80%,98.80%,84.00%,1.20%,1.20%,1.20%,1.20%,1.20%,2015
797,Mesa Arts Academy,Charter,221 W 6th Ave.,Mesa,Maricopa,85210.0,N,25,0.00%,96.00%,84.00%,100%,80.00%,100%,4.00%,0.00%,0.00%,0.00%,2015
798,Mesa Christian Academy,Private,7918 E 1st Ave.,Mesa,Maricopa,85208.0,N,<20,,,,,,,,,,,2015
799,Mesa Montessori,Private,2830 S Carriage Ln.,Mesa,Maricopa,85202.0,N,<20,,,,,,,,,,,2015
800,Mesa Verde Elementary School,Public,1661 W. Sage St.,Tucson,Pima,85704.0,N,55,94.50%,96.40%,98.20%,96.40%,89.10%,1.80%,1.80%,1.80%,1.80%,1.80%,2015
801,Mesa View Elementary School,Public,P.O. Box 587,Chinle,Apache,86503.0,N,60,100%,100%,100%,100%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
802,Mesquite Elementary School (Casa Grande),Public,129 N Arizola Rd.,Casa Grande,Pinal,85222.0,Y,72,93.10%,94.40%,94.40%,97.20%,87.50%,4.20%,4.20%,4.20%,1.40%,1.40%,2015
803,Mesquite Elementary School (Gilbert),Public,1101 E Mesquite St. ,Gilbert,Maricopa,85296.0,Y,71,98.60%,98.60%,98.60%,98.60%,88.70%,1.40%,1.40%,1.40%,1.40%,1.40%,2015
804,Mesquite Elementary School (Tucson),Charter,9455 E Rita Rd.,Tucson,Pima,85747.0,N,113,96.50%,96.50%,96.50%,97.30%,93.80%,3.50%,3.50%,3.50%,2.70%,3.50%,2015
805,Mesquite Elementary School (Yuma),Public,4451 W 28th St.,Yuma,Yuma,85364.0,N,74,97.30%,97.30%,97.30%,97.30%,97.30%,2.70%,2.70%,2.70%,2.70%,2.70%,2015
806,Metcalf Elementary School,Public,905 Fairbanks Rd.,Morenci,Greenlee,85540.0,N,139,96.40%,96.40%,95.00%,97.80%,97.10%,2.20%,2.20%,2.20%,2.20%,2.20%,2015
807,Mexicayotl Academy,Charter,667 N 7th Ave.,Tucson,Pima,85705.0,N,22,100%,100%,100%,100%,86.40%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
808,Mexicayotl Charter School,Charter,2059 N Grand Ave.,Nogales,Santa Cruz,85621.0,N,24,100%,100%,100%,100%,54.20%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
809,Michael Anderson School,Public,45 S. 3rd Ave.,Avondale,Maricopa,85302.0,Y,93,100%,100%,100%,100%,98.90%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
810,Midtown Primary School,Charter,4735 North 19th Ave.,Phoenix,Maricopa,85015.0,N,24,95.80%,87.50%,87.50%,91.70%,91.70%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
811,Miles-exploratory Learning Center,Public,1400 E Broadway Blvd.,Tucson,Pima,85719.0,Y,28,96.40%,96.40%,100%,96.40%,89.30%,3.60%,3.60%,0.00%,3.60%,3.60%,2015
812,Milestones Charter School,Charter,4201 E Robert E Lee St,Phoenix,Maricopa,85032.0,N,64,92.20%,92.20%,92.20%,92.20%,92.20%,7.80%,7.80%,7.80%,7.80%,7.80%,2015
813,Miller Elementary School,Public,6951 S Camino De La Tierra,Tucson,Pima,85746.0,Y,82,100%,100%,98.80%,100%,100%,0.00%,0.00%,1.20%,0.00%,0.00%,2015
814,Mingus Springs Charter School,Charter,3600 N. Sunset Dr.,Chino Valley,Yavapai,86323.0,N,<20,,,,,,,,,,,2015
815,Mirage Elementary School,Public,3910 W Grovers Ave. ,Glendale,Maricopa,85308.0,Y,82,96.30%,96.30%,97.60%,92.70%,90.20%,3.70%,2.40%,2.40%,4.90%,1.20%,2015
816,Mis Manos Montessori School- Kindergarten,Private,100 W Magee Rd.,Tucson,Pima,85704.0,N,<20,,,,,,,,,,,2015
817,Mission Manor Elementary School,Public,600 W Santa Rosa St. ,Tucson,Pima,85706.0,Y,100,100%,100%,99.00%,100%,95.00%,0.00%,0.00%,1.00%,0.00%,0.00%,2015
818,Mission Montessori Academy,Charter,12990 E Shea Blvd.,Scottsdale,Maricopa,85259.0,N,40,90.00%,85.00%,65.00%,85.00%,47.50%,10.00%,12.50%,10.00%,12.50%,12.50%,2015
819,Mission View Elementary,Public,2600 S. 8th Ave.,Tucson,Pima,85713.0,Y,35,100%,100%,100%,100%,97.10%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
820,Mitchell Elementary School,Public,1700 N 41st Ave.,Phoenix,Maricopa,85009.0,N,116,96.60%,98.30%,95.70%,100%,94.80%,0.00%,0.00%,0.00%,0.00%,0.90%,2015
821,Mobile Elementary School,Public,42798 S 99th Ave.,Maricopa,Maricopa,85139.0,N,<20,,,,,,,,,,,2015
822,Model Creek Elementary,Public,18912 Hays Ranch Rd.,Peeples Valley,Yavapai,86332.0,N,<20,,,,,,,,,,,2015
823,Mohave Accelerated Learning Center,Charter,625 Marina Blvd.,Bullhead City,Mohave,86442.0,N,73,95.90%,97.30%,95.90%,97.30%,79.50%,2.70%,2.70%,2.70%,2.70%,2.70%,2015
824,Mohave Valley Elementary School,Public,1419 Willow Dr. ,Mohave Valley,Mohave,86440.0,Y,126,88.90%,87.30%,92.10%,96.80%,85.70%,2.40%,12.70%,7.90%,2.40%,2.40%,2015
825,Mohawk Valley School District 17,Public,5151 S. Ave. ,Roll,Yuma,85347.0,N,<20,,,,,,,,,,,2015
826,Monte Vista Elementary School,Public,3501 E Osborn Rd.,Phoenix,Maricopa,85018.0,Y,101,99.00%,100%,99.00%,99.00%,100%,1.00%,0.00%,1.00%,0.00%,0.00%,2015
827,Montebello School,Public,5725 N 27th Ave.,Phoenix,Maricopa,85017.0,N,123,99.20%,99.20%,99.20%,99.20%,89.40%,0.80%,0.80%,0.80%,0.80%,0.80%,2015
828,Montessori Academy,Charter,6050 N. Invergorgon Rd.,Paradise Valley,Maricopa,85253.0,N,24,83.30%,87.50%,83.30%,75.00%,87.50%,16.70%,12.50%,16.70%,25.00%,12.50%,2015
829,Montessori Children's House (Camp Verde),Private,2400 W Datsi St.,Camp Verde,Yavapai,86322.0,N,<20,,,,,,,,,,,2015
830,Montessori Children's House (Phoenix),Private,516 W. Bethany Home Rd.,Phoenix,Maricopa,85383.0,N,<20,,,,,,,,,,,2015
831,"Montessori Day Public School, Chartered",Charter,9215 N. 14th St.,Phoenix,Maricopa,85020.0,N,32,93.80%,90.60%,93.80%,93.80%,75.00%,6.30%,6.30%,6.30%,6.30%,6.30%,2015
832,Montessori Day Public Schools Chartered - Lakeside,Charter,1700 W Warner Rd.,Chandler,Maricopa,85224.0,N,23,100%,100%,100%,100%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
833,Montessori De Santa Cruz,Private,P.O. Box 4706,Tubac,Santa Cruz,85646.0,N,<20,,,,,,,,,,,2015
834,Montessori De Santa Cruz Charter School,Charter,P.O. Box 4706,Tubac,Santa Cruz,85646.0,N,<20,,,,,,,,,,,2015
835,Montessori Educare Academy,Private,1244 E Chandler Blvd.,Phoenix,Maricopa,85048.0,N,<20,,,,,,,,,,,2015
836,Montessori Education Centre (Main Campus),Charter,2834 E. Southern Ave.,Mesa,Maricopa,85204.0,N,33,78.80%,78.80%,78.80%,72.70%,63.60%,21.20%,21.20%,21.20%,27.30%,24.20%,2015
837,Montessori Education Centre (North Campus),Charter,815 N. Gilbert Rd. ,Mesa,Maricopa,85203.0,N,47,74.50%,72.30%,70.20%,76.60%,63.80%,25.50%,27.70%,29.80%,23.40%,17.00%,2015
838,Montessori House Charter School,Charter,2415 N. Terrace Circle,Mesa,Maricopa,85203.0,N,<20,,,,,,,,,,,2015
839,Montessori International Primary School,Private,1230 N Gilbert Rd.,Mesa,Maricopa,85203.0,N,<20,,,,,,,,,,,2015
840,Montessori International School - Brown Road Campus,Private,2401 East Brown Rd.,Mesa,Maricopa,85213.0,N,<20,,,,,,,,,,,2015
841,Montessori Kingdom Of Learning Kg-jr High,Private,13111 North 94th Dr. ,Peoria,Maricopa,85381.0,N,<20,,,,,,,,,,,2015
842,Montessori School Of Flagstaff (Sunnyside Campus),Private,2502 N. East St.,Flagstaff,Coconino,86004.0,N,21,100%,100%,100%,100%,95.20%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
843,Montessori Schools Of Flagstaff (Westside Campus),Charter,575 W. University Ave.,Flagstaff,Coconino,86001.0,N,<20,,,,,,,,,,,2015
844,Moon Mountain School,Public,13425 N 19th Ave.,Phoenix,Maricopa,85029.0,N,91,96.70%,96.70%,97.80%,96.70%,91.20%,2.20%,2.20%,2.20%,2.20%,1.10%,2015
845,Morgan Maxwell K-8,Public,2802 W. Anklam Rd.,Tucson,Pima,85745.0,Y,47,100%,100%,100%,100%,91.50%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
846,Morristown Elementary,Public,25950 W. Rockaway Hills Dr. ,Morristown,Maricopa,85342.0,N,<20,,,,,,,,,,,2015
847,Most Holy Trinity Catholic School,Private,535 East Alice Ave.,Phoenix,Maricopa,85020.0,Y,22,95.50%,95.50%,95.50%,100%,95.50%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
848,Mount Turnbull Elementary,Public,10 Education Ln.,Bylas,Graham,85530.0,Y,22,100%,100%,100%,100%,95.50%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
849,Mountain Charter School,Charter,311 W Cattle Drive Trail,Flagstaff,Coconino,86001.0,N,33,93.90%,93.90%,87.90%,84.80%,63.60%,6.10%,6.10%,12.10%,15.20%,15.20%,2015
850,Mountain Meadows Primary,Public,PP.O. Box 40,Overgaard,Navajo,85933.0,Y,38,81.60%,81.60%,78.90%,94.70%,68.40%,13.20%,13.20%,15.80%,5.30%,15.80%,2015
851,Mountain Oak Charter School,Charter,1455 Willow Creek Rd.,Prescott,Yavapai,86301.0,N,<20,,,,,,,,,,,2015
852,Mountain Shadows Elementary,Public,19602 N. 45th Ave.,Glendale,Maricopa,85308.0,Y,81,96.30%,97.50%,95.10%,97.50%,87.70%,3.70%,2.50%,4.90%,2.50%,3.70%,2015
853,Mountain View Elementary,Public,1374 W. Frontage Rd.,Rio Rico,Santa Cruz,85648.0,Y,61,100%,100%,100%,100%,91.80%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
854,Mountain View Elementary School (Phoenix),Public,801 W Peoria Ave.,Phoenix,Maricopa,85029.0,N,158,99.40%,98.70%,98.10%,99.40%,91.10%,0.60%,1.30%,1.90%,0.60%,1.30%,2015
855,Mountain View Elementary School (Prescott Valley),Public,8601 E Loos Dr.,Prescott Valley,Yavapai,86314.0,Y,59,86.40%,86.40%,86.40%,86.40%,86.40%,13.60%,13.60%,13.60%,13.60%,13.60%,2015
856,Mountain View Preparatory,Public,2939 E Del Rio Dr.,Cottonwood,Yavapai,86326.0,Y,46,97.80%,95.70%,97.80%,93.50%,84.80%,2.20%,4.30%,2.20%,6.50%,0.00%,2015
857,Mountain View School (Waddell),Public,18302 W Burton Ave.,Waddell,Maricopa,85355.0,Y,80,96.30%,96.30%,95.00%,95.00%,73.80%,3.80%,3.80%,5.00%,5.00%,2.50%,2015
858,Mountain Vista School (Oracle),Public,725 N Carpenter Dr.,Oracle,Pinal,85623.0,N,39,97.40%,97.40%,100%,97.40%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
859,Moya Elementary School,Public,406 N 41st Ave.,Phoenix,Maricopa,85009.0,N,80,100%,98.80%,97.50%,98.80%,92.50%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
860,Mt Tipton Elementary School,Public,16500 Pierce Ferry Rd.,Dolan Springs,Mohave,86441.0,Y,<20,,,,,,,,,,,2015
861,Myers-ganoung Elementary School,Public,5000 E Andrew St.,Tucson,Pima,85711.0,Y,56,87.50%,87.50%,89.30%,92.90%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
862,Naco Elementary School,Public,P.O. Box 397,Naco,Cochise,85620.0,N,22,95.50%,100%,100%,100%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
863,Nadaburg Elementary School,Public,21419 W. Dove Valley Rd.,Wittmann,Maricopa,85342.0,N,42,97.60%,97.60%,95.20%,97.60%,97.60%,2.40%,2.40%,2.40%,2.40%,2.40%,2015
864,Nash Elementary School,Public,515 W. Kelso St.,Tucson,Pima,85705.0,N,96,93.80%,96.90%,96.90%,96.90%,95.80%,3.10%,3.10%,3.10%,3.10%,3.10%,2015
865,Nautlius Elementary School,Public,1425 Patrican Dr. ,Lake Havasu City,Mohave,86404.0,Y,47,97.90%,97.90%,95.70%,97.90%,93.60%,2.10%,0.00%,4.30%,2.10%,2.10%,2015
866,Navajo Elementary School,Public,4525 N Granite Reef Rd.,Scottsdale,Maricopa,85251.0,Y,55,94.50%,94.50%,92.70%,94.50%,90.90%,5.50%,5.50%,7.30%,5.50%,5.50%,2015
867,Navarrete Elementary,Public,6490 S Sun Groves Blvd.,Chandler,Maricopa,85249.0,N,80,97.50%,97.50%,97.50%,97.50%,76.30%,2.50%,2.50%,2.50%,2.50%,2.50%,2015
868,Naylor Middle School,Public,1701 S Columbus Blvd.,Tucson,Pima,85711.0,Y,49,100%,67.30%,85.70%,87.80%,71.40%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
869,Neely Traditional Academy,Public,321 W Juniper Ave.,Gilbert,Maricopa,85233.0,Y,119,95.00%,93.30%,93.30%,94.10%,87.40%,4.20%,4.20%,6.70%,3.40%,4.20%,2015
870,Nevitt Elementary School,Public,4525 E St. Anne St.,Phoenix,Maricopa,85042.0,Y,149,98.70%,98.70%,98.70%,98.70%,98.70%,1.30%,1.30%,1.30%,1.30%,1.30%,2015
871,New Covenant Preschool And Kindergarten,Private,15152 N. Frank Lloyd Wright Blvd.,Scottsdale,Maricopa,85260.0,N,<20,,,,,,,,,,,2015
872,New Horizon School For The Performing Arts,Charter,446 E Broadway Rd.,Mesa,Maricopa,85204.0,N,<20,,,,,,,,,,,2015
873,New River Elementary School,Public,48827 N Black Canyon Hwy,Phoenix,Maricopa,85087.0,Y,27,85.20%,85.20%,85.20%,92.60%,70.40%,11.10%,11.10%,14.80%,7.40%,0.00%,2015
874,New Vistas Center For Education,Private,670  N. Arizona Ave. Suite 35,Chandler,Maricopa,85225.0,N,37,91.90%,91.90%,91.90%,94.60%,91.90%,5.40%,5.40%,5.40%,5.40%,5.40%,2015
875,New World Educational Center Charter School,Charter,5818 N. 7th St.,Phoenix,Maricopa,85014.0,Y,<20,,,,,,,,,,,2015
876,Noah Webster Schools,Charter,7301 E Baseline Rd.,Mesa,Maricopa,85209.0,Y,153,84.30%,86.30%,86.30%,90.20%,81.70%,15.70%,13.70%,13.70%,9.80%,9.80%,2015
877,Noah Webster Schools -pima,Charter,5399 N. Pima Rd.,Scottsdale,Maricopa,85250.0,Y,98,75.50%,77.60%,77.60%,81.60%,76.50%,24.50%,22.40%,22.40%,18.40%,17.30%,2015
878,Norterra Canyon K-8 School,Public,2200 W Maya Way,Phoenix,Maricopa,85085.0,Y,96,85.40%,88.50%,84.40%,88.50%,77.10%,11.50%,11.50%,11.50%,11.50%,8.30%,2015
879,North Ranch Elementary School,Public,16406 North 61st Pl.,Scottsdale,Maricopa,85254.0,Y,68,94.10%,94.10%,94.10%,95.60%,83.80%,2.90%,5.90%,5.90%,4.40%,2.90%,2015
880,North Valley Christian Academy,Private,42101 N. 41st Dr. ,Anthem,Maricopa,85086.0,N,<20,,,,,,,,,,,2015
881,Northland Christian School,Private,8000 N Hwy 89,Flagstaff,Coconino,86004.0,N,<20,,,,,,,,,,,2015
882,Northwest Christian School,Private,16401 N. 43rd Ave.,Phoenix,Maricopa,85053.0,Y,82,89.00%,89.00%,90.20%,89.00%,82.90%,11.00%,11.00%,9.80%,11.00%,11.00%,2015
883,Nosotros Academy,Charter,440 N. Grande Ave.,Tucson,Pima,85745.0,N,<20,,,,,,,,,,,2015
884,O C Johnson School,Public,1201 12th St.,Yuma,Yuma,85367.0,N,58,96.60%,96.60%,98.30%,98.30%,98.30%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
885,Oak Creek School,Public,1 North Willard St. ,Cottonwood,Yavapai,86326.0,N,23,87.00%,87.00%,87.00%,87.00%,82.60%,13.00%,13.00%,13.00%,13.00%,13.00%,2015
886,Oak Tree Elementary,Public,505 W Houston Ave.,Gilbert,Maricopa,85233.0,Y,84,96.40%,96.40%,95.20%,97.60%,90.50%,3.60%,3.60%,4.80%,2.40%,1.20%,2015
887,Oakwood Elementary,Public,12900 N 71st Ave.,Peoria,Maricopa,85381.0,Y,106,96.20%,96.20%,96.20%,96.20%,96.20%,2.80%,2.80%,2.80%,2.80%,2.80%,2015
888,Oasis Elementary School,Public,7841 W Sweetwater Ave. ,Peoria,Maricopa,85381.0,Y,72,97.20%,98.60%,97.20%,98.60%,86.10%,2.80%,1.40%,2.80%,1.40%,2.80%,2015
889,Ochoa Elementary School,Public,101 W 25th St.,Tucson,Pima,85713.0,Y,37,94.60%,94.60%,94.60%,94.60%,86.50%,5.40%,5.40%,5.40%,5.40%,2.70%,2015
890,Ocotillo Early Learning Center,Public,5702 South Campbell Ave.,Tucson,Pima,85706.0,Y,124,93.50%,95.20%,95.20%,96.00%,84.70%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
891,Ocotillo Ridge Elementary,Public,10170 S White Lightning Ln.,Vail,Pima,85641.0,N,76,97.40%,97.40%,97.40%,98.70%,81.60%,2.60%,2.60%,2.60%,1.30%,1.30%,2015
892,Ocotillo School,Public,3225 W Ocotillo Rd.,Phoenix,Maricopa,85017.0,N,103,99.00%,99.00%,98.10%,97.10%,95.10%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
893,Omega Alpha Academy,Charter,1402 San Antonio Ave.,Douglas,Cochise,85607.0,N,36,88.90%,91.70%,91.70%,94.40%,80.60%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
894,Open Doors Community School,Charter,13644 N. Sandario Rd.,Marana,Pima,85653.0,N,24,91.70%,91.70%,95.80%,100%,91.70%,4.20%,4.20%,0.00%,0.00%,0.00%,2015
895,Orange Grove Elementary,Public,3525 W County 16 1/2 St.,Somerton,Yuma,85350.0,Y,60,100%,100%,100%,100%,98.30%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
896,Orangewood Elementary School,Public,7337 N 19th Ave.,Phoenix,Maricopa,85021.0,N,82,95.10%,96.30%,96.30%,98.80%,91.50%,2.40%,2.40%,2.40%,1.20%,2.40%,2015
897,Oro Grande Elementary School,Public,1250 Pawnee Dr.,Lake Havasu City,Mohave,86406.0,Y,49,98.00%,98.00%,95.90%,98.00%,95.90%,2.00%,2.00%,2.00%,2.00%,2.00%,2015
898,Our Lady Of Mount Carmel School,Private,2117 S Rural Rd.,Tempe,Maricopa,85282.0,Y,42,97.60%,97.60%,97.60%,97.60%,95.20%,2.40%,2.40%,2.40%,2.40%,2.40%,2015
899,Our Lady Of Perpetual Help  Elementary School (Glendale),Private,7521 N. 57th Ave.,Glendale,Maricopa,85301.0,N,23,91.30%,95.70%,65.20%,95.70%,60.90%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
900,Our Lady Of Perpetual Help Catholic School (Scottsdale),Private,3801 N. Miller Rd.,Scottsdale,Maricopa,85251.0,N,<20,,,,,,,,,,,2015
901,Our Mother Of Sorrows Catholic School,Private,1800 S Kolb Rd.,Tucson,Pima,85710.0,Y,27,100%,100%,100%,100%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
902,Owens School District No. 6,Public,P.O.. Bbox 38,Wikieup,Mohave,85360.0,N,<20,,,,,,,,,,,2015
903,Oyama Elementary,Public,2700 S La Cholla Blvd. ,Tucson,Pima,85713.0,Y,51,94.10%,94.10%,94.10%,94.10%,92.20%,5.90%,5.90%,5.90%,5.90%,5.90%,2015
904,P T Coe Elementary School,Public,3801 W Roanoke Ave. ,Phoenix,Maricopa,85009.0,N,143,95.80%,97.90%,98.60%,97.90%,93.70%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
905,Paideia Academies,Charter,7777 S. 15th Terrace,Phoenix,Maricopa,85042.0,Y,97,90.70%,90.70%,90.70%,91.80%,90.70%,6.20%,6.20%,6.20%,5.20%,6.20%,2015
906,Painted Rock Academy,Charter,14800 N. 25th Dr. ,Phoenix,Maricopa,85023.0,Y,76,94.70%,94.70%,94.70%,94.70%,36.80%,5.30%,5.30%,5.30%,5.30%,5.30%,2015
907,Painted Sky Elementary School,Public,12620 N Woodburne Ave.,Tucson,Pima,85755.0,N,66,98.50%,98.50%,98.50%,100%,93.90%,1.50%,1.50%,1.50%,0.00%,3.00%,2015
908,Palm Lane Elementary School,Public,2043 N 64th Dr.,Phoenix,Maricopa,85035.0,Y,145,97.90%,100%,100%,99.30%,98.60%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
909,Palm Valley Elementary,Public,2801 N 135th Ave.,Goodyear,Maricopa,85340.0,Y,108,95.40%,95.40%,94.40%,95.40%,83.30%,4.60%,4.60%,5.60%,4.60%,3.70%,2015
910,Palm Valley Montessori School,Private,629 N. Sarival Ave.,Goodyear,Maricopa,85338.0,N,<20,,,,,,,,,,,2015
911,Palmcroft Elementary School,Public,901 Palmcroft Dr.,Yuma,Yuma,85364.0,N,91,97.80%,97.80%,98.90%,98.90%,96.70%,1.10%,1.10%,1.10%,1.10%,1.10%,2015
912,Palms Christian School,Private,17475 West Bell Rd.,Surprise,Maricopa,85374.0,N,25,28.00%,32.00%,32.00%,88.00%,32.00%,12.00%,12.00%,12.00%,12.00%,12.00%,2015
913,Palo Verde Elementary School (Casa Grande),Public,220 W. Kortsen Rd.,Casa Grande,Pinal,85122.0,N,63,93.70%,93.70%,95.20%,95.20%,88.90%,4.80%,4.80%,4.80%,4.80%,4.80%,2015
914,Palo Verde Elementary School (Palo Verde),Public,P.O. Box 108,Palo Verde,Maricopa,85343.0,N,40,92.50%,92.50%,92.50%,100%,90.00%,5.00%,5.00%,5.00%,0.00%,5.00%,2015
915,Palominas Elementary School,Public,10385 E Hwy 92,Hereford,Cochise,85615.0,Y,23,95.70%,95.70%,95.70%,95.70%,91.30%,4.30%,4.30%,4.30%,4.30%,4.30%,2015
916,Palomino Primary School,Public,15833 North 29th St.,Phoenix,Maricopa,85032.0,N,148,96.60%,98.00%,98.00%,98.00%,93.90%,1.40%,1.40%,1.40%,1.40%,0.70%,2015
