SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE DTAP,% EXEMPT DTAP,% COMPLIANCE DTAP,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
COUNTRY PLACE ELEMENTARY,10207 W COUNTRY PLACE BLVD,TOLLESON,MARICOPA,85353,NO,,PUBLIC,94,96%,2%,100%,99%,1%,100%,98%,2%,100%,99%,1%,100%,97%,3%,100%,2%,0%,1%
COUNTRYSIDE ELEMENTARY,15034 N PARKVIEW PL,SURPRISE,MARICOPA,85379,YES,LPN,PUBLIC,47,98%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
COYOTE HILLS ELEMENTARY SCHOOL,21180 N 87TH AVE,PEORIA,MARICOPA,85382,YES,RN,PUBLIC,61,93%,2%,97%,93%,2%,97%,95%,2%,98%,95%,2%,97%,98%,2%,100%,2%,0%,2%
COYOTE SPRINGS ELEMENTARY SCHOOL,8101 E HWY 89A,PRESCOTT VALLEY,YAVAPAI,86314,YES,RN,PUBLIC,76,97%,1%,100%,97%,1%,99%,97%,1%,99%,99%,1%,100%,99%,1%,100%,1%,3%,1%
COYOTE TRAIL ELEMENTARY SCHOOL,8000 N SILVERBELL RD,TUCSON,PIMA,85743,NO,,PUBLIC,75,96%,4%,100%,96%,4%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,4%,1%,1%
CRADLEBOARD SCHOOL,HOLLY GRAPE RD & N POWER LIN,WHITERIVER,NAVAJO,85941,NO,,PUBLIC,59,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
CRAGIN ELEMENTARY SCHOOL,2945 N TUCSON BLVD,TUCSON,PIMA,85716,YES,RN,PUBLIC,43,95%,2%,100%,95%,5%,100%,95%,5%,100%,98%,2%,100%,98%,2%,100%,2%,2%,2%
CRAYCROFT ELEMENTARY SCHOOL,5455 E LITTLETOWN RD,TUCSON,PIMA,85756,YES,RN,PUBLIC,122,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,3%,0%,3%
CREATE ACADEMY,2645 N 24TH ST,PHOENIX,MARICOPA,85008,NO,,CHARTER,22,86%,14%,100%,86%,14%,100%,86%,14%,100%,86%,14%,100%,86%,14%,100%,14%,0%,9%
CREATIVE BRIDGES COOPERATIVE PRESCHOOL,7321 N 10TH ST,PHOENIX,MARICOPA,85020,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CREO SCHOOL,1475 S HIGLEY RD,GILBERT,MARICOPA,85296,NO,,PRIVATE,30,80%,17%,100%,80%,17%,100%,80%,20%,100%,80%,17%,100%,80%,17%,97%,20%,0%,17%
CRISMON ELEMENTARY SCHOOL,825 W MEDINA AVE,MESA,MARICOPA,85210,YES,RN,PUBLIC,80,95%,1%,98%,95%,1%,98%,96%,1%,98%,99%,1%,100%,99%,1%,100%,1%,0%,0%
CROWN CHARTER SCHOOL,12450 W MARYLAND AVE,LITCHFIELD PARK,MARICOPA,85340,NO,,CHARTER,74,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,1%,0%,1%
CROWN KING ELEMENTARY SCHOOL,PO BOX 188,CROWN KING,YAVAPAI,86343,NO,,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CURIEL SCHOOL,1000 N CURIEL ST,ELOY,PINAL,85131,YES,RN,PUBLIC,98,96%,2%,100%,96%,2%,100%,98%,2%,100%,100%,0%,100%,100%,0%,100%,0%,2%,0%
CURRY ELEMENTARY SCHOOL,1974 E MEADOW DR,TEMPE,MARICOPA,85282,YES,RN,PUBLIC,103,91%,5%,100%,92%,5%,100%,95%,5%,100%,94%,5%,100%,95%,5%,100%,5%,0%,5%
DAN HINTON ACCOMMODATION SCHOOL,146 E. 4TH ST,PIMA,GRAHAM,85543,NO,,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DAVID CROCKETT SCHOOL,501 N 36TH ST,PHOENIX,MARICOPA,85008,YES,LPN,PUBLIC,91,86%,3%,93%,87%,4%,96%,87%,3%,95%,95%,3%,98%,97%,3%,100%,3%,0%,1%
DAVIDSON ELEMENTARY SCHOOL,3950 E PARADISE FALLS DR,TUCSON,PIMA,85712,YES,RN,PUBLIC,34,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
DAVIS BILINGUAL MAGNET SCHOOL,500 W ST MARY'S RD,TUCSON,PIMA,85701,YES,RN,PUBLIC,66,98%,2%,100%,97%,3%,100%,97%,3%,100%,98%,2%,100%,97%,3%,100%,3%,0%,2%
DAYSPRING PRESCHOOL,1365 E ELLIOT RD,TEMPE,MARICOPA,85284,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEGRAZIA ELEMENTARY SCHOOL,5051 W OVERTON RD,TUCSON,PIMA,85742,YES,RN,PUBLIC,75,92%,5%,97%,93%,4%,97%,93%,4%,97%,95%,4%,99%,97%,3%,100%,5%,1%,4%
DESERT CANYON ELEMENTARY,10203 E MCDOWELL MOUNTAIN RANCH RD,SCOTTSDALE,MARICOPA,,YES,RN,CHARTER,72,96%,4%,100%,94%,6%,100%,94%,6%,100%,94%,6%,100%,93%,7%,100%,8%,0%,3%
DESERT CHRISTIAN K-8 SCHOOL,9415 E WRIGHTSTOWN RD,TUCSON,PIMA,85715,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DESERT GARDEN ELEMENTARY SCHOOL,7020 W OCOTILLO RD,GLENDALE,MARICOPA,85303,YES,LPN,PUBLIC,161,96%,1%,100%,98%,1%,100%,97%,2%,100%,96%,2%,99%,99%,1%,100%,2%,0%,1%
DESERT GARDEN MONTESSORI,5130 E WARNER RD,PHOENIX,MARICOPA,85044,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DESERT HARBOR ELEMENTARY SCHOOL,15585 N 91ST AVE,PEORIA,MARICOPA,,YES,RN,CHARTER,72,97%,0%,99%,97%,0%,99%,92%,0%,93%,97%,0%,97%,99%,0%,99%,0%,0%,0%
DESERT HEIGHTS ELEMENTARY CHARTER SCHOOL,5821 W BEVERLY LN,GLENDALE,MARICOPA,85306,NO,,CHARTER,97,87%,13%,100%,88%,12%,100%,86%,13%,100%,95%,5%,100%,90%,10%,100%,5%,0%,5%
DESERT HORIZON ELEMENTARY SCHOOL,8525 W OSBORN RD,PHOENIX,MARICOPA,85037,NO,,PUBLIC,91,91%,4%,96%,93%,4%,98%,95%,4%,99%,97%,3%,100%,99%,0%,99%,4%,0%,3%
DESERT MARIGOLD SCHOOL,6210 S 28TH ST,PHOENIX,MARICOPA,85042,NO,,CHARTER,36,42%,58%,100%,36%,61%,97%,42%,58%,100%,39%,61%,100%,44%,56%,100%,64%,0%,56%
DESERT MEADOWS ELEMENTARY SCHOOL,6855 W MEADOWS LOOP E,LAVEEN,MARICOPA,85339,NO,,PUBLIC,61,98%,2%,100%,98%,2%,100%,97%,3%,100%,98%,2%,100%,98%,2%,100%,3%,0%,2%
DESERT MESA ELEMENTARY SCHOOL,2350 S AVENUE 7 1/2 E,YUMA,YUMA,,YES,RN,PUBLIC,105,98%,2%,100%,98%,2%,100%,98%,2%,100%,99%,1%,100%,99%,1%,100%,2%,0%,1%
DESERT MIRAGE ELEMENTARY SCHOOL,8605 W MARYLAND AVE,GLENDALE,MARICOPA,85305,NO,,PUBLIC,82,96%,1%,99%,98%,1%,100%,99%,1%,100%,99%,1%,100%,100%,0%,100%,1%,0%,1%
DESERT MOUNTAIN ELEMENTARY,22301 S HAWES RD,QUEEN CREEK,MARICOPA,85242,YES,RN,PUBLIC,95,87%,11%,100%,89%,9%,100%,87%,11%,100%,93%,7%,100%,91%,9%,100%,12%,1%,7%
DESERT MOUNTAIN SCHOOL,35959 NORTH 7TH AVENUE,PHOENIX,MARICOPA,85086,YES,RN,PUBLIC,62,94%,6%,100%,92%,8%,100%,90%,10%,100%,95%,5%,100%,95%,5%,100%,11%,0%,5%
DESERT OASIS ELEMENTARY SCHOOL-85037,8802 W MCDOWELL RD,PHOENIX,MARICOPA,85037,YES,LPN,PUBLIC,63,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
DESERT OASIS ELEMENTARY SCHOOL-85387,17161 W BAJADA RD,SURPRISE,MARICOPA,85387,NO,,PUBLIC,47,94%,6%,100%,94%,6%,100%,94%,6%,100%,94%,6%,100%,94%,6%,100%,6%,0%,6%
DESERT PALMS ELEMENTARY SCHOOL,11441 N 55TH AVE,GLENDALE,MARICOPA,85304,YES,LPN,PUBLIC,50,84%,10%,94%,84%,10%,94%,84%,10%,94%,90%,10%,100%,90%,10%,100%,10%,0%,10%
DESERT SAGE ELEMENTARY SCHOOL,4035 W ALAMEDA,GLENDALE,MARICOPA,85310,YES,RN,PUBLIC,99,95%,5%,100%,97%,3%,100%,95%,5%,100%,94%,5%,100%,97%,3%,100%,5%,1%,2%
DESERT SHADOWS ELEMENTARY SCHOOL,5902 E SWEETWATER AVE,SCOTTSDALE,MARICOPA,85254,YES,RN,PUBLIC,63,95%,0%,98%,97%,2%,100%,92%,3%,95%,97%,3%,100%,97%,3%,100%,5%,0%,2%
DESERT SHADOWS MONTESSORI,6709 E UNIVERSITY DR,MESA,MARICOPA,85205,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DESERT SKY COMMUNITY SCHOOL,1350 S ARCADIA AVE,TUCSON,PIMA,85712,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DESERT SONORA ELEMENTARY SCHOOL,301 N CARLISLE AVE,SOMERTON,YUMA,85350,YES,RN,PUBLIC,54,98%,0%,100%,100%,0%,100%,94%,2%,100%,100%,0%,100%,100%,0%,100%,2%,0%,0%
DESERT SPIRIT,7355 W ORANGEWOOD AVE,GLENDALE,MARICOPA,85303,YES,LPN,PUBLIC,69,93%,0%,93%,94%,0%,94%,96%,0%,96%,96%,0%,96%,91%,0%,91%,4%,1%,4%
DESERT SPRINGS ACADEMY,10129 E SPEEDWAY BLVD,TUCSON,PIMA,85748,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DESERT SPRINGS PREPARATORY ELEMENTARY SCHOOL,6010 E ACOMA DR,SCOTTSDALE,MARICOPA,85254,YES,RN,PUBLIC,42,88%,12%,100%,86%,14%,100%,86%,14%,100%,83%,17%,100%,86%,14%,100%,17%,0%,12%
DESERT STAR SCHOOL,2131 S 157TH AVE,GOODYEAR,MARICOPA,85338,YES,RN,PUBLIC,61,93%,5%,100%,93%,5%,100%,92%,7%,100%,92%,7%,100%,95%,5%,100%,5%,2%,5%
DESERT SUN CHILD DEVELOPMENT - KINDERGARTEN,1512 W ELLIOT RD,CHANDLER,MARICOPA,85224,NO,,PRIVATE,21,86%,14%,100%,76%,19%,95%,81%,14%,95%,76%,24%,100%,76%,24%,100%,24%,0%,14%
DESERT SUN ELEMENTARY SCHOOL,27880 N 64TH ST,SCOTTSDALE,MARICOPA,85266,NO,,PUBLIC,43,86%,14%,100%,86%,14%,100%,86%,14%,100%,81%,16%,100%,91%,9%,100%,16%,0%,7%
DESERT THUNDER SCHOOL,16750 W GARFIELD ST,GOODYEAR,MARICOPA,85338,YES,LPN,PUBLIC,99,92%,6%,99%,92%,6%,99%,91%,6%,99%,93%,6%,99%,98%,1%,99%,6%,0%,2%
DESERT TRAILS ELEMENTARY SCHOOL,4315 E CASHMAN DR,PHOENIX,MARICOPA,85050,YES,RN,PUBLIC,100,90%,10%,100%,90%,10%,100%,90%,10%,100%,90%,10%,100%,90%,10%,100%,10%,0%,10%
DESERT VALLEY ELEMENTARY,1066 MARINA BLVD,BULLHEAD CITY,MOHAVE,86442,NO,,PUBLIC,115,92%,6%,100%,91%,6%,100%,94%,6%,100%,94%,6%,100%,94%,6%,100%,6%,0%,6%
DESERT VALLEY ELEMENTARY SCHOOL,12901 N 63RD AVE,GLENDALE,MARICOPA,85304,YES,RN,PUBLIC,54,91%,4%,94%,96%,2%,98%,93%,4%,96%,96%,2%,98%,98%,2%,100%,4%,0%,2%
DESERT VIEW ACADEMY,2363 S KENNEDY LN,YUMA,YUMA,85366,NO,,CHARTER,168,98%,2%,100%,98%,2%,100%,98%,2%,100%,99%,1%,100%,98%,2%,100%,2%,0%,0%
DESERT VIEW ELEMENTARY,1508 N 10TH AVE,SAN LUIS,YUMA,85349,NO,,PUBLIC,92,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
DESERT VIEW ELEMENTARY SCHOOL,8621 N 3RD ST,PHOENIX,MARICOPA,85020,YES,RN,PUBLIC,48,96%,4%,100%,96%,4%,100%,94%,4%,100%,96%,4%,100%,96%,4%,100%,4%,0%,4%
DESERT VIEW LEARNING CENTER,4027 E LINCOLN DR,PARADISE VALLEY,MARICOPA,,NO,,PRIVATE,22,77%,14%,100%,77%,14%,100%,68%,14%,100%,77%,14%,100%,82%,14%,95%,14%,0%,14%
DESERT WILLOW ELEMENTARY SCHOOL,9400 E ESMOND LOOP,TUCSON,PIMA,85747,NO,,PUBLIC,100,97%,2%,100%,97%,2%,100%,97%,2%,100%,97%,2%,100%,100%,0%,100%,2%,0%,2%
DESERT WILLOW ELEMENTARY SCHOOL,2172N ARIZOLA RD,CASA GRANDE,PINAL,85122,YES,RN,PUBLIC,63,92%,5%,98%,92%,5%,98%,92%,5%,98%,92%,5%,98%,94%,5%,98%,5%,0%,5%
DESERT WILLOW ELEMENTARY SCHOOL,4322 E DESERT WILLOW PKWY,CAVE CREEK,MARICOPA,85331,NO,,PUBLIC,80,96%,4%,100%,93%,8%,100%,96%,4%,100%,90%,10%,100%,95%,5%,100%,13%,0%,4%
DESERT WILLOW ELEMENTARY SCHOOL,3700 PROSPECTOR ST,KINGMAN,MOHAVE,86401,NO,,PUBLIC,101,87%,13%,100%,87%,13%,100%,87%,13%,100%,92%,7%,100%,86%,14%,100%,14%,0%,14%
DESTINY SCHOOL,22 PRICKLY PEAR DR,GLOBE,GILA,85501,NO,,CHARTER,43,93%,7%,100%,93%,7%,100%,93%,7%,100%,93%,7%,100%,93%,7%,100%,7%,0%,7%
DIAMOND CANYON ELEMENTARY,40004 NORTH LIBERTY BELL WAY,PHOENIX,MARICOPA,85086,YES,RN,PUBLIC,83,90%,8%,100%,89%,11%,100%,87%,13%,100%,89%,10%,100%,92%,8%,100%,14%,0%,12%
DIAMONDBACK ELEMENTARY SCHOOL,2550 TESOTA WAY,BULLHEAD CITY,MOHAVE,86442,YES,RN,PUBLIC,109,94%,2%,100%,96%,2%,100%,96%,2%,100%,96%,2%,100%,99%,1%,100%,2%,0%,1%
DIETZ K-8 SCHOOL,7575 E PALMA ST,TUCSON,PIMA,85710,YES,RN,PUBLIC,33,88%,6%,100%,91%,9%,100%,94%,6%,100%,94%,6%,100%,94%,6%,100%,6%,0%,6%
DILCON COMMUNITY SCHOOL,AZ-87,WINSLOW,NAVAJO,86047,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DILWORTH BRINTON ELEMENTARY,11455 E SUNLAND AVE,MESA,MARICOPA,85208,YES,RN,PUBLIC,74,93%,7%,100%,93%,7%,100%,93%,7%,100%,95%,5%,100%,93%,7%,100%,7%,0%,7%
DISCOVERY PLUS ACADEMY,852 W 250 N,PIMA,GRAHAM,85543,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DISCOVERY SCHOOL,7910 W MARYLAND AVE,GLENDALE,MARICOPA,85303,YES,RN,PUBLIC,60,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,2%,0%,2%
DISHCHII'BIKOH COMMUNITY SCHOOL,PO BOX 80068,CIBECUE,NAVAJO,85911,YES,RN,PRIVATE,41,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
DOBSON ACADEMY A-BALL CHARTER SCHOOL,2207 N DOBSON RD,CHANDLER,MARICOPA,85224,NO,,CHARTER,48,96%,4%,100%,94%,4%,98%,94%,4%,100%,94%,4%,100%,94%,6%,100%,6%,0%,4%
DOROTHY STINSON SCHOOL,2013 S 8TH AVE,SAFFORD,GRAHAM,85546,YES,RN,PUBLIC,91,98%,0%,98%,98%,0%,98%,98%,0%,98%,100%,0%,100%,100%,0%,100%,0%,0%,0%
DOS RIOS ELEMENTARY,2150 S 87TH AVE,TOLLESON,MARICOPA,85353,NO,,PUBLIC,77,95%,3%,99%,97%,3%,100%,96%,3%,100%,97%,3%,100%,100%,0%,100%,3%,0%,3%
DOUBLE ADOBE ELEMENTARY SCHOOL,7081 N CENTRAL HWY,MCNEAL,COCHISE,85617,NO,,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DR DANIEL BRIGHT ELEMENTARY SCHOOL,1500 S MONTE TESORO DR,COTTONWOOD,YAVAPAI,86326,NO,,PUBLIC,60,93%,7%,100%,87%,13%,100%,87%,13%,100%,90%,10%,100%,93%,7%,100%,13%,0%,7%
DR HOWARD K CONLEY ELEMENTARY SCHOOL,500 S ARROWHEAD DR,CHANDLER,MARICOPA,85224,NO,,PUBLIC,100,91%,7%,100%,95%,5%,100%,96%,4%,100%,96%,2%,100%,98%,2%,100%,4%,0%,2%
DR. CHARLES A. BEJARANO ELEMENTARY SCHOOL,4635 E RAGUS RD B,MIAMI,GILA,85539,NO,,PUBLIC,70,94%,3%,99%,86%,3%,100%,70%,3%,100%,87%,3%,100%,97%,3%,100%,3%,0%,3%
DR. GARY AND ANNETTE AUXIER ELEMENTARY SCHOOL,22700 S POWER RD,QUEEN CREEK,MARICOPA,85142,NO,,PUBLIC,141,92%,8%,100%,93%,7%,100%,87%,13%,100%,91%,9%,100%,94%,6%,100%,16%,0%,4%
DRACHMAN PRIMARY MAGNET SCHOOL,1085 S 10TH AVE,TUCSON,PIMA,85701,YES,RN,PUBLIC,59,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
DREAMING SUMMIT ELEMENTARY,13335 W MISSOURI AVE,LITCHFIELD PARK,MARICOPA,85340,YES,LPN,PUBLIC,92,84%,2%,89%,87%,2%,92%,86%,2%,91%,89%,2%,95%,93%,2%,96%,2%,0%,2%
DREXEL ELEMENTARY SCHOOL,801 E DREXEL RD,TUCSON,PIMA,85706,YES,RN,PUBLIC,77,95%,1%,100%,97%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,1%,0%,1%
DUNCAN ELEMENTARY SCHOOL,MCGRATH AVE,DUNCAN,GREENLEE,85534,NO,,PUBLIC,22,86%,9%,100%,86%,9%,100%,86%,9%,100%,91%,9%,100%,91%,9%,100%,9%,0%,9%
DUNHAM ELEMENTARY SCHOOL,9850 E 29TH ST,TUCSON,PIMA,85748,YES,RN,PUBLIC,50,98%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
DWIGHT PATTERSON ELEMENTARY,615 S CHESHIRE,MESA,MARICOPA,85208,YES,RN,PUBLIC,88,94%,6%,100%,94%,6%,100%,94%,6%,100%,95%,5%,100%,95%,5%,100%,6%,0%,3%
DYSART ELEMENTARY SCHOOL,12950 W VARNEY RD,EL MIRAGE,MARICOPA,85335,YES,RN,PUBLIC,80,91%,8%,100%,93%,8%,100%,91%,9%,100%,93%,5%,99%,95%,5%,100%,9%,0%,5%
DZIL LIBEI ELEMENTARY SCHOOL,PO BOX 67,TUBA CITY,COCONINO,86045,NO,,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
E C NASH SCHOOL,515 W KELSO ST,TUCSON,PIMA,,NO,,PUBLIC,48,100%,0%,100%,100%,0%,100%,100%,0%,100%,98%,2%,100%,100%,0%,100%,2%,0%,0%
EAGLE COLLEGE PREP,2450 W SOUTH MOUNTAIN AVE,PHOENIX,MARICOPA,85041,NO,,CHARTER,54,85%,6%,91%,87%,6%,93%,85%,6%,91%,89%,7%,96%,91%,6%,96%,7%,0%,7%
EAGLE COLLEGE PREP - MARYVALE,3950 N 53RD AVE,PHOENIX,MARICOPA,85031,NO,,CHARTER,49,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
EAGLE COLLEGE PREP - MESA,1619 E MAIN ST,MESA,MARICOPA,85203,NO,,CHARTER,30,97%,3%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,97%,3%,100%,3%,0%,3%
EAGLE COLLEGE PREP HARMONY,2435 E PECAN RD,PHOENIX,MARICOPA,85040,NO,,CHARTER,27,70%,0%,70%,70%,0%,70%,70%,0%,74%,70%,0%,70%,70%,0%,70%,0%,0%,0%
EAGLE RIDGE ELEMENTARY SCHOOL,19801 N 13TH ST,PHOENIX,MARICOPA,85024,YES,RN,PUBLIC,64,80%,2%,81%,88%,2%,89%,80%,2%,81%,89%,2%,91%,94%,2%,95%,3%,0%,3%
EAGLERIDGE ENRICHMENT PROGRAM,1313 W MEDINA AVE,MESA,MARICOPA,85202,YES,RN,PUBLIC,77,52%,48%,100%,51%,49%,100%,48%,52%,100%,53%,47%,100%,100%,0%,100%,57%,0%,57%
EAST FORK LUTHERAN GRADE SCHOOL,4325 FORT APACHE RD,WHITERIVER,NAVAJO,85941,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EAST VALLEY ACADEMY-85203,1858 E BROWN RD,MESA,MARICOPA,85203,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECHO MOUNTAIN PRIMARY SCHOOL,1750 E GROVERS AVE,PHOENIX,MARICOPA,85022,YES,RN,PRIVATE,136,93%,5%,100%,96%,4%,100%,93%,5%,100%,95%,5%,100%,96%,4%,100%,5%,0%,4%
ED & VERMA PASTOR ELEMENTARY SCHOOL,2101 W ALTA VISTA RD,PHOENIX,MARICOPA,85041,YES,LPN,PUBLIC,38,92%,5%,100%,92%,5%,100%,92%,5%,100%,92%,5%,100%,95%,5%,100%,5%,0%,5%
ED PASTOR ELEMENTARY 4,985 N 6TH AVE,SAN LUIS,YUMA,85349,YES,LPN,PUBLIC,75,99%,0%,100%,99%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
EDISON ELEMENTARY SCHOOL,545 N HORNE,MESA,MARICOPA,85203,YES,RN,PUBLIC,99,90%,10%,100%,92%,8%,100%,91%,9%,100%,92%,8%,100%,100%,0%,100%,10%,0%,10%
EDISON SCHOOL OF INNOVATION,8340 W NORTHERN AVE,GLENDALE,MARICOPA,85305,NO,,CHARTER,25,68%,12%,100%,72%,20%,100%,84%,16%,100%,84%,16%,100%,84%,16%,100%,20%,0%,12%
EDUPRENEURSHIP STUDENT CENTER (ESC) PHOENIX,7801 N 27TH AVE,PHOENIX,MARICOPA,85051,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EDUPRIZE SCHOOL,4567 W ROBERTS RD,QUEEN CREEK,PINAL,85142,YES,RN,CHARTER,216,85%,14%,100%,87%,13%,99%,86%,14%,100%,87%,13%,100%,88%,11%,100%,17%,0%,11%
EDUPRIZE SCHOOL - GILBERT,580 W MELODY DR,GILBERT,MARICOPA,85233,YES,RN,CHARTER,176,84%,15%,100%,86%,14%,100%,85%,15%,100%,88%,11%,100%,88%,12%,100%,15%,0%,9%
EISENHOWER ELEMENTARY SCHOOL,848 N MESA DR,MESA,MARICOPA,85201,YES,RN,PUBLIC,76,93%,4%,99%,95%,4%,100%,95%,4%,100%,95%,4%,100%,99%,1%,100%,4%,1%,4%
EL DORADO PRIVATE SCHOOL,20624 N 76TH ST,SCOTTSDALE,MARICOPA,85255,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EL MIRAGE ELEMENTARY SCHOOL,12308 W THUNDERBIRD RD,EL MIRAGE,MARICOPA,85335,NO,,PUBLIC,73,99%,0%,100%,100%,0%,100%,100%,0%,100%,99%,0%,100%,100%,0%,100%,0%,0%,0%
ELFRIDA ELEMENTARY SCHOOL,4070 W JEFFERSON RD,ELFRIDA,COCHISE,85610,NO,,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ELGIN ELEMENTARY SCHOOL,293 UPPER ELGIN RD,ELGIN,SANTA CRUZ,85611,YES,RN,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ELLSWORTH ELEMENTARY,38454 N CAROLINA AVE,QUEEN CREEK,PINAL,85140,NO,,PUBLIC,105,90%,7%,100%,93%,7%,100%,92%,7%,100%,95%,4%,100%,96%,4%,100%,8%,0%,3%
ELVIRA ELEMENTARY SCHOOL,250 W ELVIRA RD,TUCSON,PIMA,85756,YES,RN,PUBLIC,88,97%,2%,100%,97%,2%,100%,97%,2%,100%,98%,1%,100%,98%,2%,100%,2%,0%,2%
EMERSON ELEMENTARY SCHOOL,415 N WESTWOOD RD,MESA,MARICOPA,85201,YES,RN,PUBLIC,105,98%,2%,100%,96%,2%,100%,97%,2%,100%,97%,2%,100%,98%,2%,100%,2%,0%,2%
EMMANUEL CHRISTIAN ACADEMY,3120 HUALAPAI MOUNTAIN RD,KINGMAN,MOHAVE,86401,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
