SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOLTYPE,ENROLLEDCOUNT,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
DESERT MARIGOLD SCHOOL,6210 S 28TH ST,PHOENIX,MARICOPA,85042,NO,,CHARTER,36,53%,47%,100%,53%,47%,100%,53%,47%,100%,56%,42%,100%,61%,39%,100%,44%,3%,36%
DESERT MEADOWS ELEMENTARY SCHOOL,6855 W MEADOWS LOOP E,LAVEEN,MARICOPA,85339,NO,,PUBLIC,77,95%,5%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,5%,0%,5%
DESERT MESA ELEMENTARY SCHOOL,2350 S AVENUE 7 1/2 E,YUMA,YUMA,,YES,RN,PUBLIC,111,97%,0%,97%,99%,0%,99%,93%,0%,93%,97%,1%,98%,98%,0%,98%,1%,0%,0%
DESERT MIRAGE ELEMENTARY SCHOOL,8605 W MARYLAND AVE,GLENDALE,MARICOPA,85305,NO,,PUBLIC,91,95%,4%,100%,95%,4%,100%,96%,4%,100%,95%,5%,100%,100%,0%,100%,4%,0%,0%
DESERT MIRAGE PREPARATORY ACADEMY D/B/A/DISCOVER U,13226 NORTH 113TH AVENUE,YOUNGTOWN,MARICOPA,85363,NO,,CHARTER,35,74%,26%,100%,80%,20%,100%,77%,23%,100%,83%,17%,100%,80%,20%,100%,6%,0%,20%
DESERT MOUNTAIN ELEMENTARY,22301 S HAWES RD,QUEEN CREEK,MARICOPA,85242,YES,RN,PUBLIC,109,90%,10%,100%,89%,11%,100%,92%,8%,100%,92%,8%,100%,93%,7%,100%,12%,0%,7%
DESERT MOUNTAIN SCHOOL,35959 NORTH 7TH AVENUE,PHOENIX,MARICOPA,85086,YES,RN,PUBLIC,47,87%,11%,100%,89%,11%,100%,87%,11%,98%,96%,4%,100%,94%,6%,100%,11%,0%,4%
DESERT OASIS ELEMENTARY SCHOOL,8802 W MCDOWELL RD,PHOENIX,MARICOPA,85037,NO,,PUBLIC,88,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
DESERT OASIS ELEMENTARY SCHOOL,17161 W BAJADA RD,SURPRISE,MARICOPA,85387,YES,RN,PUBLIC,51,88%,10%,100%,88%,10%,100%,90%,10%,100%,92%,8%,100%,94%,6%,100%,4%,0%,6%
DESERT PALMS ELEMENTARY SCHOOL,11441 N 55TH AVE,GLENDALE,MARICOPA,85304,YES,LPN,PUBLIC,43,93%,0%,95%,93%,0%,93%,91%,0%,95%,93%,0%,95%,95%,0%,95%,0%,0%,0%
DESERT SAGE ELEMENTARY SCHOOL,4035 W ALAMEDA,GLENDALE,MARICOPA,85310,YES,RN,PUBLIC,99,91%,8%,100%,93%,7%,100%,91%,8%,100%,95%,5%,100%,95%,5%,100%,8%,0%,4%
DESERT SHADOWS ELEMENTARY SCHOOL,5902 E SWEETWATER AVE,SCOTTSDALE,MARICOPA,85254,NO,,PUBLIC,54,91%,4%,100%,91%,4%,100%,89%,4%,100%,94%,0%,100%,98%,2%,100%,4%,0%,4%
DESERT SHADOWS MIDDLE SCHOOL,340 BLVD DEL REY DAVID,NOGALES,SANTA CRUZ,85621,YES,RN,PUBLIC,28,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
DESERT SKY COMMUNITY SCHOOL,1350 S ARCADIA AVE,TUCSON,PIMA,85712,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DESERT SONORA ELEMENTARY SCHOOL,301 N CARLISLE AVE,SOMERTON,YUMA,85350,YES,RN,PUBLIC,60,100%,0%,100%,100%,0%,100%,98%,2%,100%,100%,0%,100%,100%,0%,100%,2%,0%,0%
DESERT SPIRIT,7355 W ORANGEWOOD AVE,GLENDALE,MARICOPA,85303,YES,LPN,PUBLIC,75,92%,1%,96%,96%,1%,97%,99%,1%,100%,97%,1%,99%,99%,1%,100%,1%,0%,1%
DESERT SPRINGS ACADEMY,10129 E SPEEDWAY BLVD,TUCSON,PIMA,85748,NO,,CHARTER,21,81%,14%,100%,81%,14%,100%,86%,14%,100%,81%,14%,100%,86%,14%,100%,14%,0%,14%
DESERT SPRINGS PREPARATORY ELEMENTARY SCHOOL,6010 E ACOMA DR,SCOTTSDALE,MARICOPA,85254,YES,RN,PUBLIC,52,96%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,4%,0%,4%
DESERT STAR COMMUNITY SCHOOL,1240 S RECYLER RD,CORNVILLE,YAVAPAI,,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DESERT STAR SCHOOL,2131 S 157TH AVE,GOODYEAR,MARICOPA,85338,YES,RN,PUBLIC,59,93%,5%,100%,93%,5%,100%,93%,5%,100%,97%,3%,100%,97%,3%,100%,5%,0%,3%
DESERT SUN CHILD DEVELOPMENT CENTER,1512 WEST ELLIOT ROAD,CHANDLER,MARICOPA,85224,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DESERT SUN ELEMENTARY SCHOOL,27880 N 64TH ST,SCOTTSDALE,MARICOPA,85266,NO,,PUBLIC,44,91%,7%,98%,91%,7%,98%,91%,7%,98%,84%,9%,95%,93%,7%,100%,9%,0%,7%
DESERT THUNDER SCHOOL,16750 W GARFIELD ST,GOODYEAR,MARICOPA,85338,NO,,PUBLIC,71,96%,1%,100%,96%,1%,100%,97%,1%,100%,99%,1%,100%,100%,0%,100%,1%,0%,1%
DESERT TRAILS ELEMENTARY SCHOOL,4315 E CASHMAN DR,PHOENIX,MARICOPA,85050,YES,RN,PUBLIC,89,89%,7%,100%,88%,7%,100%,88%,7%,100%,91%,7%,100%,96%,4%,100%,7%,0%,4%
DESERT VALLEY ELEMENTARY SCHOOL,12901 N 63RD AVE,GLENDALE,MARICOPA,85304,YES,RN,PUBLIC,49,88%,6%,96%,88%,6%,96%,88%,6%,96%,92%,6%,100%,90%,6%,96%,6%,0%,6%
DESERT VIEW ACADEMY,2363 S KENNEDY LN,YUMA,YUMA,85366,NO,,CHARTER,168,98%,2%,100%,98%,2%,100%,98%,2%,99%,98%,2%,100%,98%,2%,100%,2%,0%,2%
DESERT VIEW ELEMENTARY,1508 N 10TH AVE,SAN LUIS,YUMA,85349,YES,LPN,PUBLIC,55,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
DESERT VIEW ELEMENTARY SCHOOL,8621 N 3RD ST,PHOENIX,MARICOPA,85020,YES,RN,PUBLIC,63,95%,2%,100%,95%,2%,100%,97%,2%,100%,100%,0%,100%,98%,2%,100%,3%,0%,0%
DESERT VISTA ELEMENTARY SCHOOL,3701 E BROADWAY AVE,APACHE JUNCTION,PINAL,85119,YES,LPN,PUBLIC,83,94%,6%,100%,94%,6%,100%,94%,6%,100%,94%,6%,100%,94%,6%,100%,6%,0%,6%
DESERT WILLOW ELEMENTARY SCHOOL,3700 PROSPECTOR ST,KINGMAN,MOHAVE,86401,NO,,PUBLIC,83,87%,12%,100%,94%,5%,100%,94%,5%,100%,96%,2%,100%,100%,0%,100%,8%,4%,2%
DESERT WILLOW ELEMENTARY SCHOOL,4322 E DESERT WILLOW PKWY,CAVE CREEK,MARICOPA,85331,NO,,PUBLIC,89,90%,10%,100%,90%,10%,100%,91%,9%,100%,91%,8%,100%,92%,8%,100%,11%,0%,7%
DESERT WILLOW ELEMENTARY SCHOOL,2172N ARIZOLA RD,CASA GRANDE,PINAL,85122,YES,RN,PUBLIC,73,96%,3%,99%,95%,4%,99%,95%,4%,99%,97%,3%,100%,97%,3%,100%,4%,1%,3%
DESERT WILLOW ELEMENTARY SCHOOL,9400 E ESMOND LOOP,TUCSON,PIMA,85747,NO,,PUBLIC,108,99%,1%,100%,99%,1%,100%,99%,1%,100%,98%,1%,100%,99%,1%,100%,0%,0%,1%
DESTINY SCHOOL,22 PRICKLY PEAR DR,GLOBE,GILA,85501,NO,,CHARTER,43,95%,5%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,5%,0%,5%
DIAMONDBACK ELEMENTARY SCHOOL,2550 TESOTA WAY,BULLHEAD CITY,MOHAVE,86442,YES,RN,PUBLIC,102,88%,7%,100%,92%,7%,100%,87%,7%,100%,92%,7%,100%,93%,7%,100%,7%,0%,7%
DIETZ K-8 SCHOOL,7575 E PALMA ST,TUCSON,PIMA,85710,YES,RN,PUBLIC,41,88%,2%,90%,95%,2%,98%,98%,2%,100%,90%,2%,98%,98%,2%,100%,2%,0%,0%
DILCON COMMUNITY SCHOOL,,DILKON,NAVAJO,,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DILWORTH BRINTON ELEMENTARY,11455 E SUNLAND AVE,MESA,MARICOPA,85208,YES,RN,PUBLIC,76,97%,3%,100%,97%,3%,100%,97%,3%,100%,100%,0%,100%,100%,0%,100%,3%,1%,3%
DISCOVERY PLUS ACADEMY,852 W 250 N,PIMA,GRAHAM,85543,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DISCOVERY SCHOOL,7910 W MARYLAND AVE,GLENDALE,MARICOPA,85303,YES,RN,PUBLIC,60,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
DISHCHII'BIKOH COMMUNITY SCHOOL,PO BOX 80068,CIBECUE,NAVAJO,85911,YES,RN,PRIVATE,52,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,98%,2%,100%,0%,4%,0%
DOBSON ACADEMY A-BALL CHARTER SCHOOL,2207 N DOBSON RD,CHANDLER,MARICOPA,85224,NO,,CHARTER,52,92%,8%,100%,83%,17%,100%,88%,12%,100%,88%,12%,100%,94%,6%,100%,19%,0%,4%
DOBSON MONTESSORI SCHOOL,745 S EXTENSION RD,MESA,MARICOPA,85210,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DOROTHY STINSON SCHOOL,2013 S 8TH AVE,SAFFORD,GRAHAM,85546,YES,RN,PUBLIC,88,94%,3%,99%,94%,3%,99%,94%,3%,99%,99%,0%,99%,98%,1%,99%,3%,0%,0%
DOS RIOS ELEMENTARY,2150 S 87TH AVE,TOLLESON,MARICOPA,85353,NO,,PUBLIC,62,89%,2%,98%,92%,2%,98%,98%,2%,100%,98%,2%,100%,98%,2%,100%,2%,0%,2%
DR DANIEL BRIGHT ELEMENTARY SCHOOL,1500 S MONTE TESORO DR,COTTONWOOD,YAVAPAI,86326,NO,,PUBLIC,123,88%,12%,100%,89%,11%,100%,89%,11%,100%,89%,10%,100%,89%,11%,100%,12%,1%,9%
DR HOWARD K CONLEY ELEMENTARY SCHOOL,500 S ARROWHEAD DR,CHANDLER,MARICOPA,85224,NO,,PUBLIC,89,91%,7%,100%,91%,9%,100%,92%,8%,100%,94%,6%,100%,96%,4%,100%,7%,2%,0%
DR. CHARLES A. BEJARANO ELEMENTARY SCHOOL,4635 E RAGUS RD B,MIAMI,GILA,85539,NO,,PUBLIC,85,95%,0%,95%,88%,0%,100%,82%,0%,100%,79%,0%,100%,99%,0%,99%,0%,0%,0%
DR. GARY AND ANNETTE AUXIER ELEMENTARY SCHOOL,22700 S POWER RD,QUEEN CREEK,MARICOPA,85142,NO,,PUBLIC,151,83%,17%,100%,87%,13%,100%,86%,14%,100%,91%,9%,100%,90%,10%,100%,13%,1%,5%
DRACHMAN PRIMARY MAGNET SCHOOL,1085 S 10TH AVE,TUCSON,PIMA,85701,YES,RN,PUBLIC,57,95%,4%,100%,95%,4%,100%,96%,4%,100%,95%,4%,100%,98%,2%,100%,4%,0%,4%
DREAMING SUMMIT ELEMENTARY,13335 W MISSOURI AVE,LITCHFIELD PARK,MARICOPA,85340,YES,LPN,PUBLIC,93,92%,2%,95%,94%,2%,96%,95%,2%,97%,96%,2%,98%,98%,0%,98%,2%,0%,2%
DREXEL ELEMENTARY SCHOOL,801 E DREXEL RD,TUCSON,PIMA,85706,YES,RN,PUBLIC,73,96%,1%,97%,95%,1%,97%,97%,1%,99%,96%,1%,97%,99%,1%,100%,1%,0%,1%
DUNCAN ELEMENTARY SCHOOL,MCGRATH AVE,DUNCAN,GREENLEE,85534,NO,,PUBLIC,31,84%,10%,94%,81%,10%,90%,84%,6%,90%,90%,10%,100%,94%,6%,100%,0%,0%,10%
DUNHAM ELEMENTARY SCHOOL,9850 E 29TH ST,TUCSON,PIMA,85748,YES,RN,PUBLIC,40,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
DWIGHT PATTERSON ELEMENTARY,615 S CHESHIRE,MESA,MARICOPA,85208,YES,RN,PUBLIC,77,97%,3%,100%,97%,3%,100%,97%,3%,100%,99%,1%,100%,100%,0%,100%,3%,0%,0%
DYSART ELEMENTARY SCHOOL,12950 W VARNEY RD,EL MIRAGE,MARICOPA,85335,YES,LPN,PUBLIC,75,96%,4%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,97%,3%,100%,5%,0%,5%
E C NASH SCHOOL,515 W KELSO ST,TUCSON,PIMA,,NO,,PUBLIC,57,95%,2%,100%,96%,4%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,4%,0%,2%
EAGLE COLLEGE PREP,2450 W SOUTH MOUNTAIN AVE,PHOENIX,MARICOPA,85041,NO,,CHARTER,73,90%,3%,93%,89%,4%,93%,86%,4%,90%,95%,3%,97%,95%,4%,99%,3%,1%,3%
EAGLE COLLEGE PREP - MARYVALE,3950 N 53RD AVE,PHOENIX,MARICOPA,85031,NO,,CHARTER,51,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,2%,2%,2%
EAGLE COLLEGE PREP - MESA,1619 E MAIN ST,MESA,MARICOPA,85203,NO,,CHARTER,29,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,3%,0%,0%
EAGLE COLLEGE PREP HARMONY,2435 E PECAN RD,PHOENIX,MARICOPA,85040,NO,,CHARTER,26,92%,4%,96%,92%,4%,96%,92%,4%,96%,92%,4%,96%,96%,4%,100%,4%,0%,4%
EAGLE RIDGE ELEMENTARY SCHOOL,19801 N 13TH ST,PHOENIX,MARICOPA,85024,YES,RN,PUBLIC,51,92%,2%,94%,92%,2%,94%,90%,2%,94%,96%,2%,98%,98%,2%,100%,0%,2%,0%
EAGLERIDGE ENRICHMENT PROGRAM,737 W GUADALUPE,MESA,MARICOPA,,YES,RN,PUBLIC,71,61%,39%,100%,62%,38%,100%,59%,41%,100%,62%,38%,100%,99%,1%,100%,42%,0%,1%
EAST FORK LUTHERAN GRADE SCHOOL,4325 FORT APACHE RD,WHITERIVER,NAVAJO,85941,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECHO MOUNTAIN PRIMARY SCHOOL,1750 E GROVERS AVE,PHOENIX,MARICOPA,85022,YES,RN,PRIVATE,135,90%,4%,98%,93%,4%,99%,94%,4%,99%,96%,4%,100%,97%,3%,100%,4%,4%,4%
ED & VERMA PASTOR ELEMENTARY SCHOOL,2101 W ALTA VISTA RD,PHOENIX,MARICOPA,85041,YES,LPN,PUBLIC,40,98%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
ED PASTOR ELEMENTARY 4,985 N 6TH AVE,SAN LUIS,YUMA,85349,YES,LPN,PUBLIC,84,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
EDISON ELEMENTARY SCHOOL,545 N HORNE,MESA,MARICOPA,85203,YES,RN,PUBLIC,90,86%,2%,100%,90%,2%,100%,91%,2%,100%,90%,2%,100%,98%,2%,100%,9%,1%,9%
EDUPRIZE SCHOOL,4567 W ROBERTS RD,QUEEN CREEK,PINAL,85142,YES,RN,CHARTER,186,86%,14%,100%,85%,15%,100%,85%,15%,100%,85%,15%,100%,87%,13%,100%,17%,0%,10%
EDUPRIZE SCHOOL - GILBERT,580 W MELODY DR,GILBERT,MARICOPA,85233,YES,RN,CHARTER,184,85%,15%,100%,84%,16%,100%,84%,16%,100%,87%,13%,100%,89%,11%,100%,17%,0%,11%
EISENHOWER ELEMENTARY SCHOOL,848 N MESA DR,MESA,MARICOPA,85201,YES,RN,PUBLIC,74,91%,4%,100%,91%,4%,100%,95%,3%,100%,96%,3%,100%,97%,3%,100%,4%,0%,3%
EL DORADO PRIVATE SCHOOL,20624 N 76TH ST,SCOTTSDALE,MARICOPA,85255,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EL MIRAGE ELEMENTARY SCHOOL,12308 W THUNDERBIRD RD,EL MIRAGE,MARICOPA,85335,YES,LPN,PUBLIC,86,99%,1%,100%,100%,0%,100%,100%,0%,100%,99%,0%,100%,100%,0%,100%,1%,1%,0%
ELFRIDA ELEMENTARY SCHOOL,4070 W JEFFERSON RD,ELFRIDA,COCHISE,85610,NO,,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ELGIN ELEMENTARY SCHOOL,293 UPPER ELGIN RD,ELGIN,SANTA CRUZ,85611,YES,RN,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ELLSWORTH ELEMENTARY,38454 N CAROLINA AVE,QUEEN CREEK,PINAL,85140,NO,,PUBLIC,85,85%,12%,100%,85%,12%,99%,85%,13%,100%,89%,9%,100%,92%,8%,100%,13%,0%,4%
ELVIRA ELEMENTARY SCHOOL,250 W ELVIRA RD,TUCSON,PIMA,85756,YES,RN,PUBLIC,92,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
EMERSON ELEMENTARY SCHOOL,415 N WESTWOOD RD,MESA,MARICOPA,85201,YES,RN,PUBLIC,105,97%,3%,100%,97%,3%,100%,96%,4%,100%,96%,4%,100%,100%,0%,100%,5%,2%,3%
EMMANUEL CHRISTIAN ACADEMY,3120 HUALAPAI MOUNTAIN RD,KINGMAN,MOHAVE,86401,YES,LPN,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ENCANTO SCHOOL,1426 W OSBORN RD,PHOENIX,MARICOPA,,NO,,CHARTER,187,95%,4%,100%,95%,4%,100%,97%,3%,100%,96%,4%,100%,100%,0%,100%,4%,0%,4%
ENTZ ELEMENTARY SCHOOL,4132 E ADOBE ST,MESA,MARICOPA,85205,YES,RN,PUBLIC,93,95%,5%,100%,94%,6%,100%,92%,8%,100%,92%,8%,100%,99%,1%,100%,8%,0%,5%
ESMOND STATION SCHOOL,9400 S ATTERBURY WASH WAY,TUCSON,PIMA,85747,NO,,PUBLIC,59,98%,2%,100%,98%,2%,100%,98%,2%,100%,100%,0%,100%,98%,2%,100%,2%,0%,0%
ESPERANZA ELEMENTARY SCHOOL,3025 W MCDOWELL RD,PHOENIX,MARICOPA,85009,NO,,PUBLIC,94,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,1%,0%,1%
ESPERANZA ELEMENTARY SCHOOL,251 W MOHAWK LN,PHOENIX,MARICOPA,85027,YES,LPN,PUBLIC,89,96%,3%,100%,97%,3%,100%,97%,3%,100%,99%,1%,100%,99%,1%,100%,3%,0%,2%
ESPERANZA ELEMENTARY SCHOOL,2353 E BANTAM,TUCSON,PIMA,85706,YES,RN,PUBLIC,88,99%,0%,99%,99%,0%,99%,98%,1%,99%,100%,0%,100%,100%,0%,100%,0%,1%,0%
ESTRELLA MOUNTAIN ELEMENTARY SCHOOL,10301 S SAN MIGUEL,GOODYEAR,MARICOPA,85338,NO,,PUBLIC,42,93%,5%,100%,93%,5%,100%,93%,7%,100%,90%,7%,100%,95%,5%,100%,7%,0%,5%
ESTRELLA VISTA ELEMENTARY,11905 W COCOPAH CIR,AVONDALE,MARICOPA,85323,NO,,PUBLIC,103,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,98%,2%,100%,2%,0%,1%
ETHOS ACADEMY,8840 N. 43RD AVE,GLENDALE,MARICOPA,85302,NO,,CHARTER,54,81%,4%,85%,81%,4%,85%,83%,4%,87%,94%,6%,100%,96%,4%,100%,6%,0%,4%
EVA MARSHALL ELEMENTARY SCHOOL,850 N BONITO ST,FLAGSTAFF,COCONINO,86001,YES,RN,PUBLIC,82,99%,1%,100%,99%,1%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,4%,0%,0%
EVERGREEN ELEMENTARY SCHOOL,1000 N AMARILLO ST,CASA GRANDE,PINAL,85222,YES,RN,PUBLIC,57,93%,5%,100%,93%,5%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,5%,0%,5%
EXCELENCIA SCHOOL,2181 E MCDOWELL RD,PHOENIX,MARICOPA,85006,YES,LPN,PUBLIC,78,100%,0%,100%,100%,0%,100%,99%,1%,100%,100%,0%,100%,100%,0%,100%,1%,0%,1%
FAITH COMMUNITY ACADEMY,2551 W ORANGE GROVE,TUCSON,PIMA,,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FAITH LUTHERAN CHURCH & SCHOOL & PRESCHOOL,3925 EAST 5TH STREET,TUCSON,PIMA,85711,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FALCON HILL ELEMENTARY SCHOOL,1645 N STERLING ST,MESA,MARICOPA,85207,YES,RN,PUBLIC,72,93%,7%,100%,93%,7%,100%,93%,7%,100%,92%,8%,100%,93%,7%,100%,8%,1%,7%
FESTIVAL FOOTHILLS ELEMENTARY SCHOOL,26252 W DESERT VISTA BLVD,BUCKEYE,MARICOPA,85396,NO,,PUBLIC,21,90%,5%,100%,90%,5%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,5%,0%,5%
FIELD ELEMENTARY SCHOOL,2325 E ADOBE ST,MESA,MARICOPA,85213,YES,RN,PUBLIC,84,90%,10%,100%,96%,4%,100%,100%,0%,100%,98%,2%,100%,98%,2%,100%,10%,0%,10%
FINE ARTS ACADEMY,1700 S. 103RD AVE,TOLLESON,MARICOPA,85353,YES,LPN,PUBLIC,75,92%,8%,100%,92%,8%,100%,92%,8%,100%,92%,8%,100%,92%,8%,100%,8%,8%,8%
FINLEY FARMS ELEMENTARY,375 S COLUMBUS DR,GILBERT,MARICOPA,85296,YES,RN,PUBLIC,80,90%,9%,100%,91%,9%,100%,91%,8%,100%,88%,11%,100%,91%,9%,100%,13%,1%,9%
FIRESIDE ELEMENTARY SCHOOL,3725 E LONE CACTUS DR,PHOENIX,MARICOPA,85050,YES,RN,PUBLIC,129,93%,7%,100%,92%,7%,99%,91%,7%,98%,93%,7%,100%,95%,5%,100%,7%,0%,7%
FIRST AVENUE ELEMENTARY SCHOOL,914 N FIRST AVE,SAN MANUEL,PINAL,85631,NO,,PUBLIC,29,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
FIRST BAPTIST CHRISTIAN ACADEMY,1447 S 7TH ST,SIERRA VISTA,COCHISE,85635,NO,,PRIVATE,23,96%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,4%,0%,4%
FIRST MESA ELEMENTARY SCHOOL,,POLACCA,NAVAJO,,YES,Both,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FIRST SOUTHERN CHRISTIAN SCHOOL,445 E SPEEDWAY BLVD,TUCSON,PIMA,85705,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FLAGSTAFF JUNIOR ACADEMY CHILDREN'S HOUSE,306 WEST CEDAR,FLAGSTAFF,COCONINO,86001,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FLORA THEW ELEMENTARY SCHOOL,2130 E HOWE AVE,TEMPE,MARICOPA,85281,YES,RN,PUBLIC,72,89%,4%,100%,88%,4%,100%,92%,6%,100%,94%,4%,100%,96%,4%,100%,6%,6%,4%
FLORENCE K-8,460 S PARK ST,FLORENCE,PINAL,85232,YES,RN,PUBLIC,67,82%,7%,90%,82%,7%,90%,84%,7%,91%,90%,6%,96%,93%,6%,99%,7%,0%,6%
FOOTHILLS ACADEMY COLLEGE PREPARATORY,7191 E ASHLER HILLS DR,SCOTTSDALE,MARICOPA,85266,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FOOTHILLS ELEMENTARY SCHOOL,15808 N 63RD AVE,GLENDALE,MARICOPA,85306,YES,RN,PUBLIC,63,90%,8%,98%,94%,5%,98%,90%,8%,98%,97%,3%,100%,97%,3%,100%,8%,8%,3%
FORD ELEMENTARY SCHOOL,8001 E STELLA RD,TUCSON,PIMA,85730,YES,RN,PUBLIC,59,98%,2%,100%,98%,2%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,5%,0%,3%
FORT MOHAVE ELEMENTARY SCHOOL,1760 JOY LN,FORT MOHAVE,MOHAVE,86426,YES,RN,PUBLIC,108,98%,2%,100%,98%,2%,100%,93%,2%,94%,97%,2%,99%,98%,2%,100%,2%,0%,2%
FORT THOMAS ELEMENTARY SCHOOL,15560 W ELEMENTARY RD,FORT THOMAS,GRAHAM,85536,YES,RN,PUBLIC,37,97%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
