SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_ADDRESS_ONE,CITY,COUNTY,ZIP_CODE,HAS_NURSE,NURSE_TYPE,ENROLLED,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
Cortina Elementary,Public,19680 S 188th St.,Queen Creek,Maricopa,85242,N,,128,98.40%,1.60%,100%,98.40%,1.60%,100%,97.70%,2.30%,100%,98.40%,1.60%,100%,99.20%,0.80%,100%,1.60%,0.80%,0.80%
Cotton Boll Elementary,Public,8540 W Butler Ave.,Peoria,Maricopa,85345,Y,RN,85,98.80%,1.20%,100%,98.80%,1.20%,100%,98.80%,1.20%,100%,98.80%,1.20%,100%,90.60%,1.20%,100%,1.20%,0.00%,0.00%
Cottonwood Day School,Public,Navajo Rte 4,Cottonwood,Apache,86503,N,,54,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,100%,0.00%
Cottonwood Elementary School (Casa Grande),Public,1667 N Kadota Ave. ,Casa Grande,Pinal,85222,Y,RN,70,95.70%,2.90%,98.60%,97.10%,2.90%,100%,97.10%,2.90%,100%,95.70%,2.90%,98.60%,92.90%,2.90%,100%,2.90%,0.00%,0.00%
Cottonwood Elementary School (Tucson),Public,9950 Rees Loop,Tucson,Pima,85641,N,,78,98.70%,1.30%,100%,98.70%,1.30%,100%,98.70%,1.30%,100%,98.70%,1.30%,100%,97.40%,1.30%,100%,1.30%,0.00%,1.30%
Country Gardens Charter School,Charter,6313 West Southern Ave.,Laveen,Maricopa,85339,N,,50,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%
Country Meadows Elementary School,Public,8409 N. 111th Ave.,Peoria,Maricopa,85345,Y,RN,103,99.00%,0.00%,99.00%,99.00%,0.00%,99.00%,98.10%,0.00%,98.10%,99.00%,0.00%,99.00%,98.10%,0.00%,98.10%,0.00%,0.00%,0.00%
Country Place Elementary,Public,10207 W. Country Place Blvd.,Tolleson,Maricopa,85353,Y,LPN,85,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,95.30%,0.00%,100%,0.00%,0.00%,0.00%
Countryside Elementary,Public,15034 N Parkview Pl.,Surprise,Maricopa,85379,Y,LPN,66,95.50%,4.50%,100%,95.50%,4.50%,100%,95.50%,4.50%,100%,97.00%,3.00%,100%,95.50%,4.50%,100%,6.10%,0.00%,0.00%
Coyote Canyon School,Public,1820 Lakeside Dr. ,Bullhead City,Mohave,86442,N,,106,97.20%,0.90%,98.10%,99.10%,0.90%,100%,96.20%,1.90%,98.10%,98.10%,1.90%,100%,88.70%,1.90%,100%,1.90%,0.00%,0.00%
Coyote Hills Elementary School,Public,21180 N 87th Ave.,Peoria,Maricopa,85382,Y,RN,73,97.30%,0.00%,97.30%,97.30%,0.00%,97.30%,98.60%,0.00%,98.60%,100%,0.00%,100%,90.40%,0.00%,98.60%,0.00%,0.00%,0.00%
Coyote Ridge Elementary School,Public,7677 W Bethany Home Rd.,Glendale,Maricopa,85303,Y,RN,88,100%,0.00%,100%,100%,0.00%,100%,98.90%,0.00%,98.90%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%
Coyote Springs Elementary School,Public,6625 N. Cattletrack Rd.,Prescott Valley,Yavapai,86314,Y,RN,83,98.80%,1.20%,100%,98.80%,1.20%,100%,97.60%,2.40%,100%,98.80%,1.20%,100%,57.80%,2.40%,100%,1.20%,1.20%,1.20%
Coyote Trail Elementary School,Public,8000 N Silverbell Rd.,Tucson,Pima,85743,N,,53,96.20%,3.80%,100%,96.20%,3.80%,100%,96.20%,3.80%,100%,92.50%,7.50%,100%,98.10%,1.90%,100%,7.50%,0.00%,1.90%
Cradleboard Elementary School,Public,P.O. Box 190,Whiteriver,Navajo,85941,N,,52,96.20%,1.90%,98.10%,100%,0.00%,100%,98.10%,0.00%,98.10%,100%,0.00%,100%,100%,0.00%,100%,0.00%,1.90%,0.00%
Cragin Elementary School,Public,2945 N Tucson Blvd.,Tucson,Pima,85716,Y,RN,56,100%,0.00%,100%,100%,0.00%,100%,98.20%,0.00%,98.20%,100%,0.00%,100%,96.40%,0.00%,100%,0.00%,0.00%,0.00%
Craycroft Elementary School,Public,5455 E Littletown Rd.,Tucson,Pima,85706,N,,116,99.10%,0.90%,100%,98.30%,0.90%,99.10%,99.10%,0.90%,100%,99.10%,0.90%,100%,94.00%,0.90%,100%,0.90%,0.00%,0.00%
Creighton Elementary School,Public,2802 E Mcdowell Rd.,Phoenix,Maricopa,85008,Y,LPN,73,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,95.90%,0.00%,100%,0.00%,0.00%,0.00%
Crismon Elementary School,Public,825 W Medina Ave. ,Mesa,Maricopa,85210,Y,RN,71,95.80%,4.20%,100%,97.20%,2.80%,100%,95.80%,4.20%,100%,94.40%,4.20%,98.60%,87.30%,1.40%,100%,5.60%,0.00%,1.40%
Crockett Elementary School,Public,501 N. 36th St.,Phoenix,Maricopa,85008,Y,RN,82,92.70%,0.00%,92.70%,95.10%,0.00%,95.10%,95.10%,0.00%,95.10%,98.80%,0.00%,98.80%,95.10%,0.00%,98.80%,0.00%,0.00%,0.00%
Cross Of Glory Lutheran School,Private,10111 W Jomax Rd.,Peoria,Maricopa,85383,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Crown Charter School,Charter,12450 W Maryland Ave.,Litchfield Park,Maricopa,85340,N,,88,98.90%,1.10%,100%,98.90%,1.10%,100%,98.90%,1.10%,100%,98.90%,1.10%,100%,98.90%,1.10%,100%,1.10%,0.00%,0.00%
Curiel School,Public,1011 North Sunshine Blvd.,Eloy,Pinal,85131,Y,RN,86,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,97.70%,0.00%,100%,0.00%,0.00%,0.00%
Curry Elementary School,Public,1974 E Meadow Dr.,Tempe,Maricopa,85282,Y,RN,92,95.70%,4.30%,100%,95.70%,4.30%,100%,95.70%,4.30%,100%,95.70%,4.30%,100%,81.50%,4.30%,100%,4.30%,0.00%,4.30%
Dan Hinton School,Public,P. O. Box 488,Pima,Graham,85543,Y,RN,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dateland Elementary School,Public,1300 S. Ave.,Dateland,Yuma,85333,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Davidson Elementary School,Public,3915 E Ft Lowell Rd.,Tucson,Pima,85712,Y,RN,60,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,86.70%,0.00%,100%,0.00%,0.00%,0.00%
Davis Bilingual Magnet School,Public,500 W St Mary's Rd.,Tucson,Pima,85701,Y,RN,50,98.00%,2.00%,100%,98.00%,2.00%,100%,96.00%,2.00%,98.00%,92.00%,2.00%,94.00%,92.00%,2.00%,98.00%,2.00%,0.00%,2.00%
Dayspring Kindergarten,Private,1365 East Elliot Rd.,Tempe,Maricopa,85284,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Degrazia Elementary School,Public,5051 W. Overton Rd. ,Tucson,Pima,85742,N,,61,96.70%,3.30%,100%,96.70%,3.30%,100%,98.40%,1.60%,100%,98.40%,1.60%,100%,93.40%,0.00%,100%,3.30%,0.00%,0.00%
Dennehotso Boarding School,Private,P.O. Box 2570,Dennehotso,Apache,86535,N,,24,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%
Desert Canyon Elementary,Public,10203 E Mcdowell Mountain Ranch Rd. ,Scottsdale,Maricopa,85255,Y,RN,66,93.90%,6.10%,100%,93.90%,6.10%,100%,97.00%,3.00%,100%,93.90%,6.10%,100%,93.90%,4.50%,100%,6.10%,0.00%,6.10%
Desert Christian Schools K-8,Private,9415 E. Wrightstown Rd.,Tucson,Pima,85715,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Desert Cove Elementary,Public,11020 N. 28th St.,Phoenix,Maricopa,85028,Y,RN,79,93.70%,5.10%,98.70%,92.40%,5.10%,97.50%,94.90%,5.10%,100%,93.70%,5.10%,98.70%,88.60%,5.10%,100%,5.10%,0.00%,0.00%
Desert Harbor Elementary,Public,15585 N. 91st Ave.,Peoria,Maricopa,85382,Y,RN,75,94.70%,1.30%,96.00%,92.00%,1.30%,93.30%,92.00%,2.70%,94.70%,93.30%,1.30%,94.70%,89.30%,2.70%,97.30%,2.70%,0.00%,0.00%
Desert Heights Charter School,Charter,5821 W. Beverly Ln.,Glendale,Maricopa,85306,N,,104,88.50%,11.50%,100%,88.50%,11.50%,100%,88.50%,11.50%,100%,88.50%,11.50%,100%,81.70%,10.60%,100%,11.50%,0.00%,11.50%
Desert Horizon Elementary School,Public,8525 W Osborn Rd.,Phoenix,Maricopa,85037,N,,104,99.00%,1.00%,100%,95.20%,2.90%,98.10%,97.10%,2.90%,100%,98.10%,1.90%,100%,89.40%,0.00%,100%,1.90%,1.00%,0.00%
Desert Jewish Academy/east Valley Jewish Day School,Private,3400 N Dobson Rd.,Chandler,Maricopa,85224,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Desert Marigold School,Charter,6210 S 28th St.,Phoenix,Maricopa,85042,N,,35,22.90%,65.70%,88.60%,28.60%,65.70%,94.30%,28.60%,62.90%,91.40%,40.00%,57.10%,97.10%,25.70%,60.00%,97.10%,65.70%,0.00%,57.10%
Desert Meadows Elementary School,Public,6855 W Meadows Loop E,Laveen,Maricopa,85339,N,,102,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%
Desert Mesa Elementary School,Public,2350 South Avenue 7 1/2 East,Yuma,Yuma,85365,Y,RN,110,98.20%,0.00%,98.20%,98.20%,0.00%,98.20%,90.90%,0.00%,90.90%,100%,0.00%,100%,89.10%,0.00%,100%,0.00%,0.00%,0.00%
Desert Mirage Elementary ,Public,8605 W Maryland Ave.,Glendale,Maricopa,85305,N,,53,94.30%,5.70%,100%,94.30%,5.70%,100%,96.20%,3.80%,100%,94.30%,5.70%,100%,88.70%,3.80%,100%,7.50%,0.00%,0.00%
Desert Mountain Elementary,Public,22301 S. Hawes Rd.,Queen Creek,Maricopa,85142,Y,RN,96,92.70%,7.30%,100%,91.70%,8.30%,100%,91.70%,8.30%,100%,90.60%,9.40%,100%,85.40%,6.30%,100%,10.40%,0.00%,6.30%
Desert Oasis Elementary School (Phoenix),Public,8802 West Mcdowell Rd.,Phoenix,Maricopa,85037,Y,LPN,87,93.10%,3.40%,96.60%,94.30%,3.40%,97.70%,93.10%,3.40%,96.60%,96.60%,3.40%,100%,86.20%,3.40%,100%,0.00%,3.40%,3.40%
Desert Oasis Elementary School (Surprise),Public,17161 W. Bajada Rd.,Surprise,Maricopa,85387,Y,RN,54,92.60%,5.60%,98.10%,92.60%,5.60%,98.10%,94.40%,5.60%,100%,92.60%,5.60%,98.10%,85.20%,5.60%,100%,5.60%,0.00%,3.70%
Desert Palms Elementary School,Public,11441 N 55th Ave.,Glendale,Maricopa,85304,Y,LPN,46,93.50%,6.50%,100%,93.50%,6.50%,100%,91.30%,6.50%,97.80%,93.50%,6.50%,100%,93.50%,6.50%,100%,6.50%,0.00%,6.50%
Desert Sage Elementary School,Public,4035 W Alameda Rd.,Glendale,Maricopa,85310,Y,RN,102,93.10%,6.90%,100%,94.10%,5.90%,100%,94.10%,5.90%,100%,95.10%,4.90%,100%,82.40%,2.90%,100%,6.90%,0.00%,2.90%
Desert Shadows Elementary,Public,5902 E. Sweetwater Ave. ,Scottsdale,Maricopa,85254,Y,RN,43,86.00%,9.30%,95.30%,86.00%,9.30%,95.30%,88.40%,9.30%,97.70%,83.70%,9.30%,93.00%,83.70%,9.30%,100%,9.30%,0.00%,0.00%
Desert Sky Community School,Charter,1350 N Arcadia Ave.,Tucson,Pima,85712,N,,27,44.40%,55.60%,100%,44.40%,55.60%,100%,51.90%,48.10%,100%,63.00%,37.00%,100%,44.40%,40.70%,100%,59.30%,0.00%,44.40%
Desert Sonora Elementary School,Public,301 N Carlisle Ave.,Somerton,Yuma,85350,Y,RN,53,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,98.10%,0.00%,100%,0.00%,0.00%,0.00%
Desert Spirit Elementary School,Public,7355 W Orangewood Ave. ,Glendale,Maricopa,85303,Y,RN,80,80.00%,2.50%,82.50%,85.00%,2.50%,87.50%,83.80%,2.50%,86.30%,90.00%,2.50%,92.50%,77.50%,2.50%,100%,2.50%,0.00%,2.50%
Desert Springs Academy,Charter,10129 E. Speedway Blvd.,Tucson,Pima,85748,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Desert Springs Preparatory Elementary School,Public,6010 E Acoma Dr.,Scottsdale,Maricopa,85254,Y,RN,54,90.70%,9.30%,100%,90.70%,9.30%,100%,90.70%,9.30%,100%,90.70%,9.30%,100%,79.60%,9.30%,100%,9.30%,0.00%,9.30%
Desert Star Elementary School,Public,2131 S. 157th Ave.,Goodyear,Maricopa,85338,Y,RN,67,95.50%,1.50%,97.00%,97.00%,1.50%,98.50%,98.50%,1.50%,100%,98.50%,1.50%,100%,94.00%,1.50%,100%,1.50%,0.00%,1.50%
Desert Sun Child Development Center,Private,1512 West Elliot Rd.,Chandler,Maricopa,85224,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Desert Sun Elementary School,Charter,27880 N 64th St.,Scottsdale,Maricopa,85262,Y,RN,38,92.10%,5.30%,97.40%,92.10%,5.30%,97.40%,92.10%,5.30%,97.40%,92.10%,5.30%,97.40%,76.30%,5.30%,97.40%,5.30%,0.00%,2.60%
Desert Thunder School,Public,16750 W Garfield St. ,Goodyear,Maricopa,85338,Y,LPN,64,98.40%,0.00%,98.40%,96.90%,0.00%,96.90%,96.90%,0.00%,96.90%,100%,0.00%,100%,93.80%,0.00%,100%,0.00%,0.00%,0.00%
Desert Trails Elementary School,Public,4315 E Cashman Dr.,Phoenix,Maricopa,85050,Y,RN,65,90.80%,9.20%,100%,92.30%,7.70%,100%,90.80%,9.20%,100%,92.30%,7.70%,100%,80.00%,6.20%,100%,10.80%,3.10%,13.80%
Desert Valley Elementary (Bullhead City),Public,1066 Marina Boulevard,Bullhead City,Mohave,86442,N,,77,96.10%,0.00%,96.10%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,98.70%,0.00%,100%,0.00%,0.00%,0.00%
Desert Valley Elementary (Glendale),Public,12901 N 63rd Ave.,Glendale,Maricopa,85304,Y,RN,48,89.60%,8.30%,97.90%,91.70%,8.30%,100%,91.70%,8.30%,100%,91.70%,8.30%,100%,81.30%,8.30%,100%,8.30%,0.00%,8.30%
Desert View Academy,Charter,3777 W. 16th St.,Yuma,Yuma,85364,N,,154,99.40%,0.60%,100%,98.10%,1.90%,100%,96.80%,2.60%,99.40%,97.40%,2.60%,100%,96.80%,0.60%,100%,3.90%,0.00%,0.60%
Desert View Elementary,Public,P.O. Box 6870,San Luis,Yuma,85349,Y,LPN,92,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,91.30%,0.00%,100%,0.00%,0.00%,0.00%
Desert View Elementary School (Phoenix),Public,8621 N 3rd St.,Phoenix,Maricopa,85020,Y,RN,64,93.80%,1.60%,95.30%,96.90%,1.60%,98.40%,98.40%,1.60%,100%,96.90%,1.60%,98.40%,96.90%,0.00%,100%,1.60%,0.00%,1.60%
Desert Vista Elementary School (Apache Junction),Public,3701 E Broadway Ave. ,Apache Junction,Pinal,85219,Y,LPN,82,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,98.80%,0.00%,98.80%,100%,0.00%,100%,0.00%,0.00%,0.00%
Desert Willow Elementary School (Casa Grande),Public,2172n Arizola Rd.,Casa Grande,Pinal,85222,Y,RN,79,97.50%,0.00%,97.50%,97.50%,0.00%,97.50%,100%,0.00%,100%,100%,0.00%,100%,97.50%,0.00%,100%,0.00%,0.00%,0.00%
Desert Willow Elementary School (Cave Creek),Charter,4322 E  Desert Willow Pkwy,Cave Creek,Maricopa,85331,Y,RN,79,92.40%,7.60%,100%,91.10%,7.60%,98.70%,92.40%,7.60%,100%,92.40%,7.60%,100%,69.60%,7.60%,100%,7.60%,0.00%,0.00%
Desert Willow Elementary School (Kingman),Public,4410 N.skylark Rd.,Kingman,Mohave,86409,N,,67,97.00%,3.00%,100%,95.50%,4.50%,100%,95.50%,4.50%,100%,97.00%,3.00%,100%,88.10%,4.50%,100%,4.50%,0.00%,0.00%
Desert Willow Elementary School (Tucson),Public,9400 E Esmond Loop,Tucson,Pima,85747,N,,133,97.00%,2.30%,99.20%,97.00%,2.30%,99.20%,97.00%,2.30%,99.20%,97.70%,2.30%,100%,97.70%,0.80%,100%,2.30%,0.00%,0.00%
Desert Winds Elementary School,Public,12675 W Rudasill Rd. ,Tucson,Pima,85743,N,,89,91.00%,6.70%,97.80%,93.30%,5.60%,98.90%,93.30%,5.60%,98.90%,97.80%,1.10%,98.90%,86.50%,1.10%,100%,6.70%,0.00%,4.50%
Destiny School,Charter,22 Prickly Pear Dr.,Globe,Gila,85501,N,,44,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%
Diamond Canyon Elementary School,Public,40004 North Liberty Bell Way,Phoenix,Maricopa,85086,Y,RN,79,98.70%,1.30%,100%,98.70%,1.30%,100%,97.50%,2.50%,100%,97.50%,2.50%,100%,88.60%,2.50%,100%,2.50%,0.00%,2.50%
Diamondback Elementary School,Public,2550 Tesota Way,Bullhead City,Mohave,86442,N,,94,98.90%,1.10%,100%,98.90%,1.10%,100%,98.90%,1.10%,100%,98.90%,1.10%,100%,94.70%,1.10%,100%,1.10%,0.00%,1.10%
Dietz Elementary School,Public,7575 E Palma St.,Tucson,Pima,85710,Y,RN,50,98.00%,0.00%,98.00%,98.00%,0.00%,98.00%,100%,0.00%,100%,98.00%,0.00%,98.00%,94.00%,0.00%,100%,0.00%,0.00%,0.00%
Discover U,Charter,13226 N 113th Ave.,Youngtown,Maricopa,85363,N,,79,97.50%,2.50%,100%,97.50%,2.50%,100%,97.50%,2.50%,100%,97.50%,2.50%,100%,97.50%,2.50%,100%,2.50%,0.00%,2.50%
Discovery Elementary,Public,7910 W Maryland Ave.,Glendale,Maricopa,85303,Y,RN,89,95.50%,1.10%,96.60%,96.60%,1.10%,97.80%,95.50%,1.10%,96.60%,96.60%,1.10%,97.80%,88.80%,1.10%,100%,1.10%,0.00%,1.10%
Discovery Plus Academy,Charter,P.O. Box 1089,Pima,Graham,85543,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Discovery School,Public,7910 W Maryland Ave.,Glendale,Maricopa,85303,Y,RN,89,95.50%,1.10%,96.60%,96.60%,1.10%,97.80%,95.50%,1.10%,96.60%,96.60%,1.10%,97.80%,88.80%,1.10%,100%,1.10%,0.00%,1.10%
Divine Children Preschool,Public,8215 W Idian School Rd.,Phoenix,Maricopa,82033,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dobson Academy A-ball Charter School,Charter,2207 N Dobson Rd.,Chandler,Maricopa,85224,N,,44,88.60%,11.40%,100%,90.90%,9.10%,100%,90.90%,9.10%,100%,88.60%,11.40%,100%,65.90%,6.80%,100%,11.40%,0.00%,0.00%
Dobson Montessori Elementary,Private,745 S. Extension Rd. ,Mesa,Maricopa,85210,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Doctor Daniel Bright,Public,1500 S. Monte Tosoro Dr. ,Cottonwood,Yavapai,86326,N,,145,87.60%,12.40%,100%,89.70%,10.30%,100%,84.80%,15.20%,100%,89.00%,11.00%,100%,77.20%,6.90%,100%,0.00%,0.70%,6.20%
Dorothy Stinson School,Public,2013 S. 8th Ave.,Safford,Graham,85546,Y,RN,103,90.30%,1.00%,91.30%,95.10%,1.00%,96.10%,90.30%,1.00%,91.30%,99.00%,1.00%,100%,88.30%,1.00%,100%,1.00%,0.00%,0.00%
Dos Rios Elementary School,Public,2150 S 87th Ave.,Tolleson,Maricopa,85353,N,,74,89.20%,4.10%,93.20%,95.90%,4.10%,100%,93.20%,5.40%,98.60%,94.60%,4.10%,98.60%,91.90%,4.10%,100%,5.40%,0.00%,4.10%
Double Adobe Elementary School,Public,7081 N. Central Hwy.,Mcneal,Cochise,85617,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Downtown Community School,Private,614 S Meyer Ave.,Tucson,Pima,85701,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dr Gary And Annette Auxier Elementary,Public,22700 S Power Rd.,Queen Creek,Maricopa,85142,N,,113,90.30%,8.80%,99.10%,93.80%,6.20%,100%,90.30%,9.70%,100%,100%,0.00%,100%,94.70%,5.30%,100%,9.70%,0.00%,0.00%
Dr Howard K Conley Elementary School,Public,500 S Arrowhead Dr.,Chandler,Maricopa,85224,N,,110,92.70%,7.30%,100%,94.50%,5.50%,100%,94.50%,5.50%,100%,94.50%,5.50%,100%,97.30%,2.70%,100%,1.80%,0.00%,3.60%
Drachman Montessori Magnet School,Public,1085 S. 10th Ave.,Tucson,Pima,85701,Y,RN,73,97.30%,1.40%,98.60%,98.60%,0.00%,98.60%,98.60%,1.40%,100%,100%,0.00%,100%,93.20%,0.00%,100%,1.40%,0.00%,0.00%
Dreaming Summit Elementary,Public,13335 W Missouri Ave.,Litchfield Park,Maricopa,85340,Y,LPN,85,83.50%,3.50%,87.10%,82.40%,3.50%,85.90%,81.20%,3.50%,84.70%,94.10%,3.50%,97.60%,80.00%,3.50%,96.50%,3.50%,0.00%,3.50%
Drexel Elementary School,Public,801 E Drexel Rd.,Tucson,Pima,85706,Y,RN,73,98.60%,0.00%,98.60%,100%,0.00%,100%,98.60%,1.40%,100%,100%,0.00%,100%,98.60%,0.00%,100%,0.00%,1.40%,0.00%
Duncan Elementary School,Public,Mcgrath Ave.,Duncan,Greenlee,85534,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dunham Elementary School,Public,9850 E 29th St.,Tucson,Pima,85748,Y,RN,30,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,96.70%,3.30%,100%,80.00%,3.30%,100%,3.30%,0.00%,0.00%
Dynamite Montessori School,Private,29210 N. 59th St.,Cave Creek,Maricopa,85331,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dysart Elementary School,Public,12950 W Varney Rd.,El Mirage,Maricopa,85335,Y,LPN,73,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,93.20%,0.00%,100%,0.00%,0.00%,0.00%
Dzil Libei Elementary School,Public,P.O. Box 67,Tuba City,Coconino,86045,Y,LPN,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eagle College Prep,Charter,2450 W South Mountain Ave.,Phoenix,Maricopa,85041,N,,75,96.00%,4.00%,100%,96.00%,4.00%,100%,97.30%,2.70%,100%,94.70%,5.30%,100%,93.30%,4.00%,100%,5.30%,0.00%,2.70%
Eagle College Prep - Harmony,Charter,2435 E Pecan Rd.,Phoenix,Maricopa,85040,N,,46,93.50%,6.50%,100%,93.50%,6.50%,100%,93.50%,6.50%,100%,91.30%,8.70%,100%,78.30%,6.50%,100%,2.20%,0.00%,6.50%
Eagle College Prep - Maryvale ,Charter,3950 N 53rd Ave.,Phoenix,Maricopa,85031,N,,50,98.00%,2.00%,100%,98.00%,2.00%,100%,98.00%,2.00%,100%,96.00%,2.00%,98.00%,98.00%,2.00%,100%,2.00%,0.00%,2.00%
Eagle College Prep - Mesa,Charter,1619 E. Main,Mesa,Maricopa,85203,N,,37,89.20%,10.80%,100%,94.60%,5.40%,100%,91.90%,8.10%,100%,91.90%,8.10%,100%,70.30%,8.10%,100%,8.10%,2.70%,5.40%
Eagle Ridge Elementary School,Public,19801 N 13th St.,Phoenix,Maricopa,85024,Y,RN,55,96.40%,3.60%,100%,96.40%,3.60%,100%,96.40%,3.60%,100%,96.40%,3.60%,100%,89.10%,1.80%,100%,3.60%,0.00%,3.60%
Eagleridge Enrichment Program,Public,1313 W. Medina Ave.,Mesa,Maricopa,85202,Y,RN,96,70.80%,29.20%,100%,69.80%,30.20%,100%,71.90%,28.10%,100%,68.80%,31.30%,100%,62.50%,0.00%,97.90%,37.50%,0.00%,0.00%
East Fork Lutheran School,Private,P.O. Box 489,Whiteriver,Navajo,85941,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Echo Mountain Primary School,Public,1750 E. Grover's Ave.,Phoenix,Maricopa,85022,Y,RN,129,89.90%,3.90%,93.80%,93.00%,3.10%,96.10%,93.00%,4.70%,97.70%,95.30%,3.10%,98.40%,89.90%,1.60%,100%,5.40%,0.00%,0.00%
Ed & Verma Pastor Elementary School (Phoenix),Public,2101 W. Alta Vista Rd.,Phoenix,Maricopa,85041,Y,LPN,51,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%
Ed Pastor Elementary School (San Luis),Public,985 N 6th Ave.,San Luis,Yuma,85349,Y,LPN,46,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%
Edison Elementary School,Public,545 N Horne Ave. ,Mesa,Maricopa,85203,Y,RN,84,96.40%,3.60%,100%,96.40%,3.60%,100%,97.60%,2.40%,100%,95.20%,4.80%,100%,90.50%,0.00%,100%,3.60%,1.20%,4.80%
