SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_NURSE,SCHOOL_NURSE_TYPE,ENROLLED,ADDRESS_1,CITY,STATE,ZIP,COUNTY,ENROLLED_WEBSITE,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_TDAP,PCT_EXEMPT_TDAP,PCT_COMPLIANCE_TDAP,PCT_IMMUNE_MVMVC,PCT_EXEMPT_MVMVC,PCT_COMPLIANCE_MVMVC,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
Dilworth Brinton Elementary,Public,N,RN,83,11455 E SUNLAND AVE,MESA,AZ,85208,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,98.8%,0.0%,98.8%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Discover U,Charter,N,,< 20,13226 N 113TH AVE,YOUNGTOWN,AZ,85363,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discovery Elementary,Public,Y,RN,79,7910 W MARYLAND AVE,GLENDALE,AZ,85303,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,97.5%,2.5%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,98.7%,1.3%,100.0%,100.0%,0.0%,100.0%,1.3%,1.3%,1.3%
"Dishcii""bikosh Community School",Private,Y,RN,42,211 S. ELM ST.,CIBECUE,AZ,85911,NAVAJO COUNTY,GREATER THAN,100.0%,0.0%,100.0%,97.6%,0.0%,100.0%,97.6%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Dobson Academy A-ball Charter School,Charter,N,,44,2207 N DOBSON RD,CHANDLER,AZ,85224,MARICOPA COUNTY,GREATER THAN,90.9%,9.1%,100.0%,65.9%,9.1%,75.0%,61.4%,9.1%,70.5%,90.9%,9.1%,100.0%,90.9%,9.1%,100.0%,88.6%,9.1%,97.7%,93.2%,6.8%,100.0%,9.1%,0.0%,0.0%
Dobson Montessori K-12,Private,N,,< 20,745 S EXTENSION RD,MESA,AZ,85210,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dodge Traditional Magnet Middle School,Public,Y,RN,145,5831 E PIMA ST,TUCSON,AZ,85712,PIMA COUNTY,GREATER THAN,97.9%,0.7%,98.6%,96.6%,0.7%,100.0%,94.5%,1.4%,98.6%,97.9%,0.7%,98.6%,97.9%,0.7%,98.6%,99.3%,0.7%,100.0%,100.0%,0.0%,100.0%,1.4%,0.0%,1.4%
Don Mensendick,Public,Y,LPN,197,5535 N 67TH AVE,GLENDALE,AZ,85301,MARICOPA COUNTY,GREATER THAN,99.5%,0.5%,100.0%,98.5%,0.0%,100.0%,98.0%,0.5%,100.0%,99.5%,0.5%,100.0%,99.5%,0.5%,100.0%,99.5%,0.5%,100.0%,100.0%,0.0%,100.0%,0.5%,0.0%,0.0%
Doolen Middle School,Public,Y,RN,214,2400 N COUNTRY CLUB RD,TUCSON,AZ,85716,PIMA COUNTY,GREATER THAN,93.5%,0.9%,94.4%,97.2%,0.9%,100.0%,86.9%,0.9%,89.7%,97.7%,1.9%,99.5%,98.1%,1.9%,100.0%,96.7%,1.9%,98.6%,98.6%,1.4%,100.0%,0.9%,0.9%,0.9%
Dorothy Stinson School,Public,Y,RN,73,2013 S 8TH AVE,SAFFORD,AZ,85546,GRAHAM COUNTY,GREATER THAN,98.6%,1.4%,100.0%,97.3%,2.7%,100.0%,95.9%,4.1%,100.0%,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,100.0%,0.0%,100.0%,98.6%,1.4%,100.0%,2.7%,1.4%,2.7%
Dos Rios,Public,N,,75,2150 S 87TH AVE,TOLLESON,AZ,85353,MARICOPA COUNTY,GREATER THAN,98.7%,1.3%,100.0%,90.7%,0.0%,92.0%,92.0%,0.0%,100.0%,96.0%,0.0%,96.0%,98.7%,1.3%,100.0%,98.7%,0.0%,98.7%,100.0%,0.0%,100.0%,1.3%,0.0%,0.0%
Double Adobe Elementary School,Public,N,,< 20,7081 N CENTRAL HWY,MC NEAL,AZ,85617,COCHISE COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dr Howard K Conley Elementary School,Public,N,,102,500 S ARROWHEAD DR,CHANDLER,AZ,85224,MARICOPA COUNTY,GREATER THAN,95.1%,4.9%,100.0%,89.2%,4.9%,100.0%,89.2%,4.9%,100.0%,95.1%,4.9%,100.0%,94.1%,5.9%,100.0%,95.1%,4.9%,100.0%,95.1%,4.9%,100.0%,5.9%,0.0%,4.9%
Dr. Gary And Annette Auxier Elementary School,Public,N,,144,22700 S POWER RD,QUEEN CREEK,AZ,85142,MARICOPA COUNTY,GREATER THAN,96.5%,3.5%,100.0%,75.7%,20.8%,100.0%,76.4%,20.8%,100.0%,96.5%,3.5%,100.0%,94.4%,5.6%,100.0%,95.8%,4.2%,100.0%,96.5%,3.5%,100.0%,24.3%,0.0%,1.4%
Drachman Primary Magnet School,Public,Y,RN,22,1085 S 10TH AVE,TUCSON,AZ,85701,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,95.5%,4.5%,100.0%,100.0%,0.0%,100.0%,0.0%,4.5%,0.0%
Drexel Elementary School,Public,Y,RN,95,801 E DREXEL RD,TUCSON,AZ,85706,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
