SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_NURSE,SCHOOL_NURSE_TYPE,ENROLLED,ADDRESS_1,CITY,STATE,ZIP,COUNTY,ENROLLED_WEBSITE,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_TDAP,PCT_EXEMPT_TDAP,PCT_COMPLIANCE_TDAP,PCT_IMMUNE_MVMVC,PCT_EXEMPT_MVMVC,PCT_COMPLIANCE_MVMVC,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
Sequoia Pathway Academy,Charter,N,,79,19287 N PORTER RD,MARICOPA,AZ,85138,PINAL COUNTY,GREATER THAN,97.5%,2.5%,100.0%,86.1%,6.3%,97.5%,84.8%,8.9%,98.7%,93.7%,6.3%,100.0%,93.7%,6.3%,100.0%,97.5%,2.5%,100.0%,97.5%,2.5%,100.0%,13.9%,0.0%,13.9%
Sequoia School For The Deaf And Hard Of Hearing,Charter,N,,< 20,1460 S HORNE,MESA,AZ,85204,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sequoia Village,Charter,N,,22,982 FULL HOUSE LN,SHOW LOW,AZ,85901,NAVAJO COUNTY,GREATER THAN,90.9%,9.1%,100.0%,77.3%,18.2%,100.0%,77.3%,18.2%,100.0%,81.8%,18.2%,100.0%,81.8%,18.2%,100.0%,81.8%,18.2%,100.0%,86.4%,13.6%,100.0%,13.6%,4.5%,9.1%
Settler's Point,Public,Y,RN,99,423 E SETTLERS POINT DR OFC,GILBERT,AZ,85296,MARICOPA COUNTY,GREATER THAN,98.0%,2.0%,100.0%,92.9%,3.0%,100.0%,92.9%,4.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,96.0%,4.0%,100.0%,100.0%,0.0%,100.0%,4.0%,0.0%,2.0%
Sevilla West,Public,Y,,237,3851 W MISSOURI AVE,PHOENIX,AZ,85019,MARICOPA COUNTY,GREATER THAN,99.2%,0.4%,99.6%,97.9%,0.4%,100.0%,97.9%,0.4%,100.0%,99.2%,0.4%,99.6%,99.6%,0.4%,100.0%,99.2%,0.4%,99.6%,99.2%,0.8%,100.0%,0.8%,0.0%,0.4%
Shaw Butte Elementary,Public,N,,67,12202 N 21ST AVE,PHOENIX,AZ,85029,MARICOPA COUNTY,GREATER THAN,98.5%,0.0%,98.5%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Sheely Farms Elementary School,Public,Y,RN,84,9450 W ENCANTO BLVD,PHOENIX,AZ,85037,MARICOPA COUNTY,GREATER THAN,97.6%,1.2%,98.8%,91.7%,2.4%,96.4%,91.7%,2.4%,96.4%,98.8%,1.2%,100.0%,98.8%,1.2%,100.0%,97.6%,1.2%,98.8%,100.0%,0.0%,100.0%,2.4%,0.0%,0.0%
Shepherd Of The Desert Lutheran School,Private,N,,< 20,9590 E SHEA BLVD,SCOTTSDALE,AZ,85260,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Show Low Junior High School,Public,N,,209,761 E MCNEIL,SHOW LOW,AZ,85901,NAVAJO COUNTY,GREATER THAN,95.2%,4.8%,100.0%,84.7%,14.8%,100.0%,83.7%,15.8%,100.0%,94.3%,5.7%,100.0%,93.8%,6.2%,100.0%,94.7%,5.3%,100.0%,95.7%,4.3%,100.0%,15.8%,0.5%,0.0%
Shumway,Public,N,,72,1325 N SHUMWAY AVE,CHANDLER,AZ,85225,MARICOPA COUNTY,GREATER THAN,98.6%,1.4%,100.0%,91.7%,2.8%,100.0%,95.8%,2.8%,100.0%,97.2%,2.8%,100.0%,97.2%,2.8%,100.0%,100.0%,0.0%,100.0%,98.6%,1.4%,100.0%,2.8%,4.2%,2.8%
Sierra Middle School,Public,Y,RN,120,5801 S DEL MORAL BLVD,TUCSON,AZ,85706,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,94.2%,0.0%,94.2%,94.2%,0.0%,94.2%,99.2%,0.0%,99.2%,99.2%,0.0%,99.2%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Sierra Verde Elementary,Public,Y,RN,122,7241 W ROSE GARDEN LN,GLENDALE,AZ,85308,MARICOPA COUNTY,GREATER THAN,99.2%,0.8%,100.0%,95.1%,2.5%,100.0%,95.1%,2.5%,100.0%,99.2%,0.8%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,1.6%,0.8%,0.0%
Silvestre S Herrera School,Public,N,,95,1350 S 11TH ST,PHOENIX,AZ,85034,MARICOPA COUNTY,GREATER THAN,98.9%,1.1%,100.0%,84.2%,3.2%,90.5%,82.1%,4.2%,89.5%,98.9%,1.1%,100.0%,98.9%,1.1%,100.0%,98.9%,1.1%,100.0%,98.9%,1.1%,100.0%,4.2%,0.0%,1.1%
Sinagua Middle School,Public,Y,RN,399,3950 E BUTLER AVE,FLAGSTAFF,AZ,86004,COCONINO COUNTY,GREATER THAN,97.0%,3.0%,100.0%,95.7%,4.3%,100.0%,95.5%,4.5%,100.0%,97.2%,2.8%,100.0%,97.7%,2.3%,100.0%,97.5%,2.5%,100.0%,91.7%,8.3%,100.0%,4.8%,0.0%,0.0%
Sirrine Elementary School,Public,Y,RN,34,591 W MESQUITE ST,CHANDLER,AZ,85225,MARICOPA COUNTY,GREATER THAN,97.1%,2.9%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,97.1%,0.0%,97.1%,94.1%,2.9%,97.1%,97.1%,0.0%,97.1%,100.0%,0.0%,100.0%,2.9%,2.9%,2.9%
Skull Valley Elementary School District#15,Public,N,RN,< 20,3150 OLD SKULL VALLEY RD. SOUTH,SKULL VALLEY,AZ,86338,YAVAPAI COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sky View,Public,Y,LPN,51,8624 W SWEETWATER AVE,PEORIA,AZ,85381,MARICOPA COUNTY,GREATER THAN,98.0%,0.0%,98.0%,94.1%,5.9%,100.0%,94.1%,5.9%,100.0%,100.0%,0.0%,100.0%,98.0%,2.0%,100.0%,96.1%,2.0%,98.0%,100.0%,0.0%,100.0%,5.9%,0.0%,0.0%
Skyline District 5,Charter,Y,RN,25,975 N. PRESCHOOL RD.,BAPCHULE,AZ,85121,PINAL COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Skyline Ranch,Public,N,,106,1084 SAN TAN HILLS DR,SAN TAN VALLEY,AZ,85143,PINAL COUNTY,GREATER THAN,98.1%,0.9%,99.1%,78.3%,0.9%,79.2%,68.9%,0.9%,69.8%,95.3%,0.9%,96.2%,95.3%,0.9%,96.2%,95.3%,0.9%,96.2%,100.0%,0.0%,100.0%,0.9%,0.0%,0.0%
Skyview School,Charter,N,,25,125 S RUSH ST,PRESCOTT,AZ,86303,YAVAPAI COUNTY,GREATER THAN,76.0%,24.0%,100.0%,60.0%,32.0%,92.0%,60.0%,32.0%,92.0%,76.0%,24.0%,100.0%,64.0%,32.0%,96.0%,72.0%,28.0%,100.0%,72.0%,28.0%,100.0%,32.0%,0.0%,24.0%
Smoketree Elementary School,Public,Y,RN,64,2395 SMOKETREE AVE N,LAKE HAVASU CITY,AZ,86403,MOHAVE COUNTY,GREATER THAN,96.9%,3.1%,100.0%,95.3%,3.1%,100.0%,95.3%,3.1%,100.0%,96.9%,3.1%,100.0%,96.9%,3.1%,100.0%,96.9%,3.1%,100.0%,96.9%,3.1%,100.0%,3.1%,0.0%,0.0%
Snowflake Intermediate School,Public,Y,RN,121,62 W 2ND ST S,SNOWFLAKE,AZ,85937,NAVAJO COUNTY,GREATER THAN,96.7%,3.3%,100.0%,93.4%,6.6%,100.0%,92.6%,7.4%,100.0%,95.9%,4.1%,100.0%,97.5%,2.5%,100.0%,96.7%,3.3%,100.0%,97.5%,2.5%,100.0%,6.6%,1.7%,1.7%
Solano School,Public,N,,110,1526 W MISSOURI AVE,PHOENIX,AZ,85015,MARICOPA COUNTY,GREATER THAN,98.2%,0.9%,99.1%,60.9%,0.9%,61.8%,59.1%,0.9%,60.0%,97.3%,0.9%,98.2%,98.2%,0.9%,99.1%,96.4%,0.9%,97.3%,99.1%,0.9%,100.0%,0.9%,0.0%,0.9%
Solomon Elementary School,Public,N,,< 20,2250 S STEVENS AVE,SOLOMON,AZ,85551,GRAHAM COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Somerton Middle School,Public,Y,RN,342,1011 N SOMERTON AVE,SOMERTON,AZ,85350,YUMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,99.1%,0.3%,100.0%,98.8%,0.3%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.3%,0.0%
Sonoma Ranch Elementary School,Public,N,,71,601 BUCHANAN ST,GILBERT,AZ,85233,MARICOPA COUNTY,GREATER THAN,97.2%,0.0%,97.2%,91.5%,4.2%,100.0%,90.1%,5.6%,100.0%,94.4%,5.6%,100.0%,93.0%,7.0%,100.0%,97.2%,2.8%,100.0%,95.8%,4.2%,100.0%,9.9%,0.0%,0.0%
Sonoran Foothills School,Public,Y,RN,69,32150 N NORTH FOOTHILLS DR,PHOENIX,AZ,85085,MARICOPA COUNTY,GREATER THAN,95.7%,4.3%,100.0%,73.9%,0.0%,76.8%,79.7%,0.0%,82.6%,97.1%,0.0%,97.1%,94.2%,0.0%,94.2%,95.7%,4.3%,100.0%,97.1%,0.0%,97.1%,4.3%,0.0%,0.0%
Sonoran Heights Elementary,Public,Y,LPN,96,11405 N GREER RANCH PKWY,SURPRISE,AZ,85379,MARICOPA COUNTY,GREATER THAN,94.8%,5.2%,100.0%,95.8%,4.2%,100.0%,91.7%,7.3%,99.0%,94.8%,5.2%,100.0%,94.8%,5.2%,100.0%,92.7%,7.3%,100.0%,94.8%,5.2%,100.0%,9.4%,0.0%,7.3%
Sonoran Science Academy - Peoria,Charter,N,,26,17667 N 91ST AVE,PEORIA,AZ,85382,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,92.3%,0.0%,92.3%,92.3%,0.0%,92.3%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Sonoran Science Academy - Phoenix,Charter,N,,24,4837 E MCDOWELL RD,PHOENIX,AZ,85008,MARICOPA COUNTY,GREATER THAN,91.7%,0.0%,91.7%,83.3%,0.0%,83.3%,83.3%,0.0%,83.3%,95.8%,0.0%,95.8%,95.8%,0.0%,95.8%,95.8%,0.0%,95.8%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Sonoran Science Academy Davis-monthan,Charter,N,LPN,43,5741 E IRONWOOD ST,TUCSON,AZ,85708,PIMA COUNTY,GREATER THAN,97.7%,2.3%,100.0%,90.7%,7.0%,100.0%,93.0%,4.7%,100.0%,97.7%,2.3%,100.0%,95.3%,4.7%,100.0%,95.3%,2.3%,97.7%,97.7%,2.3%,100.0%,7.0%,0.0%,2.3%
Sonoran Science Academy Tucson Mh,Charter,N,,60,2325 W SUNSET RD,TUCSON,AZ,85741,PIMA COUNTY,GREATER THAN,96.7%,3.3%,100.0%,90.0%,1.7%,91.7%,86.7%,5.0%,91.7%,93.3%,3.3%,96.7%,96.7%,3.3%,100.0%,95.0%,3.3%,98.3%,95.0%,3.3%,98.3%,5.0%,0.0%,1.7%
Sonoran Science Adademy - Broadway,Charter,N,,27,6880 E BROADWAY BLVD,TUCSON,AZ,85710,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,81.5%,7.4%,100.0%,81.5%,7.4%,100.0%,96.3%,0.0%,96.3%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,7.4%,0.0%,0.0%
Sonoran Sky Elementary School,Public,N,,78,10150 W MISSOURI AVE,GLENDALE,AZ,85307,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,98.7%,0.0%,98.7%,98.7%,0.0%,98.7%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,1.3%,0.0%,0.0%
Sonoran Sky Elementary School,Public,Y,RN,88,12990 N 75TH ST,SCOTTSDALE,AZ,85260,MARICOPA COUNTY,GREATER THAN,93.2%,6.8%,100.0%,90.9%,8.0%,100.0%,93.2%,5.7%,100.0%,92.0%,6.8%,98.9%,92.0%,8.0%,100.0%,94.3%,5.7%,100.0%,95.5%,4.5%,100.0%,9.1%,0.0%,9.1%
Sousa Elementary,Public,Y,RN,92,616 N MOUNTAIN RD,MESA,AZ,85207,MARICOPA COUNTY,GREATER THAN,91.3%,4.3%,95.7%,94.6%,0.0%,94.6%,93.5%,6.5%,100.0%,93.5%,4.3%,97.8%,94.6%,5.4%,100.0%,94.6%,5.4%,100.0%,100.0%,0.0%,100.0%,8.7%,1.1%,0.0%
South Pointe Junior High School,Charter,N,,41,217 E OLYMPIC DR,PHOENIX,AZ,85042,MARICOPA COUNTY,GREATER THAN,97.6%,0.0%,97.6%,73.2%,0.0%,78.0%,73.2%,0.0%,78.0%,95.1%,0.0%,95.1%,95.1%,0.0%,95.1%,97.6%,0.0%,97.6%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
South Valley Prep And Arts School,Charter,N,,53,7450 S 40TH ST,PHOENIX,AZ,85042,MARICOPA COUNTY,GREATER THAN,94.3%,1.9%,96.2%,92.5%,3.8%,98.1%,92.5%,3.8%,98.1%,96.2%,3.8%,100.0%,96.2%,3.8%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,7.5%,0.0%,0.0%
Southgate Academy,Charter,N,,59,850 W VALENCIA RD,TUCSON,AZ,85706,PIMA COUNTY,GREATER THAN,98.3%,1.7%,100.0%,96.6%,1.7%,98.3%,96.6%,1.7%,98.3%,98.3%,1.7%,100.0%,98.3%,1.7%,100.0%,100.0%,0.0%,100.0%,98.3%,1.7%,100.0%,1.7%,0.0%,0.0%
Southside Community School,Charter,N,,29,2701 S CAMPBELL AVE,TUCSON,AZ,85713,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,96.6%,3.4%,100.0%,96.6%,3.4%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,3.4%,0.0%,0.0%
Southwest,Public,Y,LPN,45,1111 W DOBBINS RD,PHOENIX,AZ,85041,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Southwest Indian School - Living Word Academy,Private,N,,< 20,HWY 86,SELLS,AZ,85634,PIMA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Southwestern Christian School,Private,N,,29,3261 S AVENUE 6 E,YUMA,AZ,85365,YUMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,13.8%,0.0%,13.8%,100.0%,0.0%,100.0%,93.1%,0.0%,93.1%,100.0%,0.0%,100.0%,96.6%,0.0%,96.6%,0.0%,0.0%,0.0%
Spectrum Elementary,Public,Y,RN,114,2846 S SPECTRUM WAY,GILBERT,AZ,85295,MARICOPA COUNTY,GREATER THAN,95.6%,4.4%,100.0%,90.4%,5.3%,98.2%,90.4%,5.3%,98.2%,95.6%,4.4%,100.0%,95.6%,4.4%,100.0%,97.4%,2.6%,100.0%,95.6%,4.4%,100.0%,5.3%,2.6%,0.0%
Ss. Simon And Jude School,Private,Y,RN,48,6351 N 27TH AVE,PHOENIX,AZ,85017,MARICOPA COUNTY,GREATER THAN,97.9%,2.1%,100.0%,95.8%,2.1%,100.0%,95.8%,2.1%,100.0%,97.9%,2.1%,100.0%,97.9%,2.1%,100.0%,97.9%,2.1%,100.0%,97.9%,2.1%,100.0%,2.1%,0.0%,0.0%
St Ambrose Catholic School,Private,N,,27,300 S TUCSON BLVD,TUCSON,AZ,85716,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,96.3%,3.7%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,3.7%,0.0%
St Anthony Catholic School,Private,N,,< 20,1400 E OWENS,SHOW LOW,AZ,85901,NAVAJO COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St Catherine Of Siena,Private,N,,< 20,6413 S CENTRAL AVE,PHOENIX,AZ,85042,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St Elizabeth Ann Seton School,Private,N,,28,8650 N SHANNON RD,TUCSON,AZ,85742,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
St Peter Indian Mission Catholic School,Private,Y,RN,< 20,1500 NORTH ST PETER RD,BAPCHULE,AZ,85121,PINAL COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St Thomas Aquinas Grade School,Private,Y,RN,40,13720 W THOMAS RD,AVONDALE,AZ,85392,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,95.0%,5.0%,100.0%,95.0%,5.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,5.0%,0.0%,0.0%
St Vincent De Paul Catholic School,Private,N,,68,3130 N 51ST AVE,PHOENIX,AZ,85031,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,29.4%,0.0%,29.4%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
St. Agnes Catholic School,Private,N,,< 20,2311 E PALM LN,PHOENIX,AZ,85006,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Anthony Of Padua Catholic School,Private,N,,< 20,501 E 2ND ST,CASA GRANDE,AZ,85122,PINAL COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Cyril Of Alexandria,Private,N,,47,4725 E PIMA ST,TUCSON,AZ,85712,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,97.9%,2.1%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,2.1%,0.0%,0.0%
St. David Elementary School,Public,Y,RN,29,70 PATTON ST,SAINT DAVID,AZ,85630,COCHISE COUNTY,GREATER THAN,89.7%,10.3%,100.0%,89.7%,10.3%,100.0%,89.7%,10.3%,100.0%,89.7%,10.3%,100.0%,89.7%,10.3%,100.0%,89.7%,10.3%,100.0%,89.7%,10.3%,100.0%,0.0%,0.0%,10.3%
St. Francis Xavier Elementary School,Private,Y,RN,74,4715 N CENTRAL AVE,PHOENIX,AZ,85012,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
St. Gregory School - 6th Grade,Private,N,,47,3440 N 18TH AVE,PHOENIX,AZ,85015,MARICOPA COUNTY,GREATER THAN,97.9%,0.0%,97.9%,93.6%,0.0%,93.6%,10.6%,0.0%,10.6%,97.9%,0.0%,97.9%,97.9%,0.0%,97.9%,97.9%,0.0%,97.9%,100.0%,0.0%,100.0%,2.1%,0.0%,2.1%
St. Jerome Catholic School,Private,Y,RN,< 20,10815 N 35TH AVE,PHOENIX,AZ,85029,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. John Bosco,Private,Y,RN,47,16035 S 48TH ST,PHOENIX,AZ,85048,MARICOPA COUNTY,GREATER THAN,93.6%,6.4%,100.0%,93.6%,6.4%,100.0%,93.6%,6.4%,100.0%,100.0%,0.0%,100.0%,97.9%,2.1%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,6.4%,0.0%,0.0%
St. John The Evangelist Catholic School,Private,Y,RN,33,600 W AJO WAY,TUCSON,AZ,85713,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,90.9%,0.0%,90.9%,90.9%,0.0%,90.9%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
St. John Vianney Catholic School,Private,N,,30,539 E LA PASADA BLVD,GOODYEAR,AZ,85338,MARICOPA COUNTY,GREATER THAN,96.7%,0.0%,96.7%,96.7%,0.0%,100.0%,96.7%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,90.0%,0.0%,90.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
St. Johns Middle School,Public,N,,67,555 7TH S,SAINT JOHNS,AZ,85936,APACHE COUNTY,GREATER THAN,92.5%,7.5%,100.0%,89.6%,10.4%,100.0%,59.7%,10.4%,100.0%,91.0%,7.5%,98.5%,91.0%,7.5%,98.5%,92.5%,7.5%,100.0%,92.5%,7.5%,100.0%,9.0%,0.0%,9.0%
St. Joseph Catholic School,Private,N,,28,215 S CRAYCROFT RD,TUCSON,AZ,85711,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,92.9%,3.6%,100.0%,92.9%,3.6%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,3.6%,0.0%,0.0%
St. Louis The King Cathoic School,Private,N,,24,4331 W MARYLAND AVE,GLENDALE,AZ,85301,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
St. Mary-basha Catholic School,Private,Y,RN,56,200 W GALVESTON ST,CHANDLER,AZ,85225,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,91.1%,1.8%,92.9%,89.3%,1.8%,91.1%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,98.2%,0.0%,98.2%,100.0%,0.0%,100.0%,1.8%,0.0%,0.0%
St. Michael's Parish Day School,Private,Y,RN,41,602 N WILMOT RD,TUCSON,AZ,85711,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,97.6%,2.4%,100.0%,100.0%,0.0%,100.0%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,100.0%,0.0%,100.0%,0.0%,7.3%,0.0%
St. Peter's Episcopal Montessori School,Private,N,,< 20,400 S OLD LITCHFIELD RD,LITCHFIELD PARK,AZ,85340,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Thomas The Apostle Catholic School,Private,Y,RN,54,4510 N 24TH ST,PHOENIX,AZ,85016,MARICOPA COUNTY,GREATER THAN,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,1.9%,0.0%,1.9%
St. Timothy Catholic School,Private,Y,RN,21,2520 S ALMA SCHOOL RD,MESA,AZ,85210,MARICOPA COUNTY,GREATER THAN,95.2%,4.8%,100.0%,81.0%,14.3%,100.0%,81.0%,14.3%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,14.3%,0.0%,0.0%
Stanfield Elementary School,Public,N,,64,515 S STANFIELD RD,STANFIELD,AZ,85172,PINAL COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Star Charter School,Charter,N,,< 20,145 LEUPP RD,FLAGSTAFF,AZ,86004,COCONINO COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starline Elementary School,Public,Y,RN,99,3150 STARLINE DR,LAKE HAVASU CITY,AZ,86406,MOHAVE COUNTY,GREATER THAN,93.9%,6.1%,100.0%,90.9%,9.1%,100.0%,90.9%,9.1%,100.0%,93.9%,6.1%,100.0%,93.9%,6.1%,100.0%,93.9%,6.1%,100.0%,93.9%,6.1%,100.0%,9.1%,0.0%,6.1%
Step Up School,Charter,N,,< 20,44 E 5TH ST,MESA,AZ,85201,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stepping Stones Academy,Charter,N,,21,35812 N 7TH ST,PHOENIX,AZ,85086,MARICOPA COUNTY,GREATER THAN,95.2%,4.8%,100.0%,95.2%,0.0%,95.2%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,100.0%,0.0%,100.0%,4.8%,0.0%,0.0%
