SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE DTAP,% EXEMPT DTAP,% COMPLIANCE DTAP,% IMMUNE TDAP,% EXEMPT TDAP,% COMPLIANCE TDAP,% IMMUNE MCV4,% EXEMPT MCV4,% COMPLIANCE MCV4,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
KACHINA ELEMENTARY SCHOOL,5304 W CROCUS DR,GLENDALE,MARICOPA,85306,YES,RN,PUBLIC,45,97.8%,2.2%,100.0%,95.6%,4.4%,100.0%,97.8%,2.2%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,4.4%,0.0%,0.0%
KATHRYN SUE SIMONTON ELEMENTARY,40300 N SIMONTON BLVD,QUEEN CREEK,PINAL,85140,YES,LPN,PUBLIC,60,95.0%,3.3%,98.3%,88.3%,8.3%,98.3%,86.7%,10.0%,98.3%,95.0%,5.0%,100.0%,93.3%,5.0%,98.3%,95.0%,3.3%,98.3%,95.0%,5.0%,100.0%,10.0%,0.0%,1.7%
KELLER ELEMENTARY SCHOOL,1445 E HILTON AVE,MESA,MARICOPA,85204,YES,RN,PUBLIC,98,96.9%,0.0%,96.9%,96.9%,1.0%,100.0%,91.8%,1.0%,94.9%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,1.0%,1.0%,0.0%
KENILWORTH ELEMENTARY SCHOOL,1210 N 5TH AVE,PHOENIX,MARICOPA,85003,YES,RN,PUBLIC,60,100.0%,0.0%,100.0%,95.0%,0.0%,95.0%,91.7%,0.0%,91.7%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
KERR ELEMENTARY SCHOOL,125 E MCLELLAN RD,MESA,MARICOPA,85201,YES,RN,PUBLIC,103,97.1%,0.0%,97.1%,76.7%,0.0%,76.7%,75.7%,0.0%,75.7%,97.1%,0.0%,97.1%,97.1%,0.0%,97.1%,97.1%,0.0%,97.1%,100.0%,0.0%,100.0%,4.9%,0.0%,0.0%
KEYSTONE MONTESSORI CHARTER SCHOOL,1025 E LIBERTY LN,PHOENIX,MARICOPA,85048,NO,,CHARTER,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KHALSA MONTESSORI PRIMARY SCHOOL,2536 N 3RD ST,PHOENIX,MARICOPA,85004,NO,,CHARTER,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KHALSA MONTESSORI SCHOOL - RIVER RD,3701 E RIVER RD,TUCSON,PIMA,85718,NO,,CHARTER,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KINDERTOTS,1118 W GLENDALE AVE PHOENIX MARICOPA 85021,,MARICOPA,,NO,,PRIVATE,34,85.3%,14.7%,100.0%,58.8%,38.2%,100.0%,55.9%,41.2%,100.0%,82.4%,17.6%,100.0%,82.4%,17.6%,100.0%,82.4%,17.6%,100.0%,85.3%,14.7%,100.0%,47.1%,0.0%,5.9%
KINGMAN ACADEMY OF LEARNING - MIDDLE SCHOOL,3269 N HARRISON ST,KINGMAN,MOHAVE,,NO,,CHARTER,112,94.6%,5.4%,100.0%,94.6%,4.5%,100.0%,92.9%,5.4%,100.0%,95.5%,4.5%,100.0%,95.5%,4.5%,100.0%,95.5%,4.5%,100.0%,97.3%,2.7%,100.0%,5.4%,0.0%,2.7%
KINGMAN MIDDLE SCHOOL,1969 DETROIT AVE,KINGMAN,MOHAVE,86401,NO,,PUBLIC,252,88.9%,8.7%,97.6%,76.2%,0.0%,76.2%,75.4%,0.0%,75.4%,88.5%,9.1%,97.6%,88.5%,8.7%,97.2%,89.3%,8.3%,97.6%,89.3%,8.3%,97.6%,12.7%,0.0%,0.0%
KINGS RIDGE PREPARATORY ACADEMY,3650 S 64TH LN,PHOENIX,MARICOPA,85043,YES,LPN,PUBLIC,84,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,2.4%,0.0%,2.4%
KINGSWOOD ELEMENTARY SCHOOL,15150 W MONDELL RD,SURPRISE,MARICOPA,85374,NO,,PUBLIC,81,90.1%,8.6%,98.8%,77.8%,16.0%,97.5%,80.2%,16.0%,97.5%,91.4%,8.6%,100.0%,90.1%,9.9%,100.0%,91.4%,8.6%,100.0%,91.4%,8.6%,100.0%,17.3%,0.0%,6.2%
KIRKLAND ELEMENTARY SCHOOL,14200 W KIRKLAND-HILLSIDE RD,KIRKLAND,YAVAPAI,86332,NO,,PUBLIC,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KISER ELEMENTARY SCHOOL,INTERSTATE 8 EXIT 106,GILA BEND,MARICOPA,85337,NO,,PUBLIC,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KNOX ELEMENTARY SCHOOL,700 W ORCHID LN,CHANDLER,MARICOPA,85225,NO,,PUBLIC,87,97.7%,2.3%,100.0%,92.0%,4.6%,100.0%,93.1%,3.4%,100.0%,96.6%,3.4%,100.0%,96.6%,3.4%,100.0%,96.6%,3.4%,100.0%,95.4%,4.6%,100.0%,9.2%,0.0%,1.1%
KYRENE AKIMEL A-AL MIDDLE SCHOOL,2720 E LIBERTY LN,PHOENIX,MARICOPA,85048,YES,RN,PUBLIC,310,96.5%,3.2%,99.7%,77.4%,3.2%,82.9%,75.5%,3.2%,81.0%,95.8%,3.2%,99.0%,96.1%,3.2%,99.4%,96.5%,3.2%,99.7%,96.1%,3.2%,99.4%,3.9%,0.0%,3.2%
KYRENE ALTADENA MIDDLE SCHOOL,14620 S DESERT FOOTHILLS PKWY,PHOENIX,MARICOPA,85048,NO,,PUBLIC,347,95.1%,4.9%,100.0%,89.0%,4.9%,96.3%,88.8%,4.9%,96.0%,95.7%,4.3%,100.0%,95.4%,4.3%,100.0%,95.4%,4.6%,100.0%,96.0%,4.0%,100.0%,6.1%,0.3%,4.0%
KYRENE APRENDE MIDDLE SCHOOL,777 N DESERT BREEZE BLVD EAST,CHANDLER,MARICOPA,85226,NO,,PUBLIC,377,96.3%,2.9%,99.2%,88.1%,5.6%,96.0%,83.6%,3.7%,88.1%,95.8%,4.2%,100.0%,95.0%,5.0%,100.0%,96.0%,4.0%,100.0%,96.0%,3.7%,99.7%,7.4%,0.0%,2.7%
KYRENE CENTENNIAL MIDDLE SCHOOL,13808 S 36TH ST,PHOENIX,MARICOPA,85044,NO,,PUBLIC,295,97.6%,2.4%,100.0%,85.1%,4.1%,95.6%,77.6%,4.1%,88.8%,95.3%,2.4%,97.6%,95.9%,2.4%,98.3%,96.6%,2.4%,99.0%,97.6%,2.4%,100.0%,2.0%,0.0%,0.3%
KYRENE DEL PUEBLO MIDDLE SCHOOL,360 S TWELVE OAKS BLVD,CHANDLER,MARICOPA,85226,NO,,PUBLIC,286,88.8%,7.0%,95.8%,84.6%,7.0%,94.8%,83.2%,7.7%,94.1%,96.9%,3.1%,100.0%,95.5%,4.5%,100.0%,96.5%,3.5%,100.0%,96.9%,3.1%,100.0%,5.6%,0.0%,1.7%
KYRENE DEL SURENO SCHOOL,3375 W GALVESTON RD,CHANDLER,MARICOPA,85226,NO,,PUBLIC,83,92.8%,7.2%,100.0%,89.2%,7.2%,97.6%,85.5%,7.2%,94.0%,92.8%,7.2%,100.0%,92.8%,7.2%,100.0%,92.8%,7.2%,100.0%,92.8%,7.2%,100.0%,7.2%,0.0%,7.2%
KYRENE MIDDLE SCHOOL,1050 E CARVER RD,TEMPE,MARICOPA,85284,NO,,PUBLIC,324,97.2%,1.5%,98.8%,74.1%,1.5%,77.8%,67.0%,2.2%,71.3%,96.0%,1.9%,97.8%,96.0%,2.2%,98.1%,96.6%,1.5%,98.1%,95.4%,1.5%,96.9%,1.5%,0.0%,1.2%
LA CIMA MIDDLE SCHOOL,5600 N LA CANADA RD,TUCSON,PIMA,85704,YES,RN,PUBLIC,151,100.0%,0.0%,100.0%,98.7%,0.7%,100.0%,98.0%,0.7%,100.0%,99.3%,0.0%,99.3%,99.3%,0.0%,99.3%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.7%,0.0%,0.7%
LA PALOMA ACADEMY - CENTRAL,2050 N WILMOT RD,TUCSON,PIMA,85712,NO,,CHARTER,89,96.6%,0.0%,96.6%,80.9%,18.0%,100.0%,77.5%,0.0%,100.0%,89.9%,0.0%,89.9%,88.8%,0.0%,88.8%,97.8%,0.0%,97.8%,97.8%,0.0%,97.8%,0.0%,0.0%,0.0%
LA PALOMA ACADEMY - LAKESIDE,8140 E GOLF LINKS RD,TUCSON,PIMA,,NO,,CHARTER,86,100.0%,0.0%,100.0%,93.0%,0.0%,93.0%,94.2%,0.0%,100.0%,98.8%,0.0%,98.8%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
LA PALOMA ACADEMY SOUTH,5660 S 12TH AVE,TUCSON,PIMA,85706,NO,,CHARTER,40,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,97.5%,0.0%,97.5%,100.0%,0.0%,100.0%,97.5%,0.0%,97.5%,0.0%,0.0%,0.0%
LA TIERRA COMMUNITY SCHOOL,124 N VIRGINIA ST,PRESCOTT,YAVAPAI,86301,NO,,CHARTER,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LAFE NELSON SCHOOL,1100 10TH AVE,SAFFORD,GRAHAM,85546,YES,RN,PUBLIC,81,96.3%,3.7%,100.0%,91.4%,8.6%,100.0%,91.4%,8.6%,100.0%,95.1%,4.9%,100.0%,93.8%,6.2%,100.0%,98.8%,1.2%,100.0%,96.3%,3.7%,100.0%,9.9%,0.0%,1.2%
LAGUNA ELEMENTARY SCHOOL,5001 N SHANNON RD,TUCSON,PIMA,85705,NO,,PUBLIC,63,100.0%,0.0%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
LAIRD ELEMENTARY SCHOOL,1500 N SCOVEL ST,TEMPE,MARICOPA,85281,YES,RN,PUBLIC,67,97.0%,3.0%,100.0%,89.6%,3.0%,100.0%,89.6%,3.0%,100.0%,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,3.0%,0.0%,3.0%
LAKE VALLEY ELEMENTARY SCHOOL,3900 N STARLIGHT DR,PRESCOTT VALLEY,YAVAPAI,86314,YES,RN,PUBLIC,59,93.2%,6.8%,100.0%,93.2%,6.8%,100.0%,93.2%,6.8%,100.0%,93.2%,6.8%,100.0%,93.2%,6.8%,100.0%,93.2%,6.8%,100.0%,93.2%,6.8%,100.0%,6.8%,0.0%,6.8%
LAKEVIEW ELEMENTARY SCHOOL,3040 W YUCCA ST,PHOENIX,MARICOPA,85029,NO,,PUBLIC,88,98.9%,1.1%,100.0%,96.6%,2.3%,100.0%,96.6%,2.3%,100.0%,98.9%,1.1%,100.0%,98.9%,1.1%,100.0%,98.9%,1.1%,100.0%,98.9%,1.1%,100.0%,2.3%,0.0%,1.1%
LARKSPUR ELEMENTARY SCHOOL,2430 E LARKSPUR DR,PHOENIX,MARICOPA,85032,YES,RN,PUBLIC,68,95.6%,4.4%,100.0%,94.1%,5.9%,100.0%,94.1%,5.9%,100.0%,94.1%,5.9%,100.0%,94.1%,5.9%,100.0%,94.1%,5.9%,100.0%,94.1%,5.9%,100.0%,5.9%,0.0%,4.4%
LARRY C KENNEDY SCHOOL,2702 E OSBORN RD,PHOENIX,MARICOPA,85016,YES,RN,PUBLIC,61,98.4%,1.6%,100.0%,93.4%,1.6%,95.1%,93.4%,1.6%,95.1%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,1.6%,0.0%,1.6%
LAS BRISAS ACADEMY,18211 W LAS BRISAS DR,GOODYEAR,MARICOPA,85338,NO,,PUBLIC,54,92.6%,7.4%,100.0%,92.6%,7.4%,100.0%,92.6%,7.4%,100.0%,92.6%,7.4%,100.0%,92.6%,7.4%,100.0%,92.6%,7.4%,100.0%,92.6%,7.4%,100.0%,7.4%,0.0%,7.4%
LAS BRISAS ELEMENTARY SCHOOL,5805 W ALAMEDA,GLENDALE,MARICOPA,85310,YES,RN,PUBLIC,117,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,97.4%,2.6%,100.0%,95.7%,4.3%,100.0%,93.2%,6.8%,100.0%,94.9%,5.1%,100.0%,8.5%,0.0%,3.4%
LAS SENDAS ELEMENTARY SCHOOL,3120 N RED MOUNTAIN RD,MESA,MARICOPA,85207,YES,RN,PUBLIC,122,91.0%,9.0%,100.0%,89.3%,10.7%,100.0%,88.5%,11.5%,100.0%,90.2%,9.8%,100.0%,91.0%,9.0%,100.0%,88.5%,11.5%,100.0%,92.6%,7.4%,100.0%,13.9%,0.0%,7.4%
LAVEEN ELEMENTARY SCHOOL,4141 W MCNEIL STREET,LAVEEN,MARICOPA,85339,YES,RN,PUBLIC,99,99.0%,1.0%,100.0%,84.8%,10.1%,99.0%,85.9%,9.1%,99.0%,99.0%,1.0%,100.0%,99.0%,1.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,10.1%,0.0%,2.0%
LAWRENCE W CROSS MIDDLE SCHOOL,1000 W CHAPALA DR,TUCSON,PIMA,85704,YES,RN,PUBLIC,239,98.7%,1.3%,100.0%,91.2%,5.0%,96.2%,90.4%,4.6%,95.0%,97.1%,2.9%,100.0%,97.9%,2.1%,100.0%,97.9%,2.1%,100.0%,98.7%,1.3%,100.0%,5.9%,0.0%,0.8%
LE PERA ELEMENTARY SCHOOL,TAHBO RD AND MOHAVE RD,PARKER,LA PAZ,85371,NO,,PUBLIC,29,100.0%,0.0%,100.0%,93.1%,3.4%,100.0%,93.1%,3.4%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,3.4%,0.0%,0.0%
LEADING EDGE ACADEMY - MARICOPA CAMPUS,19302 N PORTER RD,MARICOPA,PINAL,85238,NO,,CHARTER,76,96.1%,1.3%,97.4%,77.6%,5.3%,85.5%,76.3%,5.3%,84.2%,98.7%,0.0%,98.7%,96.1%,2.6%,98.7%,97.4%,1.3%,98.7%,97.4%,0.0%,97.4%,5.3%,0.0%,0.0%
LEARNING FOUNDATION AND PERFORMING ARTS ALTA MESA,5761 E BROWN RD,MESA,MARICOPA,85205,NO,,CHARTER,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LEARNING FOUNDATION AND PERFORMING ARTS WARNER,3939 E WARNER RD,GILBERT,MARICOPA,85296,NO,,CHARTER,66,89.4%,10.6%,100.0%,69.7%,16.7%,89.4%,69.7%,18.2%,90.9%,87.9%,10.6%,98.5%,89.4%,10.6%,100.0%,87.9%,10.6%,98.5%,89.4%,9.1%,98.5%,18.2%,0.0%,9.1%
LEE KORNEGAY INTERMEIDATE SCHOOL,PO BOX 2070,MIAMI,GILA,85539,NO,,PUBLIC,78,98.7%,1.3%,100.0%,56.4%,1.3%,59.0%,55.1%,1.3%,57.7%,97.4%,1.3%,98.7%,94.9%,1.3%,96.2%,98.7%,1.3%,100.0%,97.4%,1.3%,98.7%,1.3%,1.3%,1.3%
LEGACY TRADITIONAL  SCHOOL- GOODYEAR,16060 W LOWER BUCKEYE PWY,GOODYEAR,MARICOPA,85338,YES,LPN,CHARTER,48,95.8%,4.2%,100.0%,95.8%,2.1%,100.0%,89.6%,8.3%,100.0%,89.6%,10.4%,100.0%,95.8%,4.2%,100.0%,95.8%,4.2%,100.0%,95.8%,4.2%,100.0%,8.3%,0.0%,4.2%
LEGACY TRADITIONAL CHARTER SCHOOL - GILBERT,2747 S RECKER RD,GILBERT,MARICOPA,85295,NO,,CHARTER,154,96.1%,3.9%,100.0%,94.2%,5.2%,100.0%,87.7%,12.3%,100.0%,95.5%,4.5%,100.0%,94.8%,5.2%,100.0%,94.8%,5.2%,100.0%,95.5%,4.5%,100.0%,9.1%,13.0%,3.9%
LEGACY TRADITIONAL CHARTER SCHOOL - LAVEEN VILLAGE,7900 S 43RD AVE,LAVEEN,MARICOPA,85339,NO,,CHARTER,149,98.7%,0.7%,100.0%,82.6%,4.0%,91.3%,75.8%,3.4%,94.0%,89.3%,1.3%,92.6%,99.3%,0.0%,99.3%,97.3%,1.3%,98.7%,98.7%,1.3%,100.0%,5.4%,0.7%,5.4%
LEGACY TRADITIONAL SCHOOL - AVONDALE,12320 W VAN BUREN ST,AVONDALE,MARICOPA,85323,YES,RN,CHARTER,151,98.0%,2.0%,100.0%,92.1%,5.3%,98.7%,92.1%,5.3%,98.7%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,5.3%,0.0%,2.0%
LEGACY TRADITIONAL SCHOOL - CASA GRANDE,1274 E O'NEIL DR,CASA GRANDE,PINAL,85138,NO,,CHARTER,156,98.7%,1.3%,100.0%,94.2%,1.9%,96.2%,94.9%,1.9%,96.8%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,1.9%,0.0%,1.9%
LEGACY TRADITIONAL SCHOOL - CHANDLER,3201 S GILBERT RD,CHANDLER,MARICOPA,85286,NO,,CHARTER,150,96.0%,4.0%,100.0%,90.0%,7.3%,99.3%,88.0%,8.0%,98.0%,94.7%,5.3%,100.0%,95.3%,4.7%,100.0%,93.3%,6.7%,100.0%,95.3%,4.7%,100.0%,11.3%,0.7%,4.0%
LEGACY TRADITIONAL SCHOOL - GLENDALE,13091 N 67TH AVE,GLENDALE,MARICOPA,85306,NO,,PUBLIC,121,97.5%,2.5%,100.0%,95.0%,4.1%,100.0%,95.0%,4.1%,100.0%,98.3%,0.8%,100.0%,98.3%,0.8%,100.0%,97.5%,1.7%,100.0%,99.2%,0.8%,100.0%,5.8%,0.8%,0.8%
LEGACY TRADITIONAL SCHOOL - MARICOPA,17760 REGENT DR,MARICOPA,PINAL,85138,NO,,CHARTER,157,96.8%,1.9%,100.0%,80.9%,4.5%,88.5%,80.3%,4.5%,87.9%,86.6%,3.2%,100.0%,95.5%,3.2%,100.0%,96.2%,3.8%,100.0%,95.5%,3.8%,99.4%,5.1%,1.9%,0.0%
LEGACY TRADITIONAL SCHOOL - NORTH CHANDLER,1900 N MCQUEEN RD,CHANDLER,MARICOPA,85225,NO,,CHARTER,85,87.1%,12.9%,100.0%,100.0%,0.0%,100.0%,87.1%,12.9%,100.0%,94.1%,5.9%,100.0%,94.1%,5.9%,100.0%,94.1%,5.9%,100.0%,94.1%,5.9%,100.0%,12.9%,0.0%,5.9%
LEGACY TRADITIONAL SCHOOL - NORTHWEST TUCSON,3500 W CORTARO FARMS RD,TUCSON,PIMA,85742,NO,,CHARTER,126,94.4%,5.6%,100.0%,84.9%,11.1%,97.6%,84.1%,11.1%,96.8%,87.3%,6.3%,100.0%,94.4%,5.6%,100.0%,94.4%,5.6%,100.0%,94.4%,5.6%,100.0%,16.7%,0.8%,5.6%
LEGACY TRADITIONAL SCHOOL - PEORIA,7877 W. HILLCREST BLVD,PEORIA,MARICOPA,85383,NO,,CHARTER,59,100.0%,0.0%,100.0%,93.2%,5.1%,100.0%,89.8%,6.8%,96.6%,94.9%,1.7%,100.0%,96.6%,3.4%,100.0%,96.6%,3.4%,100.0%,98.3%,1.7%,100.0%,8.5%,0.0%,8.5%
LEGACY TRADITIONAL SCHOOL - PHOENIX,4545 N 99TH AVE,PHOENIX,MARICOPA,85037,NO,,CHARTER,157,94.9%,5.1%,100.0%,94.9%,5.1%,100.0%,94.9%,5.1%,100.0%,94.9%,5.1%,100.0%,94.9%,5.1%,100.0%,94.9%,5.1%,100.0%,94.9%,5.1%,100.0%,5.1%,0.0%,5.1%
LEGACY TRADITIONAL SCHOOL- EAST MESA,10707 E GUADALUPE RD,MESA,MARICOPA,85212,NO,,CHARTER,93,89.2%,10.8%,100.0%,87.1%,11.8%,100.0%,86.0%,14.0%,100.0%,89.2%,10.8%,100.0%,88.2%,11.8%,100.0%,89.2%,10.8%,100.0%,89.2%,10.8%,100.0%,14.0%,0.0%,10.8%
LEGACY TRADITIONAL SCHOOL SURPRISE,14506 W SWEETWATER AVE,SURPRISE,MARICOPA,85379,NO,,CHARTER,228,95.2%,4.4%,99.6%,85.1%,10.5%,95.6%,84.2%,11.0%,95.6%,94.7%,3.5%,98.2%,95.2%,4.4%,99.6%,94.7%,4.8%,99.6%,95.6%,3.9%,99.6%,11.4%,0.4%,4.8%
LEGACY TRADITIONAL SCHOOL-QUEEN CREEK,41800 N. BARNES PKWY,QUEEN CREEK,PINAL,85140,NO,,CHARTER,155,96.1%,3.9%,100.0%,89.7%,5.2%,96.8%,87.7%,5.2%,95.5%,96.1%,3.9%,100.0%,94.8%,5.2%,100.0%,97.4%,2.6%,100.0%,97.4%,2.6%,100.0%,8.4%,0.0%,2.6%
LEGEND SPRINGS ELEMENTARY,21150 N ARROWHEAD LOOP,GLENDALE,MARICOPA,85308,YES,RN,PUBLIC,91,96.7%,3.3%,100.0%,95.6%,4.4%,100.0%,94.5%,5.5%,100.0%,95.6%,4.4%,100.0%,96.7%,3.3%,100.0%,97.8%,2.2%,100.0%,97.8%,2.2%,100.0%,6.6%,0.0%,2.2%
LEHI ELEMENTARY SCHOOL,2555 N STAPLEY DR,MESA,MARICOPA,85203,YES,RN,PUBLIC,56,94.6%,1.8%,96.4%,94.6%,1.8%,98.2%,94.6%,1.8%,98.2%,98.2%,1.8%,100.0%,98.2%,1.8%,100.0%,98.2%,1.8%,100.0%,100.0%,0.0%,100.0%,1.8%,0.0%,1.8%
LEMAN ACADEMY OF EXCELLENCE - EAST CAMPUS,10200 E GOLF LINKS RD,TUCSON,PIMA,85743,YES,RN,CHARTER,81,93.8%,6.2%,100.0%,91.4%,8.6%,100.0%,90.1%,9.9%,100.0%,93.8%,6.2%,100.0%,93.8%,6.2%,100.0%,93.8%,6.2%,100.0%,93.8%,6.2%,100.0%,9.9%,0.0%,6.2%
LEMAN ACADEMY OF EXCELLENCE - EAST MESA,3761 S POWER RD,MESA,MARICOPA,85212,NO,,CHARTER,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LEMAN ACADEMY OF EXCELLENCE - MARANA,"7720 N SILVERBELL RD, BLDG 1 & 2",TUCSON,PIMA,85743,YES,RN,CHARTER,117,94.9%,5.1%,100.0%,89.7%,6.8%,98.3%,89.7%,6.8%,98.3%,94.9%,5.1%,100.0%,95.7%,4.3%,100.0%,94.9%,5.1%,100.0%,94.9%,5.1%,100.0%,7.7%,0.0%,4.3%
LEMAN ACADEMY OF EXCELLENCE - ORO VALLEY,12255 N LA CAÑADA DRIVE,ORO VALLEY,PIMA,85755,YES,LPN,CHARTER,75,94.7%,5.3%,100.0%,90.7%,9.3%,100.0%,90.7%,9.3%,100.0%,94.7%,5.3%,100.0%,93.3%,6.7%,100.0%,93.3%,6.7%,100.0%,94.7%,5.3%,100.0%,10.7%,0.0%,2.7%
LEMAN ACADEMY OF EXCELLENCE - SIERRA VISTA,1000 E. WILCOX DR,SIERRA VISTA,COCHISE,85635,NO,,CHARTER,77,96.1%,3.9%,100.0%,90.9%,3.9%,97.4%,90.9%,3.9%,97.4%,94.8%,3.9%,100.0%,96.1%,3.9%,100.0%,94.8%,3.9%,100.0%,96.1%,3.9%,100.0%,3.9%,0.0%,3.9%
LEMAN VIRTUAL ACADEMY,7720 N SILVERBELL RD,TUCSON,PIMA,85743,YES,RN,CHARTER,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LEONOR HAMBLY K-8,824 THORNE AVE,WINKLEMAN,GILA,85292,NO,,PUBLIC,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LEUPP BOARDING SCHOOL,,LEUPP,COCONINO,,NO,,PRIVATE,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LIBERTY ARTS ACADEMY,3015 S POWER RD,MESA,MARICOPA,85212,NO,,CHARTER,29,86.2%,13.8%,100.0%,100.0%,0.0%,100.0%,72.4%,27.6%,100.0%,86.2%,13.8%,100.0%,86.2%,13.8%,100.0%,86.2%,13.8%,100.0%,86.2%,13.8%,100.0%,13.8%,0.0%,0.0%
LIBERTY ELEMENTARY SCHOOL,5495 S LIBERTY AVE,TUCSON,PIMA,85706,YES,RN,PUBLIC,108,100.0%,0.0%,100.0%,95.4%,3.7%,100.0%,95.4%,3.7%,100.0%,99.1%,0.0%,100.0%,100.0%,0.0%,100.0%,99.1%,0.0%,100.0%,100.0%,0.0%,100.0%,3.7%,0.0%,0.0%
LIBERTY ELEMENTARY SCHOOL-85254,5125 E MARILYN RD,SCOTTSDALE,MARICOPA,85254,YES,RN,PUBLIC,83,94.0%,3.6%,97.6%,88.0%,6.0%,94.0%,84.3%,7.2%,91.6%,96.4%,3.6%,100.0%,95.2%,3.6%,98.8%,96.4%,2.4%,98.8%,95.2%,4.8%,100.0%,8.4%,0.0%,8.4%
LIBERTY TRADITIONAL CHARTER SCHOOL,4901 W INDIAN SCHOOL RD,PHOENIX,MARICOPA,85031,NO,,CHARTER,33,100.0%,0.0%,100.0%,97.0%,0.0%,100.0%,97.0%,0.0%,100.0%,84.8%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
