SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE DTAP,% EXEMPT DTAP,% COMPLIANCE DTAP,% IMMUNE TDAP,% EXEMPT TDAP,% COMPLIANCE TDAP,% IMMUNE MCV4,% EXEMPT MCV4,% COMPLIANCE MCV4,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
DODGE TRADITIONAL MAGNET MIDDLE SCHOOL,5831 E PIMA ST,TUCSON,PIMA,85712,YES,RN,PUBLIC,144,97%,1%,100%,96%,3%,99%,95%,3%,99%,99%,1%,100%,99%,1%,100%,98%,2%,100%,99%,1%,100%,5%,0%,0%
DON MENSENDICK SCHOOL,5535 N. 67TH AVE,GLENDALE,MARICOPA,85301,YES,LPN,PUBLIC,174,98%,1%,100%,96%,3%,100%,96%,3%,100%,98%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,2%,1%,1%
DOOLEN MIDDLE SCHOOL,2400 N COUNTRY CLUB RD,TUCSON,PIMA,85716,YES,RN,PUBLIC,213,95%,0%,100%,95%,2%,97%,95%,2%,98%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,2%,1%,0%
DOROTHY STINSON SCHOOL,2013 S 8TH AVE,SAFFORD,GRAHAM,85546,YES,RN,PUBLIC,73,100%,0%,100%,93%,1%,95%,93%,1%,95%,99%,1%,100%,99%,0%,99%,100%,0%,100%,100%,0%,100%,1%,0%,0%
DOS RIOS ELEMENTARY,2150 S 87TH AVE,TOLLESON,MARICOPA,85353,NO,,PUBLIC,67,97%,1%,100%,100%,0%,100%,93%,0%,100%,94%,1%,100%,97%,1%,100%,97%,1%,100%,100%,0%,100%,1%,0%,1%
DOUBLE ADOBE ELEMENTARY SCHOOL,7081 N CENTRAL HWY,MCNEAL,COCHISE,85617,NO,,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DR DANIEL BRIGHT ELEMENTARY SCHOOL,1500 S MONTE TESORO DR,COTTONWOOD,YAVAPAI,86326,NO,,PUBLIC,71,93%,7%,100%,75%,23%,97%,72%,25%,97%,93%,7%,100%,93%,7%,100%,92%,8%,100%,93%,7%,100%,25%,0%,7%
DR HOWARD K CONLEY ELEMENTARY SCHOOL,500 S ARROWHEAD DR,CHANDLER,MARICOPA,85224,NO,,PUBLIC,95,97%,3%,100%,82%,12%,97%,82%,13%,97%,97%,3%,100%,97%,3%,100%,98%,2%,100%,97%,3%,100%,16%,0%,2%
DR. GARY AND ANNETTE AUXIER ELEMENTARY SCHOOL,22700 S POWER RD,QUEEN CREEK,MARICOPA,85142,NO,,PUBLIC,140,97%,3%,100%,68%,21%,100%,68%,21%,100%,96%,4%,100%,97%,3%,100%,94%,6%,100%,96%,4%,100%,25%,0%,2%
DRACHMAN PRIMARY MAGNET SCHOOL,1085 S 10TH AVE,TUCSON,PIMA,85701,YES,RN,PUBLIC,31,94%,6%,100%,94%,6%,100%,94%,6%,100%,94%,6%,100%,97%,3%,100%,94%,6%,100%,97%,3%,100%,3%,0%,3%
DREXEL ELEMENTARY SCHOOL,801 E DREXEL RD,TUCSON,PIMA,85706,YES,RN,PUBLIC,79,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
DUNCAN ELEMENTARY SCHOOL,MCGRATH AVE,DUNCAN,GREENLEE,85534,NO,,PUBLIC,30,100%,0%,100%,73%,0%,73%,70%,0%,70%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,3%,0%
DWIGHT PATTERSON ELEMENTARY,615 S CHESHIRE,MESA,MARICOPA,85208,YES,RN,PUBLIC,107,99%,1%,100%,94%,1%,100%,97%,3%,100%,98%,2%,100%,99%,1%,100%,95%,5%,100%,97%,3%,100%,7%,0%,1%
DYSART ELEMENTARY SCHOOL,12950 W VARNEY RD,EL MIRAGE,MARICOPA,85335,YES,RN,PUBLIC,99,99%,1%,100%,79%,15%,95%,80%,15%,95%,99%,1%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,16%,0%,1%
EAGLE COLLEGE PREP,2450 W SOUTH MOUNTAIN AVE,PHOENIX,MARICOPA,85041,NO,,CHARTER,76,96%,3%,100%,76%,12%,91%,75%,12%,89%,96%,3%,100%,96%,3%,100%,95%,3%,99%,97%,3%,100%,12%,0%,3%
EAGLE COLLEGE PREP - MARYVALE,3950 N 53RD AVE,PHOENIX,MARICOPA,85031,NO,,CHARTER,40,100%,0%,100%,98%,0%,98%,98%,0%,98%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
EAGLE COLLEGE PREP - MESA,1619 E MAIN ST,MESA,MARICOPA,85203,NO,,CHARTER,24,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
EAGLE COLLEGE PREP HARMONY,2435 E PECAN RD,PHOENIX,MARICOPA,85040,NO,,CHARTER,23,78%,0%,78%,78%,0%,78%,78%,0%,78%,78%,0%,78%,78%,0%,78%,65%,0%,78%,78%,0%,78%,0%,0%,0%
EAGLE RIDGE ELEMENTARY SCHOOL,19801 N 13TH ST,PHOENIX,MARICOPA,85024,YES,RN,PUBLIC,72,93%,0%,93%,67%,0%,67%,69%,0%,69%,97%,0%,97%,99%,0%,99%,97%,0%,97%,100%,0%,100%,0%,0%,0%
EAGLERIDGE ENRICHMENT PROGRAM,1313 W MEDINA AVE,MESA,MARICOPA,85202,YES,RN,PUBLIC,78,73%,27%,100%,62%,37%,100%,62%,38%,100%,72%,28%,100%,74%,26%,100%,77%,23%,100%,100%,0%,100%,41%,0%,41%
EAST FORK LUTHERAN GRADE SCHOOL,4325 FORT APACHE RD,WHITERIVER,NAVAJO,85941,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EAST VALLEY ACADEMY-85203,1858 E BROWN RD,MESA,MARICOPA,85203,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECHO MOUNTAIN INTERMEDIATE SCHOOL,1811 E MICHIGAN AVE,PHOENIX,MARICOPA,85022,YES,RN,PUBLIC,141,97%,2%,99%,95%,5%,100%,94%,6%,100%,98%,2%,100%,97%,3%,100%,99%,1%,100%,99%,1%,100%,6%,0%,2%
ED & VERMA PASTOR ELEMENTARY SCHOOL,2101 W ALTA VISTA RD,PHOENIX,MARICOPA,85041,YES,LPN,PUBLIC,60,95%,5%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,5%,0%,5%
ED PASTOR ELEMENTARY 4,985 N 6TH AVE,SAN LUIS,YUMA,85349,YES,LPN,PUBLIC,60,100%,0%,100%,95%,0%,100%,95%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
EDISON ELEMENTARY SCHOOL,545 N HORNE,MESA,MARICOPA,85203,YES,RN,PUBLIC,118,96%,4%,100%,95%,4%,100%,94%,6%,100%,98%,2%,100%,98%,2%,100%,97%,3%,100%,100%,0%,100%,7%,2%,7%
EDISON SCHOOL OF INNOVATION,8340 W NORTHERN AVE,GLENDALE,MARICOPA,85305,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EDUPRENEURSHIP STUDENT CENTER (ESC) PHOENIX,7801 N 27TH AVE,PHOENIX,MARICOPA,85051,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EDUPRIZE SCHOOL,4567 W ROBERTS RD,QUEEN CREEK,PINAL,85142,YES,RN,CHARTER,212,95%,5%,100%,89%,10%,100%,89%,10%,100%,96%,4%,100%,94%,6%,100%,96%,4%,100%,93%,7%,100%,11%,0%,3%
EDUPRIZE SCHOOL - GILBERT,580 W MELODY DR,GILBERT,MARICOPA,85233,YES,RN,CHARTER,201,94%,6%,100%,81%,10%,91%,80%,9%,90%,94%,6%,100%,94%,6%,100%,94%,6%,100%,94%,6%,100%,10%,0%,2%
EISENHOWER ELEMENTARY SCHOOL,848 N MESA DR,MESA,MARICOPA,85201,YES,RN,PUBLIC,80,99%,1%,100%,96%,4%,100%,96%,4%,100%,100%,0%,100%,98%,3%,100%,100%,0%,100%,100%,0%,100%,3%,1%,0%
EL CAPITAN PUBLIC SCHOOL,255 N COTTONWOOD ST,COLORADO CITY,MOHAVE,,YES,RN,PUBLIC,43,42%,58%,100%,23%,60%,84%,16%,65%,81%,33%,65%,98%,40%,58%,98%,33%,63%,98%,35%,65%,100%,67%,0%,51%
EL DORADO PRIVATE SCHOOL,20624 N 76TH ST,SCOTTSDALE,MARICOPA,85255,NO,,PRIVATE,24,92%,8%,100%,92%,8%,100%,92%,8%,100%,96%,4%,100%,92%,4%,100%,96%,4%,100%,96%,4%,100%,4%,4%,4%
EL MIRAGE ELEMENTARY SCHOOL,12308 W THUNDERBIRD RD,EL MIRAGE,MARICOPA,85335,NO,,PUBLIC,93,99%,1%,100%,97%,1%,100%,97%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,2%,0%,1%
ELGIN ELEMENTARY SCHOOL,293 UPPER ELGIN RD,ELGIN,SANTA CRUZ,85611,YES,RN,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ELLSWORTH ELEMENTARY,38454 N CAROLINA AVE,QUEEN CREEK,PINAL,85140,NO,,PUBLIC,100,98%,2%,100%,91%,5%,97%,90%,5%,96%,99%,1%,100%,98%,2%,100%,99%,1%,100%,99%,1%,100%,7%,0%,1%
ELOY JUNIOR HIGH SCHOOL,404 E PHOENIX AVE,ELOY,PINAL,85131,NO,,PUBLIC,92,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,99%,1%,100%,1%,0%,0%
ELVIRA ELEMENTARY SCHOOL,250 W ELVIRA RD,TUCSON,PIMA,85756,YES,RN,PUBLIC,105,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
EMERSON ELEMENTARY SCHOOL,415 N WESTWOOD RD,MESA,MARICOPA,85201,YES,RN,PUBLIC,133,93%,5%,98%,92%,5%,97%,89%,5%,94%,95%,5%,100%,96%,4%,100%,96%,4%,100%,83%,17%,100%,5%,0%,2%
EMMANUEL CHRISTIAN ACADEMY,3120 HUALAPAI MOUNTAIN RD,KINGMAN,MOHAVE,86401,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EMMANUEL LUTHERAN SCHOOL,715 W SOUTHERN AVE,TEMPE,MARICOPA,85282,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EMMAUS LUTHERAN SCHOOL,3841 W SWEETWATER AVE,PHOENIX,MARICOPA,85029,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EMPOWER COLLEGE PREP,5757 N CENTRAL AVE,PHOENIX,MARICOPA,85012,NO,,CHARTER,75,83%,0%,83%,65%,0%,69%,12%,0%,12%,75%,0%,75%,80%,0%,100%,79%,0%,79%,87%,0%,87%,0%,0%,0%
ENTZ ELEMENTARY SCHOOL,4132 E ADOBE ST,MESA,MARICOPA,85205,YES,RN,PUBLIC,107,97%,3%,100%,94%,6%,100%,94%,6%,100%,98%,2%,100%,98%,2%,100%,97%,3%,100%,99%,1%,100%,6%,0%,2%
ESMOND STATION SCHOOL,9400 S ATTERBURY WASH WAY,TUCSON,PIMA,85747,NO,,PUBLIC,80,98%,3%,100%,95%,5%,100%,95%,4%,100%,98%,3%,100%,98%,3%,100%,99%,1%,100%,99%,1%,100%,5%,0%,1%
ESPERANZA ELEMENTARY SCHOOL,2353 E BANTAM,TUCSON,PIMA,85706,YES,RN,PUBLIC,77,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
ESPERANZA ELEMENTARY SCHOOL-85027,251 W MOHAWK LN,PHOENIX,MARICOPA,85027,YES,LPN,PUBLIC,76,93%,7%,100%,92%,8%,100%,91%,8%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,8%,0%,8%
ESPERERO CANYON MIDDLE SCHOOL,5801 N SABINO CANYON RD,TUCSON,PIMA,85750,YES,RN,PUBLIC,215,98%,2%,100%,93%,5%,100%,93%,4%,100%,99%,1%,100%,98%,2%,100%,99%,1%,100%,99%,1%,100%,6%,0%,1%
ESTRELLA MIDDLE SCHOOL,3733 N 75TH AVE,PHOENIX,MARICOPA,85033,NO,,PUBLIC,408,99%,0%,100%,95%,2%,99%,95%,2%,99%,98%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,3%,0%,0%
ESTRELLA MOUNTAIN ELEMENTARY SCHOOL,10301 S SAN MIGUEL,GOODYEAR,MARICOPA,85338,NO,,PUBLIC,68,97%,3%,100%,96%,4%,100%,96%,4%,100%,97%,3%,100%,96%,3%,100%,97%,3%,100%,99%,1%,100%,4%,0%,3%
ESTRELLA VISTA ELEMENTARY,11905 W COCOPAH CIR,AVONDALE,MARICOPA,85323,NO,,PUBLIC,115,98%,2%,100%,98%,0%,100%,98%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,2%,0%,0%
ETHOS ACADEMY,8840 N. 43RD AVE,GLENDALE,MARICOPA,85302,NO,,CHARTER,38,89%,5%,95%,26%,5%,32%,21%,5%,26%,95%,5%,100%,92%,5%,97%,89%,5%,95%,92%,5%,97%,5%,3%,5%
EVANS LEARNING CENTER/DESERT CHOICE SCHOOLS,4525 S COLLEGE,TEMPE,MARICOPA,85282,NO,,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EXCELENCIA SCHOOL,2181 E MCDOWELL RD,PHOENIX,MARICOPA,85006,YES,LPN,PUBLIC,91,100%,0%,100%,97%,1%,100%,97%,1%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,1%,0%,0%
FAITH CHRISTIAN ACADEMY,3020 S MISSION ROAD,TUCSON,PIMA,85713,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FAITH CHRISTIAN SCHOOL,7464 E MAIN ST,MESA,MARICOPA,85205,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FAITH COMMUNITY ACADEMY,2551 W ORANGE GROVE,TUCSON,PIMA,85741,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FALCON HILL ELEMENTARY SCHOOL,1645 N STERLING ST,MESA,MARICOPA,85207,YES,RN,PUBLIC,73,95%,5%,100%,88%,11%,100%,89%,10%,100%,96%,4%,100%,96%,4%,100%,97%,3%,100%,100%,0%,100%,12%,1%,4%
FAMILY LIFE ACADEMY,530 S PANTANO RD,TUCSON,PIMA,85710,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FEES MIDDLE SCHOOL,1600 E WATSON DR,TEMPE,MARICOPA,85283,YES,RN,PUBLIC,296,98%,2%,100%,94%,4%,100%,93%,4%,99%,98%,2%,100%,97%,3%,100%,98%,2%,100%,97%,3%,100%,5%,0%,2%
FESTIVAL FOOTHILLS ELEMENTARY SCHOOL,26252 W DESERT VISTA BLVD,BUCKEYE,MARICOPA,85396,NO,,PUBLIC,29,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
FIELD ELEMENTARY SCHOOL,2325 E ADOBE ST,MESA,MARICOPA,85213,YES,RN,PUBLIC,93,96%,4%,100%,90%,5%,96%,91%,3%,97%,96%,4%,100%,96%,4%,100%,96%,4%,100%,95%,5%,100%,6%,2%,4%
FINE ARTS ACADEMY,1700 S. 103RD AVE,TOLLESON,MARICOPA,85353,YES,LPN,PUBLIC,108,94%,6%,100%,100%,0%,100%,98%,0%,100%,93%,7%,100%,93%,7%,100%,93%,7%,100%,100%,0%,100%,7%,0%,7%
FINLEY FARMS ELEMENTARY,375 S COLUMBUS DR,GILBERT,MARICOPA,85296,YES,RN,PUBLIC,109,93%,1%,100%,78%,11%,96%,83%,10%,97%,94%,6%,100%,93%,6%,100%,92%,7%,100%,94%,6%,100%,9%,0%,0%
FIRESIDE ELEMENTARY SCHOOL,3725 E LONE CACTUS DR,PHOENIX,MARICOPA,85050,YES,RN,PUBLIC,120,97%,3%,100%,91%,8%,100%,91%,8%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,92%,7%,98%,7%,2%,3%
FIRST BAPTIST CHRISTIAN ACADEMY,1447 S 7TH ST,SIERRA VISTA,COCHISE,85635,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FIRST MESA ELEMENTARY SCHOOL,390 WI-100,POLACCA,NAVAJO,86042,YES,Both,PRIVATE,21,100%,0%,100%,62%,0%,71%,62%,0%,71%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
FIRST SOUTHERN CHRISTIAN SCHOOL,445 E SPEEDWAY BLVD,TUCSON,PIMA,85705,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FLAGSTAFF JUNIOR ACADEMY ELEMENTARY CAMPUS,306 W CEDAR AVE,FLAGSTAFF,COCONINO,86001,NO,,PUBLIC,46,87%,13%,100%,87%,13%,100%,87%,13%,100%,87%,13%,100%,87%,13%,100%,87%,13%,100%,87%,13%,100%,13%,0%,2%
FLORENCE K-8,460 S PARK ST,FLORENCE,PINAL,85232,YES,RN,PUBLIC,91,91%,5%,97%,88%,11%,99%,88%,11%,99%,88%,4%,92%,90%,8%,98%,96%,4%,100%,93%,7%,100%,11%,0%,11%
FOOTHILLS ACADEMY COLLEGE PREPARATORY,7191 E ASHLER HILLS DR,SCOTTSDALE,MARICOPA,85266,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FOOTHILLS ELEMENTARY SCHOOL-85306,15808 N 63RD AVE,GLENDALE,MARICOPA,85306,YES,RN,PUBLIC,79,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,1%,99%,99%,1%,100%,3%,3%,1%
FORT THOMAS ELEMENTARY SCHOOL,15560 W ELEMENTARY RD,FORT THOMAS,GRAHAM,85536,YES,RN,PUBLIC,50,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
FOUNTAIN HILLS CHARTER SCHOOL - GLENBROOK,16751 E GLENBROOK BLVD,FOUNTAIN HILLS,MARICOPA,,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FOUNTAIN HILLS MIDDLE SCHOOL,15414 N MCDOWELL MOUNTAIN RD,FOUNTAIN HILLS,MARICOPA,85268,NO,,PUBLIC,114,96%,4%,100%,94%,6%,100%,93%,7%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,7%,0%,4%
FOUR PEAKS ELEMENTARY SCHOOL,1755 N IDAHO RD,APACHE JUNCTION,PINAL,85219,YES,RN,PUBLIC,114,92%,8%,100%,91%,8%,100%,91%,8%,100%,92%,8%,100%,92%,8%,100%,92%,8%,100%,92%,8%,100%,8%,0%,8%
FRANK BORMAN MIDDLE SCHOOL,3637 N 55TH AVE,PHOENIX,MARICOPA,85031,NO,,PUBLIC,126,99%,1%,100%,97%,0%,98%,98%,0%,98%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,1%,1%,1%
FRANKLIN AT ALMA ELEMENTARY,1313 W MEDINA AVE,MESA,MARICOPA,85202,YES,RN,PUBLIC,35,97%,3%,100%,94%,6%,100%,94%,6%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,100%,0%,100%,6%,3%,3%
FRANKLIN AT BRIMHALL ELEMENTARY SCHOOL,4949 E SOUTHERN RD,MESA,MARICOPA,,YES,RN,PUBLIC,102,100%,0%,100%,100%,0%,100%,86%,14%,100%,94%,6%,100%,94%,6%,100%,93%,7%,100%,95%,5%,100%,16%,0%,4%
FRANKLIN ELEMENTARY SCHOOL,1753 E 8TH AVE,MESA,MARICOPA,85204,YES,RN,PUBLIC,120,98%,2%,100%,93%,4%,100%,93%,5%,100%,98%,3%,100%,98%,3%,100%,99%,1%,100%,98%,2%,100%,5%,0%,1%
FRANKLIN PHONETIC PRIMARY SCHOOL,6116 E HIGHWAY 69,PRESCOTT VALLEY,YAVAPAI,86314,NO,,CHARTER,60,93%,5%,100%,95%,0%,95%,95%,0%,95%,92%,7%,100%,93%,7%,100%,100%,0%,100%,93%,7%,100%,7%,0%,0%
FRANKLIN PHONETIC PRIMARY SCHOOL SUNNYSLOPE,9317 N 2ND ST,PHOENIX,MARICOPA,85020,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FRANKLIN WEST ELEMENTARY,236 S SIRRINE,MESA,MARICOPA,85210,YES,RN,PUBLIC,73,88%,0%,88%,100%,0%,100%,81%,0%,100%,89%,0%,100%,89%,0%,100%,100%,0%,100%,100%,0%,100%,12%,0%,1%
FREEDOM ACADEMY,3916 E PARADISE LN,PHOENIX,MARICOPA,85032,NO,,CHARTER,50,86%,14%,100%,68%,32%,102%,66%,32%,100%,86%,14%,100%,86%,14%,100%,86%,14%,100%,86%,14%,100%,32%,0%,14%
FREEDOM ELEMENTARY SCHOOL,22150 W. SUNDANCE PKWY S,BUCKEYE,MARICOPA,85326,YES,LPN,PUBLIC,83,96%,4%,100%,98%,2%,100%,94%,6%,100%,100%,0%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,4%,4%,2%
FRIENDLY HOUSE ACADEMIA DEL PUEBLO ELEMENTARY SCHOOL,201 E DURANGO ST,PHOENIX,MARICOPA,85004,NO,,CHARTER,53,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
FRONTIER ELEMENTARY SCHOOL,21258 N 81ST AVE,PEORIA,MARICOPA,85382,YES,RN,PUBLIC,110,96%,4%,100%,91%,8%,100%,92%,7%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,97%,3%,100%,7%,1%,3%
FRYE ELEMENTARY SCHOOL,801 E FRYE RD,CHANDLER,MARICOPA,85225,NO,,PUBLIC,76,97%,3%,100%,89%,11%,100%,83%,12%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,96%,4%,100%,12%,0%,3%
FUTURE INVESTMENT MIDDLE SCHOOL,1854 S ALVERNON WAY,TUCSON,PIMA,85711,NO,,CHARTER,30,100%,0%,100%,97%,3%,100%,97%,3%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,3%
GADSDEN ELEMENTARY SCHOOL,18745 GADSDEN ST,GADSDEN,YUMA,85349,NO,,PUBLIC,93,99%,0%,100%,99%,0%,100%,98%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
GALLEGO BASIC ELEMENTARY SCHOOL,6200 S HEMISPHERE PL,TUCSON,PIMA,85706,YES,RN,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GALLEGO INTERMEDIATE FINE ARTS MAGNET SCHOOL,3700 E ALVORD RD,TUCSON,PIMA,85706,YES,RN,PUBLIC,173,100%,0%,100%,99%,0%,100%,99%,0%,100%,100%,0%,100%,100%,0%,100%,99%,0%,99%,100%,0%,100%,0%,0%,0%
GALVESTON ELEMENTARY SCHOOL,661 E GALVESTON ST,CHANDLER,MARICOPA,85225,NO,,PUBLIC,102,100%,0%,100%,98%,0%,99%,99%,0%,99%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
GARDEN LAKES ELEMENTARY SCHOOL,10825 W GARDEN LAKES PKWY,AVONDALE,MARICOPA,85392,YES,LPN,PUBLIC,103,97%,3%,100%,89%,3%,100%,88%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,2%,0%,2%
GARFIELD SCHOOL,811 N 13TH ST,PHOENIX,MARICOPA,85006,NO,,PUBLIC,62,98%,0%,100%,97%,0%,100%,97%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
