SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE DTAP,% EXEMPT DTAP,% COMPLIANCE DTAP,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
DILWORTH BRINTON ELEMENTARY,11455 E SUNLAND AVE,MESA,MARICOPA,85208,YES,RN,PUBLIC,57,87.7%,7.0%,100.0%,89.5%,8.8%,98.2%,93.0%,7.0%,100.0%,91.2%,5.3%,98.2%,94.7%,5.3%,100.0%,8.8%,1.8%,3.5%
JAMES KENDALL ZAHARIS ELEMENTARY,9410 E MCKELLIPS RD,MESA,MARICOPA,85207,YES,RN,PUBLIC,93,90.3%,8.6%,100.0%,90.3%,8.6%,100.0%,90.3%,8.6%,100.0%,93.5%,6.5%,100.0%,92.5%,7.5%,100.0%,9.7%,0.0%,4.3%
FRANKLIN AT ALMA ELEMENTARY,1313 W MEDINA AVE,MESA,MARICOPA,85202,YES,RN,PUBLIC,60,91.7%,3.3%,95.0%,93.3%,3.3%,96.7%,93.3%,3.3%,96.7%,96.7%,1.7%,98.3%,96.7%,1.7%,98.3%,3.3%,0.0%,1.7%
FRANKLIN AT BRIMHALL ELEMENTARY SCHOOL,4949 E SOUTHERN RD,MESA,MARICOPA,,YES,RN,PUBLIC,114,88.6%,11.4%,100.0%,89.5%,10.5%,100.0%,89.5%,10.5%,100.0%,91.2%,8.8%,100.0%,92.1%,7.9%,100.0%,11.4%,1.8%,6.1%
SUMMIT ACADEMY,1560 W SUMMIT PL,CHANDLER,MARICOPA,85224,YES,RN,PUBLIC,88,85.2%,2.3%,90.9%,87.5%,2.3%,93.2%,87.5%,2.3%,93.2%,96.6%,2.3%,98.9%,98.9%,1.1%,100.0%,2.3%,0.0%,1.1%
ROADRUNNER ELEMENTARY SCHOOL-85653,16651 W CALLE CARMELA,MARANA,PIMA,85653,YES,RN,PUBLIC,54,90.7%,0.0%,90.7%,92.6%,0.0%,92.6%,88.9%,0.0%,88.9%,94.4%,0.0%,94.4%,96.3%,0.0%,96.3%,3.7%,0.0%,0.0%
EAGLERIDGE ENRICHMENT PROGRAM - MESA,1313 W MEDINA AVE,MESA,MARICOPA,85202,YES,RN,PUBLIC,45,55.6%,28.9%,86.7%,57.8%,31.1%,88.9%,60.0%,28.9%,88.9%,60.0%,26.7%,88.9%,62.2%,26.7%,88.9%,31.1%,0.0%,26.7%
HASSAYAMPA ELEMENTARY SCHOOL,195 E COCONINO ST.,WICKENBURG,MARICOPA,85390,YES,RN,PUBLIC,39,87.2%,0.0%,87.2%,89.7%,0.0%,89.7%,89.7%,0.0%,89.7%,89.7%,0.0%,89.7%,79.5%,0.0%,79.5%,2.6%,0.0%,0.0%
FESTIVAL FOOTHILLS ELEMENTARY SCHOOL-85396,26252 W DESERT VISTA BLVD,BUCKEYE,MARICOPA,85396,NO,,PUBLIC,30,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,83.3%,0.0%,100.0%,93.3%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,3.3%,0.0%
PEORIA ELEMENTARY SCHOOL,11501 N 79TH AVE,PEORIA,MARICOPA,85345,YES,LPN,PUBLIC,58,87.9%,3.4%,91.4%,87.9%,3.4%,91.4%,89.7%,3.4%,93.1%,93.1%,3.4%,96.6%,94.8%,3.4%,98.3%,3.4%,0.0%,3.4%
IRA A MURPHY SCHOOL,7231 W NORTH LN,PEORIA,MARICOPA,85345,YES,LPN,PUBLIC,42,81.0%,2.4%,83.3%,83.3%,2.4%,85.7%,83.3%,2.4%,85.7%,95.2%,2.4%,97.6%,97.6%,2.4%,100.0%,2.4%,0.0%,2.4%
KACHINA ELEMENTARY SCHOOL,5304 W CROCUS DR,GLENDALE,MARICOPA,85306,YES,RN,PUBLIC,34,91.2%,8.8%,100.0%,91.2%,8.8%,100.0%,94.1%,5.9%,100.0%,88.2%,8.8%,97.1%,97.1%,2.9%,100.0%,11.8%,0.0%,2.9%
HERITAGE SCHOOL,5312 W MOUNTAIN VIEW RD,GLENDALE,MARICOPA,85302,YES,LPN,PUBLIC,59,86.4%,0.0%,86.4%,83.1%,0.0%,83.1%,86.4%,0.0%,86.4%,96.6%,0.0%,96.6%,62.7%,0.0%,67.8%,0.0%,0.0%,0.0%
PIONEER ELEMENTARY SCHOOL-85306,6315 W PORT AU PRINCE LN,GLENDALE,MARICOPA,85306,YES,RN,PUBLIC,35,82.9%,2.9%,85.7%,88.6%,2.9%,91.4%,82.9%,2.9%,85.7%,85.7%,5.7%,91.4%,88.6%,2.9%,91.4%,5.7%,0.0%,2.9%
ALTA LOMA SCHOOL,9750 N 87TH AVE,PEORIA,MARICOPA,85345,YES,LPN,PUBLIC,70,90.0%,0.0%,92.9%,81.4%,0.0%,84.3%,90.0%,0.0%,91.4%,97.1%,0.0%,97.1%,98.6%,0.0%,98.6%,0.0%,0.0%,0.0%
DESERT PALMS ELEMENTARY SCHOOL,11441 N 55TH AVE,GLENDALE,MARICOPA,85304,YES,RN,PUBLIC,45,100.0%,0.0%,100.0%,84.4%,0.0%,84.4%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,2.2%,0.0%,0.0%
FOOTHILLS ELEMENTARY SCHOOL-85306,15808 N 63RD AVE,GLENDALE,MARICOPA,85306,YES,RN,PUBLIC,76,94.7%,3.9%,98.7%,97.4%,2.6%,100.0%,94.7%,3.9%,98.7%,97.4%,2.6%,100.0%,96.1%,3.9%,100.0%,3.9%,0.0%,2.6%
COPPERWOOD SCHOOL,11232 N 65TH AVE,GLENDALE,MARICOPA,85304,YES,LPN,PUBLIC,64,87.5%,4.7%,92.2%,95.3%,4.7%,100.0%,87.5%,4.7%,92.2%,95.3%,4.7%,100.0%,95.3%,4.7%,100.0%,7.8%,0.0%,4.7%
SUNDANCE ELEMENTARY SCHOOL-85345,7051 W CHOLLA ST,PEORIA,MARICOPA,85345,YES,LPN,PUBLIC,66,84.8%,3.0%,87.9%,89.4%,1.5%,90.9%,84.8%,1.5%,86.4%,93.9%,1.5%,95.5%,93.9%,1.5%,95.5%,3.0%,0.0%,0.0%
COTTON BOLL SCHOOL,8540 W BUTLER DR,PEORIA,MARICOPA,85345,YES,Both,PUBLIC,86,86.0%,4.7%,91.9%,93.0%,4.7%,100.0%,86.0%,4.7%,90.7%,93.0%,4.7%,98.8%,95.3%,4.7%,100.0%,4.7%,0.0%,4.7%
OAKWOOD ELEMENTARY SCHOOL,12900 N 71ST AVE,PEORIA,MARICOPA,85381,YES,LPN,PUBLIC,96,86.5%,7.3%,93.8%,86.5%,7.3%,93.8%,86.5%,7.3%,93.8%,90.6%,7.3%,97.9%,92.7%,7.3%,100.0%,7.3%,1.0%,7.3%
DESERT VALLEY ELEMENTARY SCHOOL - 85304,12901 N 63RD AVE,GLENDALE,MARICOPA,85304,YES,RN,PUBLIC,65,80.0%,0.0%,84.6%,87.7%,4.6%,92.3%,81.5%,4.6%,86.2%,89.2%,4.6%,93.8%,92.3%,4.6%,96.9%,4.6%,0.0%,0.0%
IRONWOOD ELEMENTARY SCHOOL,3300 W FREER DR,TUCSON,PIMA,85742,YES,RN,PUBLIC,54,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,98.1%,1.9%,100.0%,100.0%,0.0%,100.0%,98.1%,1.9%,100.0%,1.9%,0.0%,0.0%
SAHUARO RANCH ELEMENTARY SCHOOL,10401 N 63RD AVE,GLENDALE,MARICOPA,85302,YES,RN,PUBLIC,82,87.8%,3.7%,91.5%,81.7%,3.7%,85.4%,92.7%,3.7%,96.3%,90.2%,3.7%,93.9%,98.8%,0.0%,98.8%,3.7%,0.0%,3.7%
OASIS ELEMENTARY SCHOOL,7841 W SWEETWATER AVE,PEORIA,MARICOPA,85381,YES,LPN,PUBLIC,69,89.9%,2.9%,92.8%,97.1%,2.9%,100.0%,89.9%,2.9%,92.8%,92.8%,5.8%,98.6%,97.1%,2.9%,100.0%,4.3%,0.0%,2.9%
SUN VALLEY ELEMENTARY SCHOOL,8361 N 95TH AVE,PEORIA,MARICOPA,85345,YES,LPN,PUBLIC,85,92.9%,3.5%,96.5%,92.9%,3.5%,96.5%,92.9%,3.5%,96.5%,96.5%,3.5%,100.0%,96.5%,3.5%,100.0%,3.5%,0.0%,3.5%
SKY VIEW ELEMENTARY SCHOOL,8624 W SWEETWATER,PEORIA,MARICOPA,85381,YES,LPN,PUBLIC,52,80.8%,9.6%,90.4%,88.5%,9.6%,98.1%,80.8%,9.6%,90.4%,88.5%,9.6%,98.1%,90.4%,9.6%,100.0%,9.6%,0.0%,9.6%
APACHE ELEMENTARY SCHOOL,8633 W JOHN CABOT RD,PEORIA,MARICOPA,85382,YES,RN,PUBLIC,58,94.8%,5.2%,100.0%,100.0%,0.0%,100.0%,94.8%,5.2%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,5.2%,0.0%,0.0%
CANYON ELEMENTARY SCHOOL,5490 W PARADISE LN,GLENDALE,MARICOPA,85306,YES,RN,PUBLIC,38,84.2%,10.5%,94.7%,84.2%,10.5%,94.7%,78.9%,10.5%,89.5%,89.5%,10.5%,100.0%,89.5%,10.5%,100.0%,10.5%,0.0%,10.5%
