SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_NURSE,SCHOOL_NURSE_TYPE,ENROLLED,ADDRESS_1,CITY,STATE,ZIP,COUNTY,ENROLLED_WEBSITE,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
Sandpiper Elementary School,Public,Y,RN,116,6724 E HEARN RD,SCOTTSDALE,AZ,85254,MARICOPA COUNTY,GREATER THAN,89.7%,10.3%,100.0%,88.8%,11.2%,100.0%,89.7%,9.5%,99.1%,92.2%,6.9%,99.1%,94.0%,6.0%,100.0%,12.9%,0.9%,12.9%
Santa Clara Elementary School,Public,Y,RN,85,6910 S SANTA CLARA AVE,TUCSON,AZ,85756,PIMA COUNTY,GREATER THAN,98.8%,0.0%,98.8%,100.0%,0.0%,100.0%,98.8%,0.0%,98.8%,97.6%,0.0%,97.6%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Santa Cruz Elementary,Public,Y,RN,61,19845 N COSTA DEL SOL,MARICOPA,,85239,PINAL COUNTY,GREATER THAN,95.1%,3.3%,98.4%,96.7%,3.3%,100.0%,93.4%,3.3%,96.7%,95.1%,4.9%,100.0%,96.7%,3.3%,100.0%,4.9%,0.0%,0.0%
Santa Cruz School,Private,Y,RN,23,29 W 22ND ST,TUCSON,AZ,85713,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Santa Fe Elementary School,Public,Y,LPN,96,9880 N 77TH AVE,PEORIA,AZ,85345,MARICOPA COUNTY,GREATER THAN,94.8%,5.2%,100.0%,96.9%,3.1%,100.0%,96.9%,3.1%,100.0%,97.9%,2.1%,100.0%,99.0%,1.0%,100.0%,4.2%,0.0%,1.0%
Santa Rosa Elementary School,Public,Y,LPN,55,21400 N SANTA ROSA DR,MARICOPA,,85239,PINAL COUNTY,GREATER THAN,89.1%,1.8%,90.9%,94.5%,1.8%,96.4%,98.2%,1.8%,100.0%,98.2%,1.8%,100.0%,98.2%,1.8%,100.0%,1.8%,0.0%,1.8%
Santan Elementary School,Public,N,,81,1550 E CHANDLER HEIGHTS RD,CHANDLER,AZ,85249,MARICOPA COUNTY,GREATER THAN,95.1%,4.9%,100.0%,95.1%,4.9%,100.0%,95.1%,4.9%,100.0%,96.3%,3.7%,100.0%,100.0%,0.0%,100.0%,6.2%,0.0%,0.0%
Sarah Marley School,Public,Y,RN,33,735 E 7TH ST,DOUGLAS,AZ,85607,COCHISE COUNTY,GREATER THAN,97.0%,0.0%,97.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Satori School,Private,N,,≤ 20,3801 N 1ST AVE,TUCSON,AZ,85719,PIMA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Scales Technology Academy,Public,Y,LPN,57,1115 W 5TH ST,TEMPE,AZ,85281,MARICOPA COUNTY,GREATER THAN,93.0%,1.8%,94.7%,94.7%,1.8%,96.5%,98.2%,1.8%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,1.8%,0.0%,0.0%
Scott Libby,Public,Y,LPN,84,18701 W THOMAS RD,LITCHFIELD PARK,AZ,85340,MARICOPA COUNTY,GREATER THAN,95.2%,3.6%,98.8%,95.2%,3.6%,98.8%,92.9%,3.6%,96.4%,96.4%,3.6%,100.0%,96.4%,3.6%,100.0%,3.6%,0.0%,0.0%
Scottsdale Christian Academy,Private,N,,64,14400 N TATUM BLVD,PHOENIX,AZ,85032,MARICOPA COUNTY,GREATER THAN,82.8%,17.2%,100.0%,81.3%,18.8%,100.0%,84.4%,15.6%,100.0%,76.6%,23.4%,100.0%,87.5%,12.5%,100.0%,26.6%,0.0%,10.9%
Scottsdale Country Day School,Charter,N,,38,10460 N 56TH ST,SCOTTSDALE,AZ,85253,MARICOPA COUNTY,GREATER THAN,60.5%,13.2%,73.7%,57.9%,13.2%,71.1%,31.6%,13.2%,44.7%,60.5%,13.2%,73.7%,65.8%,13.2%,78.9%,13.2%,0.0%,0.0%
Self Development Academy - Phoenix,Charter,N,,44,4098 E MARSHALL AVE,GILBERT,AZ,85297,MARICOPA COUNTY,GREATER THAN,88.6%,6.8%,95.5%,88.6%,6.8%,95.5%,88.6%,6.8%,95.5%,88.6%,6.8%,95.5%,88.6%,6.8%,95.5%,6.8%,0.0%,0.0%
Selfdevelopment Charter School,Charter,N,,61,1709 N GREENFIELD RD,MESA,AZ,85205,MARICOPA COUNTY,GREATER THAN,91.8%,8.2%,100.0%,91.8%,8.2%,100.0%,93.4%,6.6%,100.0%,98.4%,1.6%,100.0%,91.8%,8.2%,100.0%,9.8%,0.0%,0.0%
Seligman Elementary School,Public,Y,RN,≤ 20,500 N MAIN ST,SELIGMAN,AZ,86337,YAVAPAI COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Senita Valley Elementary School,Public,N,,98,10750 E BILBY RD,TUCSON,AZ,85747,PIMA COUNTY,GREATER THAN,96.9%,2.0%,99.0%,96.9%,2.0%,99.0%,98.0%,2.0%,100.0%,96.9%,2.0%,99.0%,100.0%,0.0%,100.0%,2.0%,0.0%,0.0%
Sentinel Elementary School,Public,N,,≤ 20,53802 W US HWY 80,DATELAND,AZ,85333,YUMA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sequoia Charter School,Charter,N,,74,1460 S HORNE,MESA,AZ,85204,MARICOPA COUNTY,GREATER THAN,89.2%,0.0%,89.2%,93.2%,0.0%,93.2%,86.5%,0.0%,86.5%,93.2%,0.0%,93.2%,95.9%,0.0%,95.9%,0.0%,0.0%,0.0%
Sequoia Choice Arizona Distance Learning,Charter,N,,≤ 20,2331 N HORNE,MESA,AZ,85203,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sequoia Lehi Charter School,Charter,N,,≤ 20,2331 N HORNE,MESA,AZ,85203,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sequoia Pathway Academy,Charter,N,,76,19287 N PORTER RD,MARICOPA,AZ,85138,PINAL COUNTY,GREATER THAN,94.7%,5.3%,100.0%,96.1%,3.9%,100.0%,94.7%,5.3%,100.0%,96.1%,3.9%,100.0%,100.0%,0.0%,100.0%,7.9%,0.0%,7.9%
Sequoia Village,Charter,N,,34,982 FULL HOUSE LN,SHOW LOW,AZ,85901,NAVAJO COUNTY,GREATER THAN,82.4%,17.6%,100.0%,82.4%,17.6%,100.0%,82.4%,17.6%,100.0%,82.4%,17.6%,100.0%,85.3%,14.7%,100.0%,14.7%,2.9%,14.7%
Sequoya Elementary School,Public,Y,RN,91,11808 N 64TH ST,SCOTTSDALE,AZ,85254,MARICOPA COUNTY,GREATER THAN,95.6%,4.4%,100.0%,95.6%,4.4%,100.0%,94.5%,5.5%,100.0%,96.7%,3.3%,100.0%,98.9%,1.1%,100.0%,38.5%,0.0%,38.5%
Settler's Point,Public,Y,RN,55,423 E SETTLERS POINT DR OFC,GILBERT,AZ,85296,MARICOPA COUNTY,GREATER THAN,98.2%,1.8%,100.0%,98.2%,1.8%,100.0%,96.4%,3.6%,100.0%,96.4%,3.6%,100.0%,98.2%,1.8%,100.0%,3.6%,0.0%,1.8%
Seven Mile School,Public,N,,100,2005 FORT APACHE RD,WHITERIVER,AZ,85941,NAVAJO COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Sevilla Primary School,Public,N,RN,186,3801 W MISSOURI AVE,PHOENIX,AZ,85019,MARICOPA COUNTY,GREATER THAN,96.8%,0.5%,97.3%,97.8%,0.5%,98.4%,98.9%,0.0%,98.9%,99.5%,0.0%,99.5%,100.0%,0.0%,100.0%,0.5%,0.0%,0.0%
Shaw Butte Elementary School,Public,N,,141,12202 N 21ST AVE,PHOENIX,AZ,85029,MARICOPA COUNTY,GREATER THAN,97.2%,0.0%,97.2%,97.2%,0.0%,97.2%,97.9%,0.0%,97.9%,99.3%,0.0%,99.3%,100.0%,0.0%,100.0%,0.7%,0.0%,0.0%
Sheely Farms Elementary School,Public,Y,RN,87,9450 W ENCANTO BLVD,PHOENIX,AZ,85037,MARICOPA COUNTY,GREATER THAN,94.3%,3.4%,97.7%,95.4%,3.4%,98.9%,95.4%,3.4%,98.9%,96.6%,2.3%,98.9%,100.0%,0.0%,100.0%,2.3%,0.0%,0.0%
Shepherd Of The Desert Lutheran School,Private,N,,22,9590 E SHEA BLVD,SCOTTSDALE,AZ,85260,MARICOPA COUNTY,GREATER THAN,86.4%,13.6%,100.0%,86.4%,13.6%,100.0%,59.1%,13.6%,72.7%,72.7%,18.2%,90.9%,77.3%,22.7%,100.0%,22.7%,0.0%,13.6%
Shumway,Public,N,,74,1325 N SHUMWAY AVE,CHANDLER,AZ,85225,MARICOPA COUNTY,GREATER THAN,93.2%,6.8%,100.0%,93.2%,6.8%,100.0%,94.6%,5.4%,100.0%,94.6%,5.4%,100.0%,94.6%,5.4%,100.0%,6.8%,0.0%,5.4%
Sierra Verde Elementary,Public,Y,RN,87,7241 W ROSE GARDEN LN,GLENDALE,AZ,85308,MARICOPA COUNTY,GREATER THAN,94.3%,5.7%,100.0%,95.4%,4.6%,100.0%,95.4%,4.6%,100.0%,97.7%,2.3%,100.0%,100.0%,0.0%,100.0%,3.4%,2.3%,0.0%
Silvestre S Herrera School,Public,N,,56,1350 S 11TH ST,PHOENIX,AZ,85034,MARICOPA COUNTY,GREATER THAN,94.6%,1.8%,96.4%,98.2%,1.8%,100.0%,96.4%,3.6%,100.0%,98.2%,0.0%,98.2%,98.2%,1.8%,100.0%,3.6%,0.0%,0.0%
Sirrine Elementary School,Public,Y,RN,44,591 W MESQUITE ST,CHANDLER,AZ,85225,MARICOPA COUNTY,GREATER THAN,90.9%,0.0%,90.9%,97.7%,2.3%,100.0%,97.7%,0.0%,97.7%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,2.3%,0.0%,0.0%
Sky View,Public,Y,LPN,45,8624 W SWEETWATER AVE,PEORIA,AZ,85381,MARICOPA COUNTY,GREATER THAN,95.6%,4.4%,100.0%,95.6%,4.4%,100.0%,95.6%,4.4%,100.0%,93.3%,6.7%,100.0%,97.8%,2.2%,100.0%,6.7%,0.0%,4.4%
Skyline Ranch,Public,N,,58,1084 SAN TAN HILLS DR,SAN TAN VALLEY,AZ,85143,PINAL COUNTY,GREATER THAN,93.1%,6.9%,100.0%,96.6%,3.4%,100.0%,96.6%,3.4%,100.0%,96.6%,3.4%,100.0%,100.0%,0.0%,100.0%,1.7%,0.0%,0.0%
Skyview School,Charter,N,,31,125 S RUSH ST,PRESCOTT,AZ,86303,YAVAPAI COUNTY,GREATER THAN,71.0%,25.8%,96.8%,74.2%,25.8%,100.0%,67.7%,25.8%,93.5%,71.0%,25.8%,96.8%,100.0%,0.0%,100.0%,25.8%,0.0%,25.8%
Smoketree Elementary School,Public,Y,RN,64,2395 SMOKETREE AVE N,LAKE HAVASU CITY,AZ,86403,MOHAVE COUNTY,GREATER THAN,93.8%,3.1%,96.9%,93.8%,3.1%,96.9%,75.0%,3.1%,78.1%,93.8%,3.1%,96.9%,96.9%,3.1%,100.0%,3.1%,0.0%,0.0%
Solano Preschool,Public,N,,102,1526 W MISSOURI AVE,PHOENIX,AZ,85015,MARICOPA COUNTY,GREATER THAN,81.4%,1.0%,82.4%,81.4%,1.0%,82.4%,83.3%,1.0%,84.3%,90.2%,1.0%,91.2%,96.1%,1.0%,97.1%,1.0%,0.0%,1.0%
Soleng Tom Elementary School,Public,Y,RN,74,10520 E CAMINO QUINCE,TUCSON,AZ,85748,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Solomon Elementary School,Public,N,,24,2250 S STEVENS AVE,SAFFORD,AZ,85546,GRAHAM COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Sonoma Ranch Elementary School,Public,N,,55,601 BUCHANAN ST,GILBERT,AZ,85233,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,98.2%,1.8%,100.0%,98.2%,1.8%,100.0%,94.5%,5.5%,100.0%,100.0%,0.0%,100.0%,5.5%,0.0%,0.0%
Sonoran Foothills School,Public,Y,RN,99,32150 N NORTH FOOTHILLS DR,PHOENIX,AZ,85085,MARICOPA COUNTY,GREATER THAN,94.9%,5.1%,100.0%,96.0%,4.0%,100.0%,96.0%,4.0%,100.0%,96.0%,4.0%,100.0%,96.0%,4.0%,100.0%,3.0%,0.0%,3.0%
Sonoran Heights Elementary,Public,Y,LPN,87,11405 N GREER RANCH PKWY,SURPRISE,AZ,85379,MARICOPA COUNTY,GREATER THAN,96.6%,1.1%,97.7%,96.6%,1.1%,97.7%,95.4%,1.1%,96.6%,97.7%,1.1%,98.9%,97.7%,0.0%,97.7%,1.1%,0.0%,1.1%
Sonoran Science Academy,Charter,N,,47,2325 W SUNSET RD,TUCSON,AZ,85741,PIMA COUNTY,GREATER THAN,95.7%,2.1%,97.9%,95.7%,4.3%,100.0%,97.9%,2.1%,100.0%,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,4.3%,0.0%,0.0%
Sonoran Science Academy - Broadway,Charter,N,,35,6880 E BROADWAY BLVD,TUCSON,AZ,85710,PIMA COUNTY,GREATER THAN,94.3%,5.7%,100.0%,94.3%,5.7%,100.0%,88.6%,8.6%,97.1%,94.3%,5.7%,100.0%,97.1%,2.9%,100.0%,5.7%,2.9%,0.0%
Sonoran Science Academy - Peoria,Charter,N,,55,17667 N 91ST AVE,PEORIA,AZ,85382,MARICOPA COUNTY,GREATER THAN,90.9%,9.1%,100.0%,92.7%,7.3%,100.0%,90.9%,9.1%,100.0%,92.7%,7.3%,100.0%,100.0%,0.0%,100.0%,5.5%,0.0%,0.0%
Sonoran Science Academy - Phoenix,Charter,N,,25,4837 E MCDOWELL RD,PHOENIX,AZ,85008,MARICOPA COUNTY,GREATER THAN,92.0%,0.0%,92.0%,96.0%,0.0%,96.0%,96.0%,0.0%,96.0%,96.0%,0.0%,96.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Sonoran Sky Elementary School,Public,N,,70,10150 W MISSOURI AVE,GLENDALE,AZ,85307,MARICOPA COUNTY,GREATER THAN,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,98.6%,0.0%,98.6%,100.0%,0.0%,100.0%,2.9%,0.0%,0.0%
Sonoran Sky Elementary School,Public,Y,RN,102,12990 N 75TH ST,SCOTTSDALE,AZ,85260,MARICOPA COUNTY,GREATER THAN,96.1%,3.9%,100.0%,94.1%,5.9%,100.0%,95.1%,4.9%,100.0%,94.1%,5.9%,100.0%,97.1%,2.9%,100.0%,5.9%,0.0%,5.9%
Sonshine Christian School,Private,N,,≤ 20,1916 N FRANK REED RD,NOGALES,AZ,85621,SANTA CRUZ COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sopori Elementary School,Public,N,,≤ 20,5000 W ARIVACA RD,AMADO,AZ,85645,PIMA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sousa Elementary,Public,Y,RN,68,616 N MOUNTAIN RD,MESA,AZ,85207,MARICOPA COUNTY,GREATER THAN,97.1%,1.5%,98.5%,97.1%,1.5%,98.5%,98.5%,1.5%,100.0%,98.5%,1.5%,100.0%,98.5%,1.5%,100.0%,1.5%,0.0%,0.0%
South Phoenix Prep And Arts Academy,Charter,N,,77,7450 S 40TH ST,PHOENIX,AZ,85042,MARICOPA COUNTY,GREATER THAN,97.4%,0.0%,97.4%,97.4%,0.0%,97.4%,98.7%,1.3%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,1.3%,0.0%,0.0%
South Pointe Public Charter Elementary,Charter,N,,41,2033 E SOUTHERN AVE,PHOENIX,AZ,85040,MARICOPA COUNTY,GREATER THAN,78.0%,2.4%,80.5%,97.6%,2.4%,100.0%,82.9%,2.4%,85.4%,97.6%,0.0%,97.6%,100.0%,0.0%,100.0%,2.4%,0.0%,0.0%
Southgate Academy,Charter,N,,70,850 W VALENCIA RD,TUCSON,AZ,85706,PIMA COUNTY,GREATER THAN,94.3%,1.4%,95.7%,94.3%,1.4%,95.7%,94.3%,1.4%,95.7%,94.3%,1.4%,95.7%,97.1%,1.4%,98.6%,2.9%,0.0%,0.0%
Southside Community School,Charter,N,,23,2701 S CAMPBELL AVE,TUCSON,AZ,85713,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Southwest,Public,Y,LPN,52,1111 W DOBBINS RD,PHOENIX,AZ,85041,MARICOPA COUNTY,GREATER THAN,96.2%,1.9%,98.1%,96.2%,1.9%,98.1%,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,1.9%,0.0%,1.9%
Southwestern Christian School,Private,N,,≤ 20,3261 S AVENUE 6 E,YUMA,AZ,85365,YUMA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Spectrum Elementary,Public,Y,RN,63,2846 S SPECTRUM WAY,GILBERT,AZ,85295,MARICOPA COUNTY,GREATER THAN,87.3%,11.1%,98.4%,90.5%,9.5%,100.0%,87.3%,12.7%,100.0%,90.5%,9.5%,100.0%,92.1%,7.9%,100.0%,14.3%,0.0%,4.8%
Spirit Of Hope Montessori School,Private,N,,≤ 20,14403 N 75TH AVE,PEORIA,AZ,85381,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Spondeo Montessori Preschool & Kindergarten,Private,N,,≤ 20,2680 S VAL VISTA DR STE 157,GILBERT,AZ,85295,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ss. Simon And Jude,Private,Y,RN,35,6351 N 27TH AVE,PHOENIX,AZ,85017,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
St Ambrose Catholic School,Private,N,,29,300 S TUCSON BLVD,TUCSON,AZ,85716,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,96.6%,0.0%,96.6%,0.0%,0.0%,0.0%
St Anthony Catholic School,Private,N,,≤ 20,1400 E OWENS,SHOW LOW,AZ,85901,NAVAJO COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
St Catherine Of Siena,Private,N,,≤ 20,6413 S CENTRAL AVE,PHOENIX,AZ,85042,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
St Elizabeth Ann Seton School,Private,N,,30,8650 N SHANNON RD,TUCSON,AZ,85742,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
St Peter Indian Mission Catholic School,Private,Y,RN,29,1500 NORTH ST PETER RD,BAPCHULE,AZ,85121,PINAL COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
St Thomas Aquinas Grade School,Private,Y,RN,43,13720 W THOMAS RD,AVONDALE,AZ,85392,MARICOPA COUNTY,GREATER THAN,95.3%,4.7%,100.0%,97.7%,2.3%,100.0%,95.3%,4.7%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,4.7%,0.0%,0.0%
St Vincent De Paul Catholic School,Private,N,,51,3130 N 51ST AVE,PHOENIX,AZ,85031,MARICOPA COUNTY,GREATER THAN,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,2.0%,0.0%,2.0%
St. Agnes Catholic School,Private,N,,24,2311 E PALM LN,PHOENIX,AZ,85006,MARICOPA COUNTY,GREATER THAN,95.8%,0.0%,95.8%,95.8%,0.0%,95.8%,83.3%,0.0%,83.3%,95.8%,0.0%,95.8%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
St. Andrews Preschool And Kindergarten,Private,N,,36,7650 N PASEO DEL NORTE,TUCSON,AZ,85704,PIMA COUNTY,GREATER THAN,94.4%,5.6%,100.0%,94.4%,5.6%,100.0%,94.4%,5.6%,100.0%,88.9%,11.1%,100.0%,94.4%,5.6%,100.0%,16.7%,0.0%,16.7%
St. Anthony Of Padua Catholic School,Private,N,,≤ 20,501 E 2ND ST,CASA GRANDE,AZ,85122,PINAL COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
St. Cyril Of Alexandria,Private,N,,43,4725 E PIMA ST,TUCSON,AZ,85712,PIMA COUNTY,GREATER THAN,97.7%,2.3%,100.0%,97.7%,2.3%,100.0%,97.7%,2.3%,100.0%,97.7%,2.3%,100.0%,97.7%,2.3%,100.0%,2.3%,0.0%,2.3%
St. David Elementary School,Public,Y,RN,27,70 PATTON ST,SAINT DAVID,AZ,85630,COCHISE COUNTY,GREATER THAN,96.3%,0.0%,96.3%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
St. Francis Xavier Elementary School,Private,Y,RN,53,4715 N CENTRAL AVE,PHOENIX,AZ,85012,MARICOPA COUNTY,GREATER THAN,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,1.9%,0.0%,1.9%
St. Gregory School,Private,N,,35,3440 N 18TH AVE,PHOENIX,AZ,85015,MARICOPA COUNTY,GREATER THAN,91.4%,0.0%,91.4%,91.4%,0.0%,91.4%,85.7%,0.0%,85.7%,94.3%,0.0%,94.3%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
St. Jerome Catholic School,Private,Y,RN,22,10815 N 35TH AVE,PHOENIX,AZ,85029,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
St. John Bosco,Private,Y,RN,33,16035 S 48TH ST,PHOENIX,AZ,85048,MARICOPA COUNTY,GREATER THAN,93.9%,6.1%,100.0%,93.9%,6.1%,100.0%,93.9%,6.1%,100.0%,93.9%,6.1%,100.0%,93.9%,6.1%,100.0%,6.1%,0.0%,6.1%
St. John The Evangelist Catholic School,Private,Y,RN,48,600 W AJO WAY,TUCSON,AZ,85713,PIMA COUNTY,GREATER THAN,95.8%,2.1%,97.9%,93.8%,2.1%,95.8%,91.7%,2.1%,93.8%,93.8%,2.1%,95.8%,95.8%,2.1%,97.9%,2.1%,0.0%,0.0%
St. John Vianney Catholic School,Private,N,,43,509 E LA PASADA BLVD,GOODYEAR,AZ,85338,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
St. Joseph Catholic School,Private,N,,31,215 S CRAYCROFT RD,TUCSON,AZ,85711,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
St. Louis The King Cathoic School,Private,N,,25,4331 W MARYLAND AVE,GLENDALE,AZ,85301,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
St. Mark's,Private,N,,≤ 20,3809 E 3RD ST,TUCSON,AZ,85716,PIMA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
St. Mark's Early Childhood Center,Private,N,,≤ 20,1431 W MAGEE RD,TUCSON,AZ,85704,PIMA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
St. Mary-basha Catholic School,Private,Y,RN,39,200 W GALVESTON ST,CHANDLER,AZ,85225,MARICOPA COUNTY,GREATER THAN,94.9%,2.6%,97.4%,94.9%,2.6%,97.4%,94.9%,2.6%,97.4%,100.0%,0.0%,100.0%,97.4%,2.6%,100.0%,2.6%,0.0%,0.0%
St. Michael's Parish Day School,Private,Y,RN,26,602 N WILMOT RD,TUCSON,AZ,85711,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
