SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_ADDRESS_ONE,CITY,COUNTY,ZIP_CODE,HAS_NURSE,NURSE_TYPE,ENROLLED,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_TDAP,PCT_EXEMPT_TDAP,PCT_COMPLIANCE_TDAP,PCT_IMMUNE_MVMVC,PCT_EXEMPT_MVMVC,PCT_COMPLIANCE_MVMVC,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL,Column1
Diamond Canyon Elementary School,Public,40004 North Liberty Bell Way,Phoenix,Maricopa,85086,Y,RN,131,94.70%,5.30%,100%,93.90%,6.10%,100%,93.90%,6.10%,100%,95.40%,4.60%,100%,95.40%,4.60%,100%,94.70%,5.30%,100%,85.50%,3.80%,100%,6.10%,0.00%,6.10%,
Dietz Elementary School,Public,7575 E Palma St. ,Tucson,Pima,85710,Y,RN,62,100%,0.00%,100%,96.80%,1.60%,100%,96.80%,1.60%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,83.90%,0.00%,100%,1.60%,3.20%,0.00%,
Discover U,Charter,13226 N 113th Ave.,Youngtown,Maricopa,85363,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Discovery School,Public,7910 W Maryland Ave.,Glendale,Maricopa,85303,Y,RN,99,98.00%,0.00%,98.00%,99.00%,0.00%,99.00%,99.00%,0.00%,99.00%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,84.80%,0.00%,100%,0.00%,0.00%,0.00%,
Divine Children Preschool,Public,8215 W Idian School Rd. ,Phoenix,Maricopa,82033,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dobson Academy A-ball Charter School,Charter,2207 N Dobson Rd. ,Chandler,Maricopa,85224,N,,58,98.30%,1.70%,100%,96.60%,1.70%,98.30%,96.60%,1.70%,98.30%,98.30%,1.70%,100%,98.30%,1.70%,100%,98.30%,1.70%,100%,69.00%,1.70%,100%,1.70%,0.00%,0.00%,
Dobson Montessori Elementary,Private,745 S. Extension Rd. ,Mesa,Maricopa,85210,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dodge Middle Magnet School,Public,5831 E. Pima St.,Tucson,Pima,85712,Y,RN,146,98.60%,1.40%,100%,97.30%,2.10%,100%,95.90%,2.70%,99.30%,99.30%,0.70%,100%,98.60%,1.40%,100%,98.60%,0.70%,99.30%,91.10%,2.10%,100%,2.10%,3.40%,0.70%,
Don Mensendick School,Public,5535 N 67th Ave.,Glendale,Maricopa,85301,Y,LPN,208,100%,0.00%,100%,97.60%,0.00%,100%,97.10%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%,
Doolen Middle School,Public,2400 N Country Club Rd. ,Tucson,Pima,85716,Y,RN,213,98.60%,0.00%,98.60%,90.60%,0.00%,90.60%,93.00%,3.30%,96.20%,93.00%,1.40%,94.40%,97.70%,1.40%,99.10%,95.30%,1.90%,97.20%,89.20%,1.90%,100%,3.80%,0.50%,0.00%,
Dorothy Stinson School,Public,2013 S. 8th Ave.,Safford,Graham,85546,Y,RN,81,97.50%,1.20%,98.80%,87.70%,1.20%,91.40%,86.40%,1.20%,87.70%,100%,0.00%,100%,100%,0.00%,100%,98.80%,0.00%,98.80%,86.40%,0.00%,100%,1.20%,0.00%,0.00%,
Dos Rios Elementary,Public,2150 S 87th Ave.,Tolleson,Maricopa,85353,N,,76,98.70%,0.00%,98.70%,98.70%,0.00%,100%,98.70%,0.00%,100%,98.70%,0.00%,98.70%,98.70%,0.00%,98.70%,100%,0.00%,100%,88.20%,0.00%,100%,0.00%,0.00%,0.00%,
Double Adobe Elementary School,Public,7081 N. Central Hwy.,Mcneal,Cochise,85617,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dr Gary And Annette Auxier Elementary,Public,22700 S Power Rd. ,Queen Creek,Maricopa,85142,N,,64,100%,0.00%,100%,87.50%,7.80%,100%,89.10%,9.40%,100%,100%,0.00%,100%,96.90%,3.10%,100%,100%,0.00%,100%,98.40%,1.60%,100%,9.40%,3.10%,0.00%,
Dr Howard K Conley Elementary,Public,500 S Arrowhead Dr.,Chandler,Maricopa,85224,N,,108,96.30%,1.90%,98.10%,88.00%,3.70%,97.20%,89.80%,4.60%,96.30%,96.30%,3.70%,100%,96.30%,3.70%,100%,95.40%,3.70%,99.10%,96.30%,1.90%,98.10%,7.40%,1.90%,2.80%,
Drachman Montessori Magnet School,Public,1085 S. 10th Ave.,Tucson,Pima,85701,Y,RN,24,100%,0.00%,100%,100%,0.00%,100%,95.80%,4.20%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,95.80%,0.00%,100%,4.20%,0.00%,0.00%,
Drexel Elementary School,Public,801 E Drexel Rd. ,Tucson,Pima,85706,Y,RN,93,100%,0.00%,100%,96.80%,0.00%,97.80%,96.80%,0.00%,97.80%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,83.90%,0.00%,100%,0.00%,0.00%,0.00%,
Duncan Elementary School,Public,101 McGrath Ave.,Duncan,Greenlee,85534,N,,30,100%,0.00%,100%,80.00%,3.30%,83.30%,83.30%,3.30%,86.70%,96.70%,3.30%,100%,96.70%,3.30%,100%,100%,0.00%,100%,66.70%,3.30%,100%,3.30%,0.00%,0.00%,
Dynamite Montessori School,Private,29210 N. 59th St. ,Cave Creek,Maricopa,85331,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dysart Elementary School,Public,12950 W Varney Rd. ,El Mirage,Maricopa,85335,Y,LPN,123,95.90%,4.10%,100%,94.30%,3.30%,99.20%,95.90%,2.40%,100%,95.90%,4.10%,100%,94.30%,4.10%,98.40%,95.90%,3.30%,99.20%,85.40%,2.40%,99.20%,6.50%,0.00%,1.60%,
Eagle College Prep,Charter,2450 W South Mountain Ave.,Phoenix,Maricopa,85041,N,,90,100%,0.00%,100%,91.10%,4.40%,100%,91.10%,4.40%,100%,98.90%,1.10%,100%,100%,0.00%,100%,100%,0.00%,100%,92.20%,0.00%,100%,4.40%,0.00%,0.00%,
Eagle College Prep Harmony,Charter,2435 E Pecan Rd.,Phoenix,Maricopa,85040,N,,25,92.00%,8.00%,100%,76.00%,8.00%,100%,84.00%,4.00%,100%,92.00%,8.00%,100%,96.00%,4.00%,100%,96.00%,4.00%,100%,80.00%,0.00%,100%,4.00%,0.00%,4.00%,
Eagle Ridge Elementary School,Public,19801 N 13th St. ,Phoenix,Maricopa,85024,Y,RN,78,96.20%,0.00%,96.20%,100%,0.00%,100%,100%,0.00%,100%,98.70%,1.30%,100%,100%,0.00%,100%,98.70%,1.30%,100%,78.20%,0.00%,100%,2.60%,0.00%,0.00%,
Eagleridge Enrichment Program,Public,1313 W. Medina Ave. #a3,Mesa,Maricopa,85202,Y,RN,70,84.30%,15.70%,100%,62.90%,31.40%,100%,62.90%,34.30%,100%,82.90%,17.10%,100%,85.70%,14.30%,100%,84.30%,15.70%,100%,75.70%,0.00%,98.60%,35.70%,7.10%,0.00%,
East Fork Lutheran School,Private,P.O. Box 489,Whiteriver,Navajo,85941,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
East Valley Academy,Charter,910 North 85th Pl.,Scottsdale,Maricopa,85257,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Echo Mountain Intermediate School,Public,1811 E. Michigan Ave.,Phoenix,Maricopa,85022,Y,RN,147,98.60%,0.00%,98.60%,99.30%,0.00%,99.30%,98.60%,0.00%,98.60%,100%,0.00%,100%,99.30%,0.00%,99.30%,100%,0.00%,100%,85.00%,0.00%,100%,0.00%,0.00%,0.00%,
Ed & Verma Pastor,Public,2101 W. Alta Vista Rd.,Phoenix,Maricopa,85041,Y,LPN,88,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%,
Ed Pastor Elementary 4,Public,985 N 6th Ave.,San Luis,Yuma,85349,Y,LPN,66,100%,0.00%,100%,93.90%,0.00%,100%,93.90%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,95.50%,0.00%,100%,0.00%,0.00%,0.00%,
Edison Elementary School,Public,545 N Horne Ave. ,Mesa,Maricopa,85203,Y,RN,90,95.60%,4.40%,100%,92.20%,4.40%,100%,94.40%,5.60%,100%,95.60%,4.40%,100%,94.40%,5.60%,100%,95.60%,4.40%,100%,75.60%,0.00%,100%,8.90%,0.00%,0.00%,
Eduprize School,Charter,4567 West Roberts Rd.,Queen Creek,Pinal,85142,Y,RN,196,98.50%,1.50%,100%,89.80%,7.10%,99.00%,87.80%,8.70%,96.40%,97.40%,2.60%,100%,97.40%,2.60%,100%,96.90%,2.60%,99.50%,72.40%,1.50%,99.00%,8.20%,0.00%,1.00%,
Eduprize School Gilbert,Charter,580 W. Melody Ave.,Gilbert,Maricopa,85233,Y,RN,197,91.90%,8.10%,100%,81.20%,14.70%,97.50%,81.20%,14.70%,97.00%,91.40%,8.60%,100%,90.90%,9.10%,100%,90.90%,8.60%,99.50%,73.10%,7.60%,100%,14.70%,0.00%,7.10%,
Ehrenberg Elementary School,Public,49241 Ehrenberg-parker Hwy,Ehrenberg,La Paz,85334,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Eisenhower Elementary School,Public,848 N Mesa Dr.,Mesa,Maricopa,85201,Y,RN,65,96.90%,0.00%,96.90%,90.80%,1.50%,93.80%,92.30%,0.00%,92.30%,98.50%,1.50%,100%,98.50%,1.50%,100%,98.50%,1.50%,100%,81.50%,1.50%,100%,1.50%,0.00%,0.00%,
El Capitan Public School,Public,255 N Cottonwood St. ,Colorado City,Mohave,86021,N,,38,42.10%,44.70%,86.80%,15.80%,44.70%,60.50%,10.50%,44.70%,55.30%,42.10%,44.70%,86.80%,44.70%,44.70%,89.50%,34.20%,44.70%,78.90%,57.90%,15.80%,81.60%,44.70%,0.00%,44.70%,
El Dorado Private School,Private,20624 N 76th St. ,Scottsdale,Maricopa,85255,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Elfrida Elementary School,Public,P.O. Box 328,Elfrida,Cochise,85610,N,,21,95.20%,4.80%,100%,71.40%,0.00%,95.20%,28.60%,4.80%,100%,95.20%,4.80%,100%,95.20%,4.80%,100%,100%,0.00%,100%,90.50%,4.80%,100%,4.80%,0.00%,0.00%,
Elgin Elementary School,Public,23 Upper Elgin Rd. ,Elgin,Santa Cruz,85611,Y,RN,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Eliseo C Felix,Public,540 E La Pasada Blvd. ,Goodyear,Maricopa,85338,Y,LPN,51,98.00%,2.00%,100%,98.00%,0.00%,100%,98.00%,2.00%,100%,98.00%,2.00%,100%,98.00%,2.00%,100%,98.00%,2.00%,100%,88.20%,2.00%,100%,0.00%,2.00%,0.00%,
Ellsworth Elementary,Public,38454 N Carolina Ave.,Queen Creek,Pinal,85240,N,,91,96.70%,2.20%,98.90%,84.60%,5.50%,92.30%,84.60%,6.60%,92.30%,95.60%,3.30%,98.90%,95.60%,3.30%,98.90%,96.70%,1.10%,97.80%,84.60%,1.10%,98.90%,5.50%,0.00%,1.10%,
Eloy Junior High School,Public,1011 North Sunshine Blvd.,Eloy,Pinal,85131,Y,RN,90,98.90%,1.10%,100%,98.90%,1.10%,100%,98.90%,1.10%,100%,98.90%,1.10%,100%,98.90%,1.10%,100%,98.90%,1.10%,100%,96.70%,1.10%,100%,1.10%,0.00%,1.10%,
Elvira Elementary,Public,250 W Elvira Rd. ,Tucson,Pima,85756,Y,RN,107,99.10%,0.00%,99.10%,99.10%,0.00%,100%,99.10%,0.00%,99.10%,100%,0.00%,100%,100%,0.00%,100%,99.10%,0.00%,99.10%,100%,0.00%,100%,0.00%,0.00%,0.00%,
Emerson Elementary School,Public,415 N Westwood Rd. ,Mesa,Maricopa,85201,Y,RN,115,98.30%,1.70%,100%,96.50%,0.00%,100%,95.70%,0.00%,100%,99.10%,0.90%,100%,99.10%,0.90%,100%,98.30%,1.70%,100%,79.10%,0.00%,100%,4.30%,4.30%,0.00%,
Emmanuel Christian Academy,Private,3120 Hualapai Mountain Rd.,Kingman,Mohave,86401,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Emmanuel Lutheran School,Private,715 W Southern Ave.,Tempe,Maricopa,85282,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Emmaus Lutheran School,Private,3841 W Sweetwater Ave.,Phoenix,Maricopa,85029,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Empower College Prep,Charter,5757 N Central Ave.,Phoenix,Maricopa,85012,N,,109,97.20%,0.90%,98.20%,97.20%,0.90%,100%,97.20%,0.90%,100%,97.20%,0.90%,98.20%,97.20%,0.90%,98.20%,97.20%,0.90%,98.20%,88.10%,0.90%,100%,0.90%,0.00%,0.00%,
Entz Elementary School,Public,4132 E Adobe Rd. ,Mesa,Maricopa,85205,Y,RN,94,93.60%,6.40%,100%,90.40%,7.40%,100%,91.50%,7.40%,100%,93.60%,6.40%,100%,93.60%,6.40%,100%,93.60%,6.40%,100%,79.80%,0.00%,100%,8.50%,2.10%,0.00%,
Esmond Station School,Public,9400 S Atterbury Wash Way,Tucson,Pima,85747,N,,66,97.00%,3.00%,100%,92.40%,6.10%,100%,92.40%,6.10%,100%,97.00%,3.00%,100%,97.00%,3.00%,100%,97.00%,3.00%,100%,89.40%,3.00%,100%,6.10%,0.00%,3.00%,
Esperanza Elementary School (Phoenix),Public,251 W Mohawk Ln.,Phoenix,Maricopa,85027,Y,LPN,66,87.90%,7.60%,95.50%,90.90%,6.10%,98.50%,90.90%,6.10%,98.50%,95.50%,4.50%,100%,90.90%,6.10%,97.00%,97.00%,3.00%,100%,81.80%,3.00%,100%,7.60%,1.50%,9.10%,
Esperanza Elementary School (Tucson),Public,2353 E Bantam Rd. ,Tucson,Pima,85706,Y,RN,86,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,98.80%,0.00%,100%,0.00%,0.00%,0.00%,
Esperero Canyon Middle School,Public,5801 N Sabino Canyon Rd.,Tucson,Pima,85750,Y,RN,201,99.00%,1.00%,100%,99.00%,1.00%,100%,98.00%,2.00%,100%,99.00%,1.00%,100%,98.50%,1.50%,100%,98.50%,1.00%,99.50%,87.60%,1.00%,100%,1.50%,0.50%,1.00%,
Estes Elementary,Public,11279 W Grier Rd. ,Marana,Pima,85653,N,,123,98.40%,1.60%,100%,95.10%,3.30%,100%,94.30%,1.60%,97.60%,100%,0.00%,100%,99.20%,0.80%,100%,99.20%,0.80%,100%,94.30%,1.60%,100%,7.30%,0.00%,0.00%,
Estrella Middle School,Public,3733 N 75th Ave.,Phoenix,Maricopa,85033,Y,RN,440,100%,0.00%,100%,95.50%,0.00%,96.60%,95.50%,0.00%,96.60%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,88.90%,0.00%,100%,0.00%,0.00%,0.00%,
Estrella Mountain Elementary,Public,10301 S San Miguel Dr. ,Goodyear,Maricopa,85338,N,,58,94.80%,5.20%,100%,94.80%,5.20%,100%,93.10%,6.90%,100%,96.60%,3.40%,100%,94.80%,5.20%,100%,96.60%,3.40%,100%,96.60%,3.40%,100%,5.20%,1.70%,6.90%,
Estrella Vista Elementary,Public,11905 W Cocopah Cir.,Avondale,Maricopa,85323,Y,RN,95,97.90%,2.10%,100%,91.60%,3.20%,98.90%,91.60%,4.20%,98.90%,98.90%,1.10%,100%,98.90%,1.10%,100%,98.90%,1.10%,100%,89.50%,0.00%,100%,4.20%,0.00%,0.00%,
Excelencia School,Public,2181 E Mcdowell Rd. ,Phoenix,Maricopa,85006,Y,LPN,89,98.90%,1.10%,100%,98.90%,0.00%,100%,98.90%,0.00%,100%,98.90%,1.10%,100%,98.90%,1.10%,100%,98.90%,1.10%,100%,91.00%,1.10%,100%,1.10%,0.00%,0.00%,
Fairbanks Middle School,Public,1056 Fairbanks Rd. ,Morenci,Greenlee,85540,N,,88,98.90%,0.00%,98.90%,94.30%,0.00%,94.30%,94.30%,0.00%,94.30%,98.90%,0.00%,98.90%,100%,0.00%,100%,97.70%,0.00%,97.70%,100%,0.00%,100%,0.00%,0.00%,0.00%,
Faith Christian Academy,Private,2555 W. Valencia Rd. ,Tucson,Pima,85746,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Faith Lutheran,Private,3925 E 5th St. ,Tucson,Pima,85711,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Falcon Hill Elementary School,Public,1645 N Sterling,Mesa,Maricopa,85207,Y,RN,62,96.80%,3.20%,100%,91.90%,4.80%,100%,91.90%,4.80%,100%,96.80%,3.20%,100%,96.80%,3.20%,100%,96.80%,3.20%,100%,80.60%,4.80%,100%,6.50%,0.00%,3.20%,
Family Life Academy,Private,7801 E Kenyon Dr.,Tucson,Pima,85710,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Fees,Public,1600 E Watson,Tempe,Maricopa,85283,Y,RN,317,99.40%,0.60%,100%,96.80%,1.60%,100%,96.80%,1.60%,100%,99.40%,0.60%,100%,99.40%,0.60%,100%,99.40%,0.60%,100%,87.40%,0.60%,100%,1.60%,0.00%,0.60%,
Festival Foothills Elementary,Public,26252 W. Desert Vista Blvd.,Buckeye,Maricopa,85396,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Field Elementary School,Public,2325 East Adobe St. ,Mesa,Maricopa,85213,Y,RN,96,99.00%,1.00%,100%,88.50%,8.30%,96.90%,87.50%,8.30%,95.80%,96.90%,3.10%,100%,97.90%,2.10%,100%,97.90%,2.10%,100%,83.30%,0.00%,100%,7.30%,1.00%,8.30%,
Finley Farms Elementary,Public,375 S Columbus Dr.,Gilbert,Maricopa,85296,Y,RN,107,96.30%,2.80%,99.10%,86.00%,8.40%,100%,86.90%,10.30%,100%,97.20%,2.80%,100%,94.40%,5.60%,100%,97.20%,2.80%,100%,76.60%,2.80%,100%,2.80%,0.00%,0.00%,
Fireside Elementary School,Public,3725 East Lone Cactus Dr.,Phoenix,Maricopa,85050,Y,RN,102,94.10%,5.90%,100%,90.20%,8.80%,100%,90.20%,8.80%,100%,94.10%,5.90%,100%,94.10%,5.90%,100%,95.10%,4.90%,100%,82.40%,3.90%,100%,12.70%,0.00%,4.90%,
First Avenue Elementary School,Public,914 N First Ave.,San Manuel,Pinal,85631,N,,46,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%,
First Baptist Christian Academy,Private,1447 S 7th St. ,Sierra Vista,Cochise,85635,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
First Southern Christian School,Private,445 E Speedway Blvd.,Tucson,Pima,85705,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Flagstaff Junior Academy Middle School,Charter,755 N Bonito St. ,Flagstaff,Coconino,86001,N,,50,96.00%,4.00%,100%,88.00%,0.00%,90.00%,88.00%,10.00%,100%,96.00%,4.00%,100%,96.00%,4.00%,100%,96.00%,4.00%,100%,96.00%,4.00%,100%,12.00%,0.00%,4.00%,
Florence K-8,Public,460 S Park St.,Florence,Pinal,85232,N,,80,97.50%,1.30%,98.80%,75.00%,1.30%,76.30%,67.50%,1.30%,68.80%,96.30%,1.30%,97.50%,97.50%,1.30%,98.80%,96.30%,1.30%,97.50%,87.50%,1.30%,100%,1.30%,0.00%,1.30%,
Foothills Academy College Preparatory,Charter,7191 E. Ashler Hills Dr.,Scottsdale,Maricopa,85266,N,,28,96.40%,0.00%,96.40%,10.70%,0.00%,92.90%,3.60%,0.00%,85.70%,92.90%,0.00%,92.90%,96.40%,0.00%,96.40%,100%,0.00%,100%,64.30%,0.00%,100%,0.00%,0.00%,0.00%,
Foothills Elementary,Public,15808 N 63rd Ave.,Glendale,Maricopa,85306,Y,RN,89,100%,0.00%,100%,95.50%,4.50%,100%,95.50%,4.50%,100%,96.60%,3.40%,100%,96.60%,3.40%,100%,97.80%,2.20%,100%,87.60%,0.00%,100%,4.50%,0.00%,0.00%,
Fort Thomas Elementary School,Public,15560 W Elementary Rd. ,Fort Thomas,Graham,85536,Y,RN,41,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,97.60%,0.00%,100%,0.00%,0.00%,0.00%,
Fountain Hills Charter School - Glenbrook,Charter,16751 E Glenbrook Blvd.,Fountain Hills,Maricopa,85268,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Fountain Hills Middle School,Public,15414 N. Mcdowell Mountain Rd.,Fountain Hills,Maricopa,85268,N,,118,96.60%,3.40%,100%,94.10%,5.90%,100%,94.10%,5.90%,100%,95.80%,4.20%,100%,97.50%,2.50%,100%,96.60%,3.40%,100%,88.10%,2.50%,100%,6.80%,0.00%,2.50%,
Four Peaks Elementary School,Public,1755 N Idaho,Apache Junction,Pinal,85219,Y,LPN,117,97.40%,2.60%,100%,96.60%,0.00%,97.40%,96.60%,2.60%,100%,97.40%,2.60%,100%,97.40%,2.60%,100%,97.40%,2.60%,100%,86.30%,2.60%,100%,2.60%,0.00%,0.00%,
Fourth Avenue Junior High School,Public,450  4th Ave.,Yuma,Yuma,85364,N,,67,100%,0.00%,100%,97.00%,0.00%,98.50%,97.00%,0.00%,98.50%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%,
Fox Creek Jr High School,Public,3101 Desert Sky Blvd.,Bullhead City,Mohave,86442,Y,RN,163,99.40%,0.60%,100%,92.00%,0.60%,96.30%,93.90%,0.60%,96.30%,99.40%,0.60%,100%,99.40%,0.60%,100%,99.40%,0.60%,100%,98.20%,1.80%,100%,1.80%,0.00%,0.60%,
Frank Borman Middle School,Public,3637 N 55th Ave.,Phoenix,Maricopa,85031,Y,RN,143,98.60%,1.40%,100%,95.10%,0.00%,100%,94.40%,0.00%,99.30%,98.60%,1.40%,100%,100%,0.00%,100%,98.60%,1.40%,100%,88.80%,0.00%,100%,0.00%,2.10%,0.00%,
Franklin At Alma Elementary,Public,1313 W Medina Ave.,Mesa,Maricopa,85202,Y,RN,27,100%,0.00%,100%,85.20%,3.70%,100%,96.30%,3.70%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,92.60%,0.00%,100%,3.70%,0.00%,0.00%,
Franklin At Brimhall,Public,4949 W. Southern Ave.,Mesa,Maricopa,85206,Y,RN,97,92.80%,7.20%,100%,88.70%,0.00%,93.80%,90.70%,9.30%,100%,92.80%,7.20%,100%,92.80%,7.20%,100%,92.80%,7.20%,100%,82.50%,0.00%,100%,10.30%,1.00%,0.00%,
Franklin Elementary School,Public,1753 E 8th Ave.,Mesa,Maricopa,85204,Y,RN,106,97.20%,2.80%,100%,92.50%,5.70%,100%,92.50%,5.70%,100%,97.20%,2.80%,100%,97.20%,2.80%,100%,97.20%,2.80%,100%,69.80%,0.90%,100%,6.60%,0.00%,0.90%,
Franklin Phonetic Primary School,Charter,6116 E. Hwy 69,Prescott Valley,Yavapai,86314,N,,44,95.50%,4.50%,100%,90.90%,2.30%,95.50%,90.90%,9.10%,100%,93.20%,6.80%,100%,93.20%,6.80%,100%,90.90%,6.80%,97.70%,90.90%,2.30%,100%,13.60%,0.00%,2.30%,
Franklin West,Public,236 S. Sirrine,Mesa,Maricopa,85210,Y,RN,63,93.70%,6.30%,100%,82.50%,15.90%,100%,85.70%,14.30%,100%,93.70%,6.30%,100%,93.70%,6.30%,100%,92.10%,7.90%,100%,81.00%,0.00%,100%,14.30%,0.00%,0.00%,
Fredonia Elementary School,Public,222 N 200 East,Fredonia,Coconino,86022,N,,21,85.70%,14.30%,100%,71.40%,19.00%,90.50%,81.00%,19.00%,100%,81.00%,19.00%,100%,81.00%,19.00%,100%,81.00%,19.00%,100%,38.10%,19.00%,100%,19.00%,0.00%,0.00%,
Freedom Academy North,Charter,3916 E Paradise Ln.,Phoenix,Maricopa,85032,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
