SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE TDAP,% EXEMPT TDAP,% COMPLIANCE TDAP,% IMMUNE MCV4,% EXEMPT MCV4,% COMPLIANCE MCV4,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
EDUPRIZE SCHOOL - QUEEN CREEK,4567 W ROBERTS RD,QUEEN CREEK,PINAL,85142,YES,RN,CHARTER,195,78.5%,13.8%,93.3%,76.9%,15.4%,92.8%,89.2%,9.7%,99.0%,90.8%,8.7%,99.5%,90.3%,8.7%,99.0%,90.3%,9.2%,99.5%,18.5%,0.0%,6.7%
EDUPRIZE SCHOOL - GILBERT,580 W MELODY DR,GILBERT,MARICOPA,85233,YES,RN,CHARTER,175,55.4%,13.1%,69.1%,56.0%,13.1%,69.1%,88.0%,8.6%,96.6%,88.6%,9.1%,97.7%,88.6%,10.3%,98.9%,89.7%,8.0%,97.7%,13.1%,0.0%,8.0%
SAGE ACADEMY,10220 N 25TH AVENUE,PHOENIX,MARICOPA,85021,NO,,CHARTER,13,53.8%,23.1%,84.6%,46.2%,30.8%,84.6%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,30.8%,0.0%,0.0%
ACCLAIM ACADEMY,7624 W INDIAN SCHOOL RD,PHOENIX,MARICOPA,85033,NO,,CHARTER,30,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
SEQUOIA CHOICE SCHOOL ARIZONA DISTANCE LEARNING SCHOOL,HOME BASED,MESA,MARICOPA,85203,NO,,CHARTER,365,41.4%,47.9%,90.4%,40.3%,49.9%,91.2%,63.0%,33.4%,96.4%,65.8%,33.4%,99.2%,68.2%,31.5%,99.7%,67.7%,31.2%,98.9%,52.3%,10.1%,23.8%
PHOENIX ADVANTAGE CHARTER SCHOOL,3738 N 16TH ST,PHOENIX,MARICOPA,85041,NO,,CHARTER,21,85.7%,0.0%,100.0%,85.7%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
PIONEER TECHNOLOGY & ARTS ACADEMY,1903 E ROESER RD,PHOENIX,MARICOPA,85040,YES,RN,CHARTER,63,60.3%,1.6%,68.3%,66.7%,1.6%,69.8%,95.2%,1.6%,96.8%,95.2%,1.6%,98.4%,93.7%,1.6%,95.2%,98.4%,1.6%,100.0%,1.6%,0.0%,1.6%
ARIZONA SCHOOL FOR THE ARTS,1410 N 3RD ST,PHOENIX,MARICOPA,85004,NO,,CHARTER,112,75.9%,5.4%,81.3%,76.8%,5.4%,82.1%,96.4%,3.6%,100.0%,95.5%,3.6%,100.0%,96.4%,3.6%,100.0%,95.5%,4.5%,100.0%,5.4%,0.9%,3.6%
CENTER FOR EDUCATIONAL EXCELLENCE,1700 E ELLIOT RD,TEMPE,MARICOPA,85284,NO,,CHARTER,34,88.2%,11.8%,100.0%,88.2%,11.8%,100.0%,88.2%,11.8%,100.0%,88.2%,11.8%,100.0%,88.2%,11.8%,100.0%,88.2%,11.8%,100.0%,11.8%,0.0%,11.8%
AMERICAN LEADERSHIP ACADEMY - GILBERT,3155 S SAN TAN VILLAGE PKWY,GILBERT,MARICOPA,85295,NO,,CHARTER,79,82.3%,13.9%,100.0%,81.0%,16.5%,100.0%,91.1%,8.9%,100.0%,91.1%,8.9%,100.0%,89.9%,10.1%,100.0%,91.1%,8.9%,100.0%,25.3%,1.3%,6.3%
