SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOLTYPE,ENROLLEDCOUNT,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_TDAP,PCT_EXEMPT_TDAP,PCT_COMPLIANCE_TDAP,PCT_IMMUNE_MCMVC,PCT_EXEMPT_MCMVC,PCT_COMPLIANCE_MCMVC,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
DESERT STAR COMMUNITY SCHOOL,1240 S RECYLER RD,CORNVILLE,YAVAPAI,,NO,,CHARTER,23,61%,39%,100%,61%,39%,100%,0%,39%,39%,61%,39%,100%,61%,39%,100%,57%,39%,96%,61%,39%,100%,39%,39%,39%
DESERT STAR SCHOOL,2131 S 157TH AVE,GOODYEAR,MARICOPA,85338,YES,RN,PUBLIC,91,98%,2%,100%,92%,4%,99%,93%,3%,99%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,4%,0%,2%
DESERT SUN ELEMENTARY SCHOOL,27880 N 64TH ST,SCOTTSDALE,MARICOPA,85266,NO,,PUBLIC,55,98%,2%,100%,84%,5%,93%,87%,5%,93%,96%,4%,100%,95%,5%,100%,96%,4%,100%,95%,5%,100%,7%,0%,2%
DESERT THUNDER SCHOOL,16750 W GARFIELD ST,GOODYEAR,MARICOPA,85338,NO,,PUBLIC,84,99%,0%,100%,88%,7%,100%,88%,7%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,7%,0%,0%
DESERT TRAILS ELEMENTARY SCHOOL,4315 E CASHMAN DR,PHOENIX,MARICOPA,85050,YES,RN,PUBLIC,95,95%,5%,100%,88%,5%,100%,88%,5%,100%,95%,5%,100%,94%,6%,100%,98%,2%,100%,100%,0%,100%,6%,2%,5%
DESERT VALLEY ELEMENTARY SCHOOL,12901 N 63RD AVE,GLENDALE,MARICOPA,85304,YES,RN,PUBLIC,77,96%,4%,100%,82%,5%,87%,81%,6%,87%,95%,5%,100%,95%,5%,100%,96%,4%,100%,95%,5%,100%,5%,0%,4%
DESERT VIEW ELEMENTARY,1508 N 10TH AVE,SAN LUIS,YUMA,85349,YES,LPN,PUBLIC,115,100%,0%,100%,98%,2%,100%,98%,2%,100%,99%,1%,100%,99%,1%,100%,100%,0%,100%,100%,0%,100%,2%,0%,2%
DESERT VISTA ELEMENTARY SCHOOL,3701 E BROADWAY AVE,APACHE JUNCTION,PINAL,85119,YES,LPN,PUBLIC,102,98%,2%,100%,95%,5%,100%,95%,5%,100%,97%,2%,100%,97%,2%,100%,97%,2%,100%,98%,2%,100%,6%,0%,2%
DESERT WILLOW ELEMENTARY SCHOOL,4322 E DESERT WILLOW PKWY,CAVE CREEK,MARICOPA,85331,NO,,PUBLIC,117,96%,4%,100%,91%,6%,100%,91%,9%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,10%,1%,4%
DESTINY SCHOOL,22 PRICKLY PEAR DR,GLOBE,GILA,85501,NO,,CHARTER,29,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
DIETZ K-8 SCHOOL,7575 E PALMA ST,TUCSON,PIMA,85710,YES,RN,PUBLIC,50,100%,0%,100%,94%,2%,96%,94%,2%,96%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,2%,0%,0%
DILCON COMMUNITY SCHOOL,,DILKON,NAVAJO,,NO,,PRIVATE,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DILWORTH BRINTON ELEMENTARY,11455 E SUNLAND AVE,MESA,MARICOPA,85208,YES,RN,PUBLIC,84,100%,0%,100%,100%,0%,100%,99%,1%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,2%,0%,0%
DISCOVERY SCHOOL,7910 W MARYLAND AVE,GLENDALE,MARICOPA,85303,YES,RN,PUBLIC,93,99%,1%,100%,94%,5%,100%,95%,4%,100%,100%,0%,100%,100%,0%,100%,99%,1%,100%,100%,0%,100%,4%,1%,0%
DISHCHII'BIKOH COMMUNITY SCHOOL,PO BOX 80068,CIBECUE,NAVAJO,85911,YES,RN,PRIVATE,45,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
DOBSON ACADEMY A-BALL CHARTER SCHOOL,2207 N DOBSON RD,CHANDLER,MARICOPA,85224,NO,,CHARTER,40,98%,3%,100%,53%,30%,88%,50%,30%,85%,98%,3%,100%,90%,10%,100%,98%,3%,100%,93%,8%,100%,30%,0%,3%
DODGE TRADITIONAL MAGNET MIDDLE SCHOOL,5831 E PIMA ST,TUCSON,PIMA,85712,YES,RN,PUBLIC,147,99%,1%,100%,95%,1%,96%,94%,1%,96%,99%,1%,99%,99%,1%,99%,99%,1%,100%,99%,1%,100%,1%,0%,1%
DON MENSENDICK SCHOOL,5535 N. 67TH AVE,GLENDALE,MARICOPA,85301,YES,LPN,PUBLIC,182,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,100%,0%,100%,99%,1%,100%,100%,0%,100%,1%,0%,0%
DOOLEN MIDDLE SCHOOL,2400 N COUNTRY CLUB RD,TUCSON,PIMA,85716,YES,RN,PUBLIC,256,93%,2%,95%,91%,2%,95%,86%,2%,89%,98%,1%,99%,99%,1%,100%,98%,1%,100%,99%,1%,100%,3%,2%,1%
DOROTHY STINSON SCHOOL,2013 S 8TH AVE,SAFFORD,GRAHAM,85546,YES,RN,PUBLIC,77,99%,1%,100%,96%,4%,100%,96%,4%,100%,99%,1%,100%,99%,1%,100%,100%,0%,100%,100%,0%,100%,4%,0%,0%
DOS RIOS ELEMENTARY,2150 S 87TH AVE,TOLLESON,MARICOPA,85353,NO,,PUBLIC,93,99%,1%,100%,97%,2%,100%,97%,2%,100%,98%,2%,100%,99%,1%,100%,99%,1%,100%,100%,0%,100%,2%,0%,2%
DR. GARY AND ANNETTE AUXIER ELEMENTARY SCHOOL,22700 S POWER RD,QUEEN CREEK,MARICOPA,85142,NO,,PUBLIC,116,96%,4%,100%,82%,13%,100%,83%,14%,100%,95%,5%,100%,95%,5%,100%,96%,4%,100%,95%,5%,100%,10%,0%,3%
DRACHMAN PRIMARY MAGNET SCHOOL,1085 S 10TH AVE,TUCSON,PIMA,85701,YES,RN,PUBLIC,24,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
DREXEL ELEMENTARY SCHOOL,801 E DREXEL RD,TUCSON,PIMA,85706,YES,RN,PUBLIC,79,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
DUNCAN ELEMENTARY SCHOOL,MCGRATH AVE,DUNCAN,GREENLEE,85534,NO,,PUBLIC,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DWIGHT PATTERSON ELEMENTARY,615 S CHESHIRE,MESA,MARICOPA,85208,YES,RN,PUBLIC,95,99%,1%,100%,97%,0%,100%,95%,0%,95%,99%,0%,99%,99%,0%,99%,99%,0%,99%,100%,0%,100%,1%,0%,1%
DYSART ELEMENTARY SCHOOL,12950 W VARNEY RD,EL MIRAGE,MARICOPA,85335,YES,LPN,PUBLIC,128,98%,2%,100%,93%,2%,100%,96%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,2%,0%,2%
EAGLE COLLEGE PREP,2450 W SOUTH MOUNTAIN AVE,PHOENIX,MARICOPA,85041,NO,,CHARTER,79,86%,14%,100%,82%,14%,100%,38%,16%,57%,94%,6%,100%,90%,9%,99%,92%,8%,100%,91%,9%,100%,16%,0%,6%
EAGLE COLLEGE PREP - MARYVALE,3950 N 53RD AVE,PHOENIX,MARICOPA,85031,NO,,CHARTER,43,100%,0%,100%,98%,0%,100%,98%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,2%,0%
EAGLE COLLEGE PREP - MESA,1619 E MAIN ST,MESA,MARICOPA,85203,NO,,CHARTER,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EAGLE COLLEGE PREP HARMONY,2435 E PECAN RD,PHOENIX,MARICOPA,85040,NO,,CHARTER,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EAGLE RIDGE ELEMENTARY SCHOOL,19801 N 13TH ST,PHOENIX,MARICOPA,85024,YES,RN,PUBLIC,68,100%,0%,100%,99%,1%,100%,94%,4%,99%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,4%,0%,0%
EAGLERIDGE ENRICHMENT PROGRAM,737 W GUADALUPE,MESA,MARICOPA,,YES,RN,PUBLIC,73,85%,15%,100%,67%,30%,100%,55%,45%,100%,82%,18%,100%,79%,21%,100%,85%,15%,100%,100%,0%,100%,40%,8%,15%
EAST FORK LUTHERAN GRADE SCHOOL,4325 FORT APACHE RD,WHITERIVER,NAVAJO,85941,NO,,PRIVATE,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECHO MOUNTAIN INTERMEDIATE SCHOOL,1811 E MICHIGAN AVE,PHOENIX,MARICOPA,85022,YES,RN,PUBLIC,145,99%,1%,100%,92%,7%,100%,91%,8%,100%,99%,1%,100%,99%,1%,100%,98%,2%,100%,99%,1%,100%,8%,0%,1%
ED & VERMA PASTOR ELEMENTARY SCHOOL,2101 W ALTA VISTA RD,PHOENIX,MARICOPA,85041,YES,LPN,PUBLIC,63,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,2%,0%,2%
ED PASTOR ELEMENTARY 4,985 N 6TH AVE,SAN LUIS,YUMA,85349,YES,LPN,PUBLIC,73,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
EDISON ELEMENTARY SCHOOL,545 N HORNE,MESA,MARICOPA,85203,YES,RN,PUBLIC,95,99%,0%,100%,100%,0%,100%,96%,2%,100%,99%,1%,100%,98%,2%,100%,99%,1%,100%,100%,0%,100%,6%,2%,0%
EDUPRIZE SCHOOL,4567 W ROBERTS RD,QUEEN CREEK,PINAL,85142,YES,RN,CHARTER,210,99%,1%,100%,94%,6%,100%,93%,6%,100%,98%,2%,100%,98%,2%,100%,99%,1%,100%,99%,1%,100%,7%,0%,1%
EISENHOWER ELEMENTARY SCHOOL,848 N MESA DR,MESA,MARICOPA,85201,YES,RN,PUBLIC,78,99%,1%,100%,97%,0%,100%,97%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
EL MIRAGE ELEMENTARY SCHOOL,12308 W THUNDERBIRD RD,EL MIRAGE,MARICOPA,85335,YES,LPN,PUBLIC,81,100%,0%,100%,99%,1%,100%,98%,2%,100%,100%,0%,100%,100%,0%,100%,99%,1%,100%,100%,0%,100%,4%,0%,0%
ELFRIDA ELEMENTARY SCHOOL,4070 W JEFFERSON RD,ELFRIDA,COCHISE,85610,NO,,PUBLIC,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ELGIN ELEMENTARY SCHOOL,293 UPPER ELGIN RD,ELGIN,SANTA CRUZ,85611,YES,RN,PUBLIC,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ELLSWORTH ELEMENTARY,38454 N CAROLINA AVE,QUEEN CREEK,PINAL,85140,NO,,PUBLIC,110,95%,5%,100%,77%,12%,92%,71%,12%,85%,95%,5%,100%,94%,6%,100%,94%,6%,100%,95%,5%,100%,15%,0%,5%
ELVIRA ELEMENTARY SCHOOL,250 W ELVIRA RD,TUCSON,PIMA,85756,YES,RN,PUBLIC,97,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
EMERSON ELEMENTARY SCHOOL,415 N WESTWOOD RD,MESA,MARICOPA,85201,YES,RN,PUBLIC,134,98%,2%,100%,95%,4%,100%,94%,5%,100%,98%,2%,100%,98%,2%,100%,97%,3%,100%,99%,1%,100%,6%,1%,2%
EMMANUEL CHRISTIAN ACADEMY,3120 HUALAPAI MOUNTAIN RD,KINGMAN,MOHAVE,86401,YES,LPN,PRIVATE,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EMPOWER COLLEGE PREP,5757 N CENTRAL AVE,PHOENIX,MARICOPA,85012,NO,,CHARTER,87,93%,0%,93%,99%,0%,100%,9%,0%,11%,94%,0%,94%,92%,0%,92%,95%,0%,95%,97%,0%,97%,0%,0%,0%
ENTZ ELEMENTARY SCHOOL,4132 E ADOBE ST,MESA,MARICOPA,85205,YES,RN,PUBLIC,105,95%,5%,100%,95%,3%,100%,90%,8%,100%,96%,4%,100%,96%,4%,100%,98%,2%,100%,100%,0%,100%,9%,3%,2%
ESMOND STATION SCHOOL,9400 S ATTERBURY WASH WAY,TUCSON,PIMA,85747,NO,,PUBLIC,78,96%,4%,100%,95%,5%,100%,95%,5%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,3%,0%,3%
ESPERANZA ELEMENTARY SCHOOL,251 W MOHAWK LN,PHOENIX,MARICOPA,85027,YES,LPN,PUBLIC,69,99%,1%,100%,93%,7%,100%,93%,7%,100%,99%,1%,100%,99%,1%,100%,97%,3%,100%,99%,1%,100%,9%,0%,7%
ESPERANZA ELEMENTARY SCHOOL,2353 E BANTAM,TUCSON,PIMA,85706,YES,RN,PUBLIC,84,100%,0%,100%,99%,0%,100%,99%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
ESPERERO CANYON MIDDLE SCHOOL,5801 N SABINO CANYON RD,TUCSON,PIMA,85750,YES,RN,PUBLIC,207,99%,1%,100%,93%,6%,100%,92%,7%,100%,98%,2%,100%,99%,1%,100%,99%,1%,100%,98%,1%,100%,7%,0%,1%
ESTRELLA MIDDLE SCHOOL,3733 N 75TH AVE,PHOENIX,MARICOPA,85033,NO,,PUBLIC,406,99%,1%,100%,96%,1%,99%,95%,2%,99%,100%,0%,100%,100%,0%,100%,100%,0%,100%,99%,1%,100%,2%,0%,0%
ESTRELLA MOUNTAIN ELEMENTARY SCHOOL,10301 S SAN MIGUEL,GOODYEAR,MARICOPA,85338,NO,,PUBLIC,80,98%,3%,100%,95%,5%,100%,93%,8%,100%,98%,3%,100%,96%,4%,100%,98%,3%,100%,98%,3%,100%,6%,5%,3%
ESTRELLA VISTA ELEMENTARY,11905 W COCOPAH CIR,AVONDALE,MARICOPA,85323,NO,,PUBLIC,109,99%,1%,100%,98%,0%,100%,96%,2%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,2%,0%,1%
ETHOS ACADEMY,8840 N. 43RD AVE,GLENDALE,MARICOPA,85302,NO,,CHARTER,23,100%,0%,100%,52%,0%,52%,35%,0%,35%,100%,0%,100%,96%,0%,96%,100%,0%,100%,96%,0%,96%,0%,0%,0%
EXCELENCIA SCHOOL,2181 E MCDOWELL RD,PHOENIX,MARICOPA,85006,YES,LPN,PUBLIC,91,100%,0%,100%,99%,0%,100%,99%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
FAIRBANKS MIDDLE SCHOOL,1056 FAIRBANKS RD,MORENCI,GREENLEE,85540,NO,,PUBLIC,98,99%,0%,100%,98%,0%,100%,98%,0%,100%,99%,0%,100%,100%,0%,100%,99%,0%,100%,100%,0%,100%,0%,0%,0%
FAITH COMMUNITY ACADEMY,2551 W ORANGE GROVE,TUCSON,PIMA,,NO,,PRIVATE,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FALCON HILL ELEMENTARY SCHOOL,1645 N STERLING ST,MESA,MARICOPA,85207,YES,RN,PUBLIC,77,97%,3%,100%,94%,5%,100%,94%,5%,100%,97%,3%,100%,95%,5%,100%,97%,3%,100%,97%,3%,100%,9%,0%,3%
FEES MIDDLE SCHOOL,1600 E WATSON DR,TEMPE,MARICOPA,85283,YES,RN,PUBLIC,303,99%,1%,99%,95%,2%,99%,95%,2%,99%,99%,1%,100%,100%,0%,100%,99%,1%,100%,99%,1%,100%,2%,0%,1%
FESTIVAL FOOTHILLS ELEMENTARY SCHOOL,26252 W DESERT VISTA BLVD,BUCKEYE,MARICOPA,85396,NO,,PUBLIC,36,89%,8%,100%,83%,14%,100%,83%,14%,100%,92%,8%,100%,92%,8%,100%,94%,6%,100%,89%,11%,100%,14%,0%,3%
FIELD ELEMENTARY SCHOOL,2325 E ADOBE ST,MESA,MARICOPA,85213,YES,RN,PUBLIC,100,100%,0%,100%,92%,7%,100%,92%,7%,100%,100%,0%,100%,100%,0%,100%,99%,1%,100%,100%,0%,100%,8%,0%,8%
FINE ARTS ACADEMY,1700 S. 103RD AVE,TOLLESON,MARICOPA,85353,YES,LPN,PUBLIC,80,93%,8%,100%,93%,8%,100%,93%,8%,100%,93%,8%,100%,93%,8%,100%,93%,8%,100%,93%,8%,100%,8%,8%,8%
FINLEY FARMS ELEMENTARY,375 S COLUMBUS DR,GILBERT,MARICOPA,85296,YES,RN,PUBLIC,92,98%,2%,100%,90%,3%,99%,91%,7%,99%,98%,2%,100%,97%,3%,100%,98%,2%,100%,98%,1%,99%,9%,0%,0%
FIRST AVENUE ELEMENTARY SCHOOL,914 N FIRST AVE,SAN MANUEL,PINAL,85631,NO,,PUBLIC,49,98%,2%,100%,96%,4%,100%,96%,4%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,4%,0%,2%
FIRST BAPTIST CHRISTIAN ACADEMY,1447 S 7TH ST,SIERRA VISTA,COCHISE,85635,NO,,PRIVATE,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FIRST MESA ELEMENTARY SCHOOL,,POLACCA,NAVAJO,,YES,Both,PRIVATE,24,100%,0%,100%,83%,0%,88%,83%,0%,88%,100%,0%,100%,100%,0%,100%,96%,0%,96%,100%,0%,100%,0%,0%,0%
FLAGSTAFF JUNIOR ACADEMY ELEMENTARY CAMPUS,306 W CEDAR AVE,FLAGSTAFF,COCONINO,,NO,,PUBLIC,46,87%,13%,100%,87%,13%,100%,80%,20%,100%,83%,17%,100%,80%,20%,100%,83%,17%,100%,83%,17%,100%,24%,13%,13%
FLORENCE K-8,460 S PARK ST,FLORENCE,PINAL,85232,YES,RN,PUBLIC,86,97%,3%,100%,65%,7%,73%,65%,7%,73%,95%,5%,100%,97%,3%,100%,97%,3%,100%,99%,1%,100%,8%,0%,7%
FOOTHILLS ACADEMY COLLEGE PREPARATORY,7191 E ASHLER HILLS DR,SCOTTSDALE,MARICOPA,85266,NO,,CHARTER,21,86%,14%,100%,76%,24%,100%,76%,24%,100%,86%,14%,100%,86%,14%,100%,86%,14%,100%,86%,14%,100%,24%,0%,14%
FOOTHILLS ELEMENTARY SCHOOL,15808 N 63RD AVE,GLENDALE,MARICOPA,85306,YES,RN,PUBLIC,84,95%,5%,100%,95%,4%,99%,93%,5%,98%,95%,5%,100%,95%,5%,100%,95%,5%,100%,94%,6%,100%,6%,6%,5%
FORT THOMAS ELEMENTARY SCHOOL,15560 W ELEMENTARY RD,FORT THOMAS,GRAHAM,85536,YES,RN,PUBLIC,40,100%,0%,100%,98%,0%,98%,98%,0%,98%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
FOUNTAIN HILLS MIDDLE SCHOOL,15414 N MCDOWELL MOUNTAIN RD,FOUNTAIN HILLS,MARICOPA,85268,NO,,PUBLIC,112,97%,3%,100%,94%,6%,100%,93%,7%,100%,97%,3%,100%,96%,4%,100%,97%,3%,100%,97%,3%,100%,8%,0%,3%
FOUR PEAKS ELEMENTARY SCHOOL,1755 N IDAHO RD,APACHE JUNCTION,PINAL,85219,YES,RN,PUBLIC,113,98%,2%,100%,96%,4%,100%,96%,4%,100%,98%,2%,100%,97%,3%,100%,98%,2%,100%,98%,2%,100%,4%,0%,2%
FOURTH AVENUE JUNIOR HIGH SCHOOL,450 4TH AVE,YUMA,YUMA,85364,NO,,PUBLIC,113,96%,2%,100%,97%,2%,100%,95%,2%,98%,97%,2%,100%,97%,2%,100%,97%,2%,100%,98%,2%,100%,2%,0%,2%
FOX CREEK JR HIGH SCHOOL,3101 DESERT SKY BLVD,BULLHEAD CITY,MOHAVE,86442,YES,RN,PUBLIC,167,99%,1%,100%,90%,4%,95%,89%,4%,95%,99%,1%,100%,96%,4%,100%,99%,1%,100%,99%,1%,100%,4%,0%,4%
FRANK BORMAN MIDDLE SCHOOL,3637 N 55TH AVE,PHOENIX,MARICOPA,85031,NO,,PUBLIC,143,100%,0%,100%,97%,0%,100%,97%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
FRANKLIN AT ALMA ELEMENTARY,1313 W MEDINA AVE,MESA,MARICOPA,85202,YES,RN,PUBLIC,31,100%,0%,100%,90%,10%,100%,90%,10%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,10%,0%,0%
FRANKLIN AT BRIMHALL ELEMENTARY SCHOOL,4949 E SOUTHERN RD,MESA,MARICOPA,,YES,RN,PUBLIC,113,93%,7%,100%,88%,12%,100%,86%,14%,100%,89%,11%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,15%,0%,5%
FRANKLIN ELEMENTARY SCHOOL,1753 E 8TH AVE,MESA,MARICOPA,85204,NO,,PUBLIC,97,95%,5%,100%,93%,6%,100%,93%,6%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,93%,7%,100%,8%,0%,3%
FRANKLIN PHONETIC PRIMARY SCHOOL,6116 E HIGHWAY 69,PRESCOTT VALLEY,YAVAPAI,86314,NO,,CHARTER,49,86%,10%,96%,53%,4%,80%,31%,6%,67%,76%,8%,86%,76%,8%,94%,84%,10%,94%,82%,6%,88%,0%,0%,6%
FRANKLIN WEST ELEMENTARY,236 S SIRRINE,MESA,MARICOPA,85210,YES,RN,PUBLIC,73,92%,0%,100%,82%,18%,100%,81%,19%,100%,92%,8%,100%,92%,8%,100%,96%,4%,100%,100%,0%,100%,16%,1%,7%
FREDONIA ELEMENTARY SCHOOL,222 N 200 EAST,FREDONIA,COCONINO,86022,NO,,PUBLIC,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FREEDOM ACADEMY,3916 EAST PARADISE LANE,PHOENIX,MARICOPA,85032,NO,,CHARTER,44,89%,11%,100%,84%,16%,100%,84%,16%,100%,89%,11%,100%,89%,11%,100%,89%,11%,100%,89%,11%,100%,18%,0%,11%
FREEDOM ELEMENTARY SCHOOL,22150 W. SUNDANCE PKWY S,BUCKEYE,MARICOPA,85326,YES,LPN,PUBLIC,78,100%,0%,100%,97%,1%,100%,97%,1%,99%,99%,0%,99%,97%,0%,97%,97%,1%,99%,99%,0%,99%,3%,3%,0%
FRIENDLY HOUSE ACADEMIA DEL PUEBLO ELEMENTARY SCHOOL,201 E DURANGO ST,PHOENIX,MARICOPA,85004,NO,,CHARTER,45,100%,0%,100%,80%,0%,82%,71%,0%,73%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
FRONTIER ELEMENTARY SCHOOL,21258 N 81ST AVE,PEORIA,MARICOPA,85382,YES,RN,PUBLIC,112,97%,3%,100%,91%,8%,100%,90%,9%,100%,98%,2%,100%,96%,4%,100%,99%,1%,100%,98%,2%,100%,13%,1%,1%
FRYE ELEMENTARY SCHOOL,801 E FRYE RD,CHANDLER,MARICOPA,85225,NO,,PUBLIC,76,99%,1%,100%,92%,4%,100%,92%,4%,100%,99%,1%,100%,99%,1%,100%,97%,3%,100%,99%,1%,100%,1%,1%,1%
G.P.S. - GREENFIELD ELEMENTARY,2550 EAST ELLIOT ROAD,GILBERT,MARICOPA,85234,YES,RN,PUBLIC,151,97%,3%,100%,96%,2%,98%,95%,3%,98%,98%,2%,100%,97%,3%,100%,95%,5%,100%,98%,2%,100%,5%,0%,1%
G.P.S. - HIGHLAND PARK ELEMENTARY,230 NORTH COLE DRIVE,GILBERT,MARICOPA,85234,YES,RN,PUBLIC,121,96%,3%,99%,92%,4%,99%,90%,6%,99%,96%,3%,99%,96%,3%,99%,98%,2%,99%,98%,2%,99%,7%,0%,0%
G.P.S. - OAK TREE ELEMENTARY,505 WEST HOUSTON AVENUE,GILBERT,MARICOPA,85296,YES,RN,PUBLIC,77,97%,3%,100%,92%,0%,100%,92%,0%,100%,97%,3%,100%,95%,5%,100%,97%,3%,100%,99%,1%,100%,4%,0%,0%
G.P.S. - QUARTZ HILL ELEMENTARY,3680 SOUTH QUARTZ HILL,GILBERT,MARICOPA,85296,YES,Both,PUBLIC,113,93%,7%,100%,87%,9%,99%,88%,9%,99%,93%,7%,100%,93%,7%,100%,94%,6%,100%,93%,7%,100%,12%,0%,7%
G.P.S. - TOWNE MEADOWS ELEMENTARY,1101 NORTH RECKER ROAD,HIGLEY,MARICOPA,85236,YES,RN,PUBLIC,139,99%,1%,100%,93%,4%,99%,93%,5%,99%,99%,1%,100%,99%,1%,100%,99%,1%,100%,96%,4%,100%,7%,7%,1%
GADSDEN ELEMENTARY SCHOOL,18745 GADSDEN ST,GADSDEN,YUMA,85349,NO,,PUBLIC,86,100%,0%,100%,95%,0%,100%,95%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
