,Unnamed: 0,school,type,address,city,county,zip,nurse,enrolled,dtap,polio,mmr,hepb,var,exempt_dtap,exempt_polio,exempt_mmr,exempt_hepb,exempt_var,year,mmr_vax_count,exempt_count_mmr,unvax_mmr,missing_forms_mmr,polio_vax_count,exempt_count_polio,unvax_polio,missing_forms_polio,dtap_vax_count,exempt_count_dtap,unvax_dtap,missing_forms_dtap,hep_vax_count,exempt_count_hep,unvax_hep,missing_forms_hep,var_vax_count,exempt_count_var,unvax_var,missing_forms_var,mf2_mmr,mf2_polio,mf2_dtap,mf2_hep,mf2_var,mmr_herd_immune,polio_herd_immune,dtap_herd_immune,hep_herd_immune,var_herd_immune
47,47,american leadership academy - queen creek elementary,charter,19843 e chandler heights rd.,queen creek,maricopa,85142.0,n,73.0,0.8220000000000001,0.863,0.89,0.89,0.658,0.16399999999999998,0.13699999999999998,0.11,0.096,0.068,2015,65.0,8.0,8.0,0.0,63.0,9.0,10.0,1.0,61.0,11.0,12.0,1.0,65.0,7.0,8.0,1.0,49.0,4.0,24.0,20.0,no,no,no,no,yes,no,no,no,no,no
48,48,american leadership academy - san tan valley campus,charter,34696 n village ln.,san tan valley,pinal,85142.0,n,96.0,0.9059999999999999,0.917,0.917,0.938,0.802,0.094,0.083,0.083,0.063,0.052000000000000005,2015,89.0,8.0,7.0,-1.0,89.0,8.0,7.0,-1.0,87.0,9.0,9.0,0.0,91.0,6.0,5.0,-1.0,77.0,5.0,19.0,14.0,no,no,no,no,yes,no,no,no,no,no
49,49,amerischools academy - camelback campus,charter,1333 west camelback rd.,phoenix,maricopa,85013.0,n,28.0,0.9640000000000001,0.929,0.929,0.9640000000000001,0.929,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.036000000000000004,2015,27.0,1.0,1.0,0.0,27.0,1.0,1.0,0.0,27.0,1.0,1.0,0.0,27.0,1.0,1.0,0.0,27.0,1.0,1.0,0.0,no,no,no,no,no,no,no,yes,yes,no
50,50,amerischools academy - north campus,charter,1220 s. 4th ave.,yuma,yuma,85364.0,n,43.0,0.9770000000000001,0.9770000000000001,0.9770000000000001,0.9770000000000001,0.9770000000000001,0.023,0.023,0.023,0.023,0.023,2015,43.0,1.0,0.0,-1.0,43.0,1.0,0.0,-1.0,43.0,1.0,0.0,-1.0,43.0,1.0,0.0,-1.0,43.0,1.0,0.0,-1.0,no,no,no,no,no,yes,yes,yes,yes,yes
52,52,amerischools academy - yuma south campus,charter,2098 s 3rd ave,yuma,yuma,85364.0,n,47.0,0.915,0.8940000000000001,0.8940000000000001,0.872,0.8300000000000001,0.085,0.106,0.085,0.064,0.064,2015,43.0,4.0,4.0,0.0,43.0,5.0,4.0,-1.0,44.0,4.0,3.0,-1.0,41.0,3.0,6.0,3.0,40.0,3.0,7.0,4.0,no,no,no,yes,yes,no,no,no,no,no
54,54,anasazi elementary school,public,12121 n 124th st.,scottsdale,maricopa,85259.0,y,78.0,0.885,0.897,0.897,0.897,0.8590000000000001,0.064,0.077,0.064,0.09,0.077,2015,70.0,5.0,8.0,3.0,70.0,6.0,8.0,2.0,70.0,5.0,8.0,3.0,70.0,7.0,8.0,1.0,68.0,6.0,10.0,4.0,yes,yes,yes,no,yes,no,no,no,no,no
55,55,anna marie jacebsen elementary school,public,1515 nw jacaranda pkwy,chandler,maricopa,85248.0,n,95.0,0.958,0.9890000000000001,0.958,0.9890000000000001,0.9890000000000001,0.032,0.011000000000000001,0.032,0.011000000000000001,0.011000000000000001,2015,92.0,3.0,3.0,0.0,94.0,2.0,1.0,-1.0,92.0,3.0,3.0,0.0,94.0,2.0,1.0,-1.0,94.0,2.0,1.0,-1.0,no,no,no,no,no,yes,yes,yes,yes,yes
56,56,annie kellond elementary school,public,6606 e lehigh dr.,tucson,pima,85710.0,n,60.0,0.9329999999999999,0.9500000000000001,0.9670000000000001,0.9670000000000001,0.9329999999999999,0.017,0.017,0.017,0.0,0.0,2015,59.0,2.0,1.0,-1.0,58.0,1.0,2.0,1.0,56.0,1.0,4.0,3.0,59.0,0.0,1.0,1.0,56.0,0.0,4.0,4.0,no,no,yes,no,yes,yes,yes,no,yes,no
58,58,anthem elementary school (florence),public,2700 n anthem way,florence,pinal,85232.0,n,69.0,0.913,0.9570000000000001,0.9279999999999999,0.9420000000000001,0.8840000000000001,0.0,0.0,0.0,0.0,0.0,2015,65.0,0.0,4.0,4.0,67.0,0.0,2.0,2.0,63.0,0.0,6.0,6.0,65.0,0.0,4.0,4.0,61.0,0.0,8.0,8.0,yes,yes,yes,yes,yes,no,yes,no,no,no
59,59,anthem preparatory academy,charter,39808 n gavilan peak pkwy,anthem,maricopa,85086.0,n,57.0,0.86,0.895,0.8250000000000001,0.912,0.632,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,2015,48.0,5.0,9.0,4.0,52.0,5.0,5.0,0.0,50.0,5.0,7.0,2.0,52.0,5.0,5.0,0.0,37.0,4.0,20.0,16.0,yes,no,yes,no,yes,no,no,no,no,no
60,60,anthem school (anthem),public,41020 n freedmon way,anthem,maricopa,85086.0,y,68.0,0.897,0.897,0.838,0.853,0.6759999999999999,0.10300000000000001,0.10300000000000001,0.11800000000000001,0.10300000000000001,0.10300000000000001,2015,57.0,7.0,11.0,4.0,61.0,7.0,7.0,0.0,61.0,7.0,7.0,0.0,59.0,7.0,9.0,2.0,46.0,5.0,22.0,17.0,yes,no,no,yes,yes,no,no,no,no,no
61,61,anza trail elementary,public,15490 s rancho sahuarita blvd.,sahuarita,pima,85629.0,n,117.0,0.9059999999999999,0.846,0.8890000000000001,0.9400000000000001,0.615,0.034,0.034,0.034,0.034,0.034,2015,105.0,4.0,12.0,8.0,99.0,4.0,18.0,14.0,107.0,4.0,10.0,6.0,110.0,4.0,7.0,3.0,72.0,3.0,45.0,42.0,yes,yes,yes,yes,yes,no,no,no,no,no
63,63,apache elementary school (peoria),public,8633 w john cabot rd.,peoria,maricopa,85382.0,y,55.0,0.927,0.927,0.927,0.927,0.7270000000000001,0.073,0.073,0.073,0.073,0.0,2015,51.0,4.0,4.0,0.0,51.0,4.0,4.0,0.0,51.0,4.0,4.0,0.0,51.0,4.0,4.0,0.0,40.0,0.0,15.0,15.0,no,no,no,no,yes,no,no,no,no,no
65,65,arcadia neighborhood learning center,public,4330 n 62nd st.,scottsdale,maricopa,85251.0,y,41.0,0.8540000000000001,0.8540000000000001,0.8540000000000001,0.8540000000000001,0.78,0.146,0.146,0.146,0.122,0.122,2015,36.0,6.0,5.0,-1.0,36.0,6.0,5.0,-1.0,36.0,6.0,5.0,-1.0,36.0,5.0,5.0,0.0,32.0,4.0,9.0,5.0,no,no,no,no,yes,no,no,no,no,no
66,66,archway classical academy - chandler,charter,1951 n alma school rd.,chandler,maricopa,85225.0,n,85.0,0.9059999999999999,0.9059999999999999,0.882,0.8940000000000001,0.7759999999999999,0.094,0.094,0.11800000000000001,0.106,0.08199999999999999,2015,75.0,9.0,10.0,1.0,78.0,8.0,7.0,-1.0,78.0,8.0,7.0,-1.0,76.0,9.0,9.0,0.0,66.0,6.0,19.0,13.0,no,no,no,no,yes,no,no,no,no,no
67,67,archway classical academy - cicero,charter,7205 n pima rd.,scottsdale,maricopa,85250.0,n,84.0,0.893,0.917,0.893,0.833,0.7140000000000001,0.107,0.083,0.107,0.167,0.048,2015,76.0,9.0,8.0,-1.0,78.0,7.0,6.0,-1.0,76.0,9.0,8.0,-1.0,70.0,12.0,14.0,2.0,60.0,3.0,24.0,21.0,no,no,no,yes,yes,no,no,no,no,no
68,68,archway classical academy - north phoenix,charter,13613 n cave creek rd. building c,phoenix,maricopa,85022.0,n,87.0,0.885,0.8740000000000001,0.8390000000000001,0.8740000000000001,0.7590000000000001,0.115,0.126,0.161,0.126,0.115,2015,73.0,12.0,14.0,2.0,77.0,10.0,10.0,0.0,77.0,9.0,10.0,1.0,77.0,10.0,10.0,0.0,67.0,8.0,20.0,12.0,yes,no,no,no,yes,no,no,no,no,no
69,69,archway classical academy - scottsdale,charter,7496 e. tierra buena ln.,scottsdale,maricopa,85260.0,y,90.0,0.956,0.9329999999999999,0.9109999999999999,0.8890000000000001,0.8890000000000001,0.044000000000000004,0.067,0.08900000000000001,0.111,0.033,2015,82.0,8.0,8.0,0.0,84.0,6.0,6.0,0.0,87.0,4.0,3.0,-1.0,81.0,9.0,9.0,0.0,81.0,3.0,9.0,6.0,no,no,no,no,yes,no,no,yes,no,no
70,70,archway classical academy - trivium,charter,14130 w mcdowell rd.,goodyear,maricopa,85395.0,n,81.0,0.975,0.975,0.975,0.963,0.84,0.025,0.025,0.025,0.037000000000000005,0.049,2015,79.0,2.0,2.0,0.0,79.0,2.0,2.0,0.0,79.0,2.0,2.0,0.0,79.0,3.0,2.0,-1.0,69.0,4.0,12.0,8.0,no,no,no,no,yes,yes,yes,yes,yes,no
71,71,archway classical academy - trivium west,charter,2001 n bullard ave.,goodyear,maricopa,85395.0,n,84.0,0.9400000000000001,0.9400000000000001,0.9400000000000001,0.929,0.8690000000000001,0.06,0.06,0.06,0.071,0.048,2015,79.0,5.0,5.0,0.0,79.0,5.0,5.0,0.0,79.0,5.0,5.0,0.0,79.0,6.0,5.0,-1.0,73.0,4.0,11.0,7.0,no,no,no,no,yes,no,no,no,no,no
72,72,archway classical academy - veritas,charter,3102 n 56th st.,phoenix,maricopa,85018.0,y,89.0,0.831,0.8200000000000001,0.831,0.888,0.753,0.16899999999999998,0.18,0.16899999999999998,0.11199999999999999,0.11199999999999999,2015,74.0,13.0,15.0,2.0,73.0,14.0,16.0,2.0,74.0,13.0,15.0,2.0,80.0,9.0,9.0,0.0,68.0,8.0,21.0,13.0,yes,yes,yes,no,yes,no,no,no,no,no
73,73,archway classical academy- arete,charter,4525 e. baseline rd.,gilbert,maricopa,85234.0,y,87.0,0.897,0.885,0.885,0.8740000000000001,0.7590000000000001,0.10300000000000001,0.115,0.115,0.126,0.10300000000000001,2015,77.0,9.0,10.0,1.0,77.0,9.0,10.0,1.0,79.0,9.0,8.0,-1.0,77.0,10.0,10.0,0.0,67.0,7.0,20.0,13.0,no,no,no,no,yes,no,no,no,no,no
74,74,archway classical academy glendale,charter,23276 n 83rd ave.,peoria,maricopa,85383.0,y,86.0,0.872,0.86,0.86,0.8840000000000001,0.8140000000000001,0.128,0.14,0.14,0.11599999999999999,0.081,2015,74.0,11.0,12.0,1.0,74.0,11.0,12.0,1.0,75.0,10.0,11.0,1.0,77.0,9.0,9.0,0.0,71.0,6.0,15.0,9.0,no,no,no,no,yes,no,no,no,no,no
75,75,archway classical academy- lincoln,charter,2250 s gilbert rd.,chandler,maricopa,85286.0,y,90.0,0.9329999999999999,0.9670000000000001,0.922,0.956,0.7440000000000001,0.067,0.033,0.078,0.033,0.044000000000000004,2015,83.0,7.0,7.0,0.0,88.0,3.0,2.0,-1.0,84.0,6.0,6.0,0.0,87.0,3.0,3.0,0.0,67.0,3.0,23.0,20.0,no,no,no,no,yes,no,yes,no,yes,no
78,78,arizona charter academy,charter,16011 n dysart rd.,surprise,maricopa,85378.0,n,75.0,0.9329999999999999,0.96,0.9329999999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2015,70.0,0.0,5.0,5.0,72.0,0.0,3.0,3.0,70.0,0.0,5.0,5.0,75.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,yes,yes,yes,no,no,no,yes,no,yes,yes
79,79,arizona connections academy,charter,"335 e. germann rd., suite 140",gilbert,maricopa,85297.0,n,69.0,0.826,0.797,0.797,0.841,0.7540000000000001,0.174,0.188,0.188,0.159,0.145,2015,55.0,11.0,14.0,3.0,55.0,11.0,14.0,3.0,57.0,10.0,12.0,2.0,59.0,10.0,10.0,0.0,53.0,8.0,16.0,8.0,yes,yes,yes,no,yes,no,no,no,no,no
