,school,type,address,city,county,zip,nurse,enrolled,dtap,polio,mmr,hepb,var,exempt_dtap,exempt_polio,exempt_mmr,exempt_hepb,exempt_var,year,exempt_tdap
2764,HOLMES ELEMENTARY SCHOOL,PUBLIC,948 S HORNE,MESA,MARICOPA,85204.0,YES,100,97%,100%,99%,100%,99%,0%,0%,0%,0%,0%,2017,
2765,HOMER DAVIS ELEMENTARY SCHOOL,PUBLIC,4250 N ROMERO RD,TUCSON,PIMA,85705.0,NO,71,77%,94%,94%,94%,94%,6%,6%,6%,6%,6%,2017,
2766,HOPE CHRISTIAN ACADEMY,PRIVATE,1125 N DOBSON RD,CHANDLER,MARICOPA,85224.0,NO,< 20 ,,,,,,,,,,,2017,
2767,HORIZON COMMUNITY LEARNING CENTER,CHARTER,16233 S 48TH ST,PHOENIX,MARICOPA,,NO,127,92%,98%,95%,97%,96%,6%,2%,5%,3%,4%,2017,
2768,HORIZON SCHOOL,PUBLIC,8520 N 47TH AVE,GLENDALE,MARICOPA,85302.0,YES,107,90%,93%,93%,94%,100%,10%,7%,7%,6%,0%,2017,
2769,HOUSTON ELEMENTARY SCHOOL,PUBLIC,500 E HUSTON AVE,GILBERT,MARICOPA,85234.0,YES,57,98%,98%,98%,98%,98%,2%,2%,2%,2%,2%,2017,
2770,HUACHUCA CITY ELEMENTARY SCHOOL,PUBLIC,100 SCHOOL DR,HUACHUCA CITY,COCHISE,85616.0,NO,40,98%,98%,98%,98%,98%,3%,3%,3%,3%,3%,2017,
2771,HUACHUCA MOUNTAIN ELEMENTARY SCHOOL,PUBLIC,3228 SAINT ANDREWS DR,SIERRA VISTA,COCHISE,85650.0,YES,85,94%,100%,99%,100%,99%,2%,0%,1%,0%,1%,2017,
2772,HUMBOLDT ELEMENTARY SCHOOL,PUBLIC,2750 S CORRAL ST,HUMBOLT,YAVAPAI,86329.0,YES,56,95%,98%,98%,96%,98%,4%,2%,2%,2%,2%,2017,
2773,HURLEY RANCH ELEMENTARY,PUBLIC,8950 W ILLINI ST,TOLLESON,MARICOPA,,NO,142,98%,100%,100%,99%,100%,2%,0%,0%,1%,0%,2017,
2774,IGNACIO CONCHOS ELEMENTARY SCHOOL,PUBLIC,1718 W. VINEYARD RD,PHOENIX,MARICOPA,85041.0,YES,45,100%,100%,100%,100%,100%,0%,0%,0%,0%,0%,2017,
2775,IMAGINE CHARTER ELEMENTARY SCHOOL AT WEST GILBERT,CHARTER,2061 SOUTH GILBERT ROAD,GILBERT,MARICOPA,85295.0,NO,32,72%,94%,94%,94%,94%,6%,6%,6%,6%,6%,2017,
2776,IMAGINE CHARTER SCHOOL AT BELL CANYON,CHARTER,18052 N BLACK CANYON HWY,PHOENIX,MARICOPA,85053.0,NO,30,100%,100%,100%,100%,100%,0%,0%,0%,0%,0%,2017,
2777,IMAGINE ELEMENTARY @ TEMPE,CHARTER,1538 EAST SOUTHERN AVENUE,TEMPE,MARICOPA,85282.0,NO,< 20 ,,,,,,,,,,,2017,
2778,IMAGINE ELEMENTARY AT AVONDALE,CHARTER,950 N ELISIO C FELIX JR WAY,AVONDALE,MARICOPA,85053.0,NO,82,89%,91%,91%,91%,91%,9%,9%,9%,9%,9%,2017,
2779,IMAGINE MIDDLE AT COOLIDGE,CHARTER,1290 W VAH KI INN RD,COOLIDGE,PINAL,,NO,122,67%,84%,84%,96%,93%,3%,2%,2%,4%,3%,2017,
2780,IMAGINE MIDDLE AT DESERT WEST,CHARTER,6738 W MCDOWELL RD,PHOENIX,MARICOPA,,NO,141,99%,99%,99%,99%,99%,1%,1%,1%,1%,1%,2017,
2781,IMAGINE MIDDLE AT SUPERSTITION,CHARTER,1843 W 16TH AVE,APACHE JUNCTION,PINAL,85120.0,NO,37,97%,97%,97%,97%,97%,3%,3%,3%,3%,3%,2017,
2782,IMAGINE MIDDLE SCHOOL AT CORTEZ PARK,CHARTER,3535 W DUNLAP AVE,PHOENIX,MARICOPA,85051.0,NO,94,96%,99%,99%,99%,99%,1%,1%,1%,1%,1%,2017,
2783,IMAGINE MIDDLE SCHOOL AT SURPRISE,CHARTER,14850 N 156TH AVE,SURPRISE,MARICOPA,85379.0,NO,129,80%,96%,96%,96%,96%,4%,4%,4%,4%,4%,2017,
2784,IMAGO DEI MIDDLE SCHOOL,PRIVATE,55 N 6TH AVE,TUCSON,PIMA,85701.0,NO,< 20 ,,,,,,,,,,,2017,
2785,IMMACULATE CONCEPTION CATHOLIC SCHOOL,PRIVATE,700 NORTH BILL GRAY ROAD,COTTONWOOD,YAVAPAI,86326.0,NO,< 20 ,,,,,,,,,,,2017,
2786,IMMACULATE CONCEPTION PRESCHOOL,PRIVATE,501 SOUTH AVENUE B,YUMA,YUMA,85364.0,NO,21,90%,100%,100%,100%,100%,0%,0%,0%,0%,0%,2017,
2787,IMMACULATE HEART ACADEMY,PRIVATE,410 E MAGEE RD,TUCSON,PIMA,85704.0,NO,< 20 ,,,,,,,,,,,2017,
2788,INCA ELEMENTARY SCHOOL,PUBLIC,236000 W DURANGO ST,BUCKEYE,MARICOPA,85326.0,NO,108,97%,98%,98%,98%,97%,3%,2%,2%,2%,3%,2017,
2789,INCITO SCHOOLS,CHARTER,877 N SARIVAL AVE,GOODYEAR,MARICOPA,85338.0,NO,32,22%,88%,88%,91%,97%,0%,0%,0%,0%,0%,2017,
2790,INDIAN BEND ELEMENTARY SCHOOL,PUBLIC,3633 E THUNDERBIRD RD,PHOENIX,MARICOPA,85032.0,NO,81,98%,98%,98%,98%,99%,2%,2%,2%,2%,1%,2017,
2791,INDIAN OASIS INTERMEDIATE ELEMENTARY SCHOOL,PUBLIC,HIGHWAY 86,SELLS,PIMA,85634.0,NO,86,99%,100%,100%,100%,100%,0%,0%,0%,0%,0%,2017,
2792,INGLESIDE MIDDLE SCHOOL,PUBLIC,5402 E OSBORN RD,PHOENIX,MARICOPA,85018.0,YES,305,85%,97%,97%,97%,95%,3%,3%,3%,2%,3%,2017,
2793,INTERNATIONAL SCHOOL OF ARIZONA,PRIVATE,9522 EAST SAN SALVADOR,SCOTTSDALE,MARICOPA,85258.0,NO,< 20 ,,,,,,,,,,,2017,
2794,IRA A FULTON ELEMENTARY,PUBLIC,4750 S SUNLAND DR,CHANDLER,MARICOPA,85248.0,NO,142,87%,98%,98%,98%,96%,11%,2%,2%,2%,4%,2017,
2795,IRA A MURPHY SCHOOL,PUBLIC,7231 W NORTH LN,PEORIA,MARICOPA,85345.0,YES,50,82%,100%,100%,100%,100%,0%,0%,0%,0%,0%,2017,
2796,IRENE LOPEZ SCHOOL,PUBLIC,4610 S. 12TH ST,PHOENIX,MARICOPA,85040.0,YES,59,97%,98%,98%,98%,98%,2%,2%,2%,2%,2%,2017,
2797,IRONWOOD ELEMENTARY SCHOOL,PUBLIC,14850 N 39TH AVE,PHOENIX,MARICOPA,85053.0,NO,84,94%,96%,94%,95%,95%,6%,4%,6%,5%,5%,2017,
2798,IRONWOOD ELEMENTARY SCHOOL,PUBLIC,3300 W FREER DR,TUCSON,PIMA,85742.0,NO,93,94%,96%,96%,95%,96%,4%,4%,4%,4%,4%,2017,
2799,IRVING ELEMENTARY SCHOOL,PUBLIC,3220 E PUEBLO AVE,MESA,MARICOPA,85204.0,YES,75,92%,99%,99%,99%,100%,7%,1%,1%,1%,0%,2017,
2800,ISAAC E IMES SCHOOL,PUBLIC,6625 N 56TH AVE,GLENDALE,MARICOPA,85301.0,YES,60,98%,100%,100%,100%,100%,2%,0%,0%,0%,0%,2017,
2801,ISAAC MIDDLE SCHOOL,PUBLIC,3402 W MCDOWELL RD,PHOENIX,MARICOPA,85009.0,NO,267,91%,99%,99%,99%,98%,0%,0%,0%,0%,0%,2017,
2802,ISHIKAWA ELEMENTARY SCHOOL,PUBLIC,2635 N 32ND ST,MESA,MARICOPA,85213.0,YES,133,92%,99%,98%,99%,98%,5%,1%,2%,1%,2%,2017,
2803,ISLANDS ELEMENTARY SCHOOL,PUBLIC,245 S MCQUEEN RD,GILBERT,MARICOPA,85233.0,YES,76,96%,99%,99%,97%,99%,3%,1%,1%,3%,1%,2017,
2804,J  ROBERT HENDRICKS ELEMENTARY SCHOOL,PUBLIC,3400 W ORANGE GROVE RD,TUCSON,PIMA,85741.0,NO,64,97%,100%,100%,98%,100%,3%,0%,0%,2%,0%,2017,
2805,J.C.U.S.D. - JOSEPH CITY PRESCHOOL,PUBLIC,8176 WESTOVER AVENUE,JOSEPH CITY,NAVAJO,86032.0,NO,33,67%,85%,85%,85%,85%,33%,15%,15%,15%,15%,2017,
2806,JACK HARMON ELEMENTARY,PUBLIC,39315 N CORTONA DR,QUEEN CREEK,PINAL,85240.0,NO,93,87%,91%,91%,91%,91%,9%,9%,9%,9%,9%,2017,
2807,JACK L KUBAN ELEMENTARY SCHOOL,PUBLIC,3201 W SHERMAN ST,PHOENIX,MARICOPA,85009.0,YES,42,98%,100%,100%,100%,100%,0%,0%,0%,0%,0%,2017,
2808,JAMAICA ELEMENTARY SCHOOL,PUBLIC,3427 JAMAICA BLVD,LAKE HAVASU CITY,MOHAVE,86406.0,YES,71,86%,97%,96%,97%,97%,11%,3%,4%,3%,3%,2017,
2809,JAMES KENDALL ZAHARIS ELEMENTARY,PUBLIC,9410 E MCKELLIPS RD,MESA,MARICOPA,85207.0,YES,127,90%,94%,94%,94%,94%,7%,6%,6%,6%,6%,2017,
2810,JANE D. HULL ELEMENTARY,PUBLIC,2424 E MAREN DR,CHANDLER,MARICOPA,85249.0,NO,118,77%,95%,94%,93%,95%,16%,5%,6%,7%,5%,2017,
2811,JEDDITO SCHOOL,PUBLIC,MILE POST 408 HWY 264,KEAMS CANYON,NAVAJO,,NO,< 20 ,,,,,,,,,,,2017,
2812,JEFFERSON ELEMENTARY SCHOOL,PUBLIC,120 S JEFFERSON AVE,MESA,MARICOPA,85208.0,NO,78,99%,99%,99%,99%,99%,1%,1%,1%,1%,1%,2017,
2813,JOHN & CAROL CARLSON ELEMENTARY,PUBLIC,5400 S WHITE DR,CHANDLER,MARICOPA,85249.0,NO,102,89%,95%,94%,93%,94%,11%,5%,6%,7%,6%,2017,
2814,JOHN F KENNEDY SCHOOL,PUBLIC,1500 SUNSET DR,SUPERIOR,PINAL,85173.0,NO,24,100%,100%,100%,100%,100%,0%,0%,0%,0%,0%,2017,
2815,JOHN JACOBS ELEMENTARY SCHOOL,PUBLIC,14421 N 23RD AVE,PHOENIX,MARICOPA,85023.0,NO,82,98%,98%,100%,99%,100%,2%,0%,0%,1%,0%,2017,
2816,JOHN M ANDERSEN JR HIGH SCHOOL,PUBLIC,1255 N DOBSON RD,CHANDLER,MARICOPA,85224.0,NO,138,90%,95%,96%,96%,97%,5%,4%,4%,4%,3%,2017,
2817,JOHN R DAVIS SCHOOL,PUBLIC,6209 S 15TH AVE,PHOENIX,MARICOPA,85041.0,YES,35,97%,97%,97%,97%,97%,3%,3%,3%,3%,3%,2017,
2818,JOHNSON ELEMENTARY SCHOOL,PUBLIC,3807 E PUEBLO,MESA,MARICOPA,85206.0,YES,79,97%,95%,95%,95%,100%,0%,5%,5%,5%,0%,2017,
2819,JOSEPH CITY ELEMENTARY SCHOOL,PUBLIC,8176 N WESTOVER ST,JOSEPH CITY,NAVAJO,86032.0,NO,33,67%,85%,85%,85%,100%,33%,15%,15%,15%,0%,2017,
2820,JOY CHRISTIAN SCHOOL,PRIVATE,21000 N 75TH AVE,GLENDALE,MARICOPA,85308.0,YES,41,90%,90%,90%,90%,90%,10%,10%,10%,10%,10%,2017,
2821,KACHINA ELEMENTARY SCHOOL,PUBLIC,5304 W CROCUS DR,GLENDALE,MARICOPA,85306.0,YES,52,98%,98%,98%,98%,98%,2%,2%,2%,2%,2%,2017,
2822,KATHRYN SUE SIMONTON ELEMENTARY,PUBLIC,40300 N SIMONTON BLVD,QUEEN CREEK,PINAL,85140.0,NO,72,88%,99%,99%,99%,99%,3%,1%,1%,1%,1%,2017,
2823,KAYENTA COMMUNITY SCHOOL,PRIVATE,,KAYENTA,NAVAJO,,NO,36,94%,100%,97%,100%,97%,0%,0%,0%,0%,0%,2017,
2824,KELLER ELEMENTARY SCHOOL,PUBLIC,1445 E HILTON AVE,MESA,MARICOPA,85204.0,YES,66,95%,98%,98%,98%,98%,5%,2%,2%,2%,2%,2017,
2825,KENILWORTH ELEMENTARY SCHOOL,PUBLIC,1210 N 5TH AVE,PHOENIX,MARICOPA,85003.0,NO,61,92%,98%,100%,100%,100%,2%,0%,0%,0%,0%,2017,
2826,KERR ELEMENTARY SCHOOL,PUBLIC,125 E MCLELLAN RD,MESA,MARICOPA,85201.0,YES,87,97%,99%,99%,100%,100%,2%,0%,0%,0%,0%,2017,
2827,KEYSTONE MONTESSORI CHARTER SCHOOL,CHARTER,1025 E LIBERTY LN,PHOENIX,MARICOPA,85048.0,NO,22,68%,86%,86%,86%,86%,23%,14%,14%,14%,14%,2017,
2828,KHALSA MONTESSORI SCHOOL,CHARTER,3701 EAST RIVER ROAD,TUCSON,PIMA,85718.0,NO,27,70%,100%,93%,100%,89%,11%,0%,0%,0%,11%,2017,
2829,KIN DAH LICHI'I OLTA,PRIVATE,2 MILES N OF MP 452 ON HWY 2,KIN-LI-CHEE,APACHE,86505.0,NO,22,73%,100%,100%,100%,100%,0%,0%,0%,0%,0%,2017,
2830,KINDERTOTS,PRIVATE,1118 WEST GLENDALE AVENUE,PHOENIX,MARICOPA,85021.0,NO,23,48%,83%,61%,83%,83%,48%,17%,39%,17%,17%,2017,
2831,KINGMAN ACADEMY OF LEARNING - MIDDLE SCHOOL,CHARTER,3269 N HARRISON ST,KINGMAN,MOHAVE,,NO,112,90%,93%,93%,96%,100%,10%,7%,7%,4%,0%,2017,
2832,KINGMAN MIDDLE SCHOOL,PUBLIC,1969 DETROIT AVE,KINGMAN,MOHAVE,86401.0,NO,235,80%,88%,91%,100%,97%,20%,12%,9%,0%,3%,2017,
2833,KINGS RIDGE PREPARATORY ACADEMY,PUBLIC,3650 S 64TH LN,PHOENIX,MARICOPA,85043.0,YES,105,93%,97%,99%,99%,100%,3%,3%,1%,1%,0%,2017,
2834,KINGSWOOD ELEMENTARY SCHOOL,PUBLIC,15150 W MONDELL RD,SURPRISE,MARICOPA,85374.0,YES,64,81%,95%,95%,95%,97%,2%,5%,3%,5%,3%,2017,
2835,KISER ELEMENTARY SCHOOL,PUBLIC,INTERSTATE 8 EXIT 106,GILA BEND,MARICOPA,85337.0,NO,< 20 ,,,,,,,,,,,2017,
2836,KNOX ELEMENTARY SCHOOL,PUBLIC,700 W ORCHID LN,CHANDLER,MARICOPA,85225.0,NO,105,88%,97%,97%,95%,97%,7%,3%,3%,5%,3%,2017,
2837,KYRENE AKIMEL A-AL MIDDLE SCHOOL,PUBLIC,2720 E LIBERTY LN,PHOENIX,MARICOPA,85048.0,YES,340,88%,96%,97%,96%,100%,0%,4%,3%,3%,0%,2017,
2838,KYRENE ALTADENA MIDDLE SCHOOL,PUBLIC,14620 S DESERT FOOTHILLS PKWY,PHOENIX,MARICOPA,85048.0,NO,338,90%,98%,97%,97%,98%,4%,2%,3%,3%,2%,2017,
2839,KYRENE APRENDE MIDDLE SCHOOL,PUBLIC,777 N DESERT BREEZE BLVD EAST,CHANDLER,MARICOPA,85226.0,NO,364,93%,96%,97%,98%,96%,3%,2%,2%,1%,2%,2017,
2840,KYRENE CENTENNIAL MIDDLE SCHOOL,PUBLIC,13808 S 36TH ST,PHOENIX,MARICOPA,85044.0,NO,322,94%,98%,98%,98%,98%,2%,2%,2%,2%,2%,2017,
2841,KYRENE DEL PUEBLO MIDDLE SCHOOL,PUBLIC,360 S TWELVE OAKS BLVD,CHANDLER,MARICOPA,85226.0,NO,291,95%,97%,98%,99%,98%,4%,3%,2%,1%,2%,2017,
2842,KYRENE DEL SURENO SCHOOL,PUBLIC,3375 W GALVESTON RD,CHANDLER,MARICOPA,85226.0,NO,57,77%,75%,88%,93%,93%,7%,12%,12%,7%,7%,2017,
2843,KYRENE MIDDLE SCHOOL,PUBLIC,1050 E CARVER RD,TEMPE,MARICOPA,85284.0,NO,327,68%,95%,96%,96%,94%,4%,4%,4%,4%,4%,2017,
2844,L THOMAS HECK MIDDLE SCHOOL,PUBLIC,12448 W BETHANY HOME RD,LITCHFIELD PARK,MARICOPA,85340.0,YES,259,86%,98%,98%,100%,100%,0%,0%,0%,0%,0%,2017,
2845,L.H.U.S.D. #1 - DEVELOPMENTAL PRESCHOOL,PUBLIC,2395 SMOKETREE AVENUE,LAKE HAVASU CITY,MOHAVE,86403.0,YES,69,99%,97%,97%,97%,99%,1%,3%,3%,3%,1%,2017,
2846,LA CIMA MIDDLE SCHOOL,PUBLIC,5600 N LA CANADA RD,TUCSON,PIMA,85704.0,YES,163,97%,98%,98%,98%,98%,2%,2%,2%,2%,2%,2017,
2847,LA PALOMA ACADEMY - LAKESIDE,CHARTER,8140 E GOLF LINKS ROAD,TUCSON,PIMA,85730.0,NO,83,99%,98%,98%,98%,99%,1%,1%,1%,1%,1%,2017,
2848,LA PALOMA ACADEMY SOUTH,CHARTER,5660 S 12TH AVE,TUCSON,PIMA,85706.0,NO,44,98%,100%,100%,100%,100%,2%,0%,0%,0%,0%,2017,
2849,LA TIERRA COMMUNITY SCHOOL,CHARTER,124 N VIRGINIA ST,PRESCOTT,YAVAPAI,86301.0,NO,< 20 ,,,,,,,,,,,2017,
2850,LAFE NELSON SCHOOL,PUBLIC,1100 10TH AVE,SAFFORD,GRAHAM,85546.0,YES,78,90%,96%,96%,96%,97%,9%,4%,4%,4%,3%,2017,
2851,LAGUNA ELEMENTARY SCHOOL,PUBLIC,5001 N SHANNON RD,TUCSON,PIMA,85705.0,NO,52,100%,100%,100%,100%,100%,0%,0%,0%,0%,0%,2017,
2852,LAIRD ELEMENTARY SCHOOL,PUBLIC,1500 N SCOVEL ST,TEMPE,MARICOPA,85281.0,YES,53,92%,96%,96%,96%,96%,4%,4%,4%,4%,4%,2017,
2853,LAKE PLEASANT ELEMENTARY,PUBLIC,31501 N WESTLAND RD,PEORIA,MARICOPA,85383.0,YES,73,93%,97%,97%,96%,95%,4%,3%,3%,4%,5%,2017,
2854,LAKE VALLEY ELEMENTARY SCHOOL,PUBLIC,3900 N STARLIGHT DR,PRESCOTT VALLEY,YAVAPAI,86314.0,YES,75,91%,99%,96%,97%,99%,7%,1%,4%,3%,1%,2017,
2855,LAKEVIEW ELEMENTARY SCHOOL,PUBLIC,3040 W YUCCA ST,PHOENIX,MARICOPA,85029.0,NO,83,99%,99%,99%,99%,99%,1%,0%,0%,0%,1%,2017,
2856,LARKSPUR ELEMENTARY SCHOOL,PUBLIC,2430 E LARKSPUR DR,PHOENIX,MARICOPA,85032.0,YES,88,94%,99%,99%,99%,99%,2%,1%,1%,1%,1%,2017,
2857,LARRY C KENNEDY SCHOOL,PUBLIC,2702 E OSBORN RD,PHOENIX,MARICOPA,85016.0,YES,60,98%,98%,98%,98%,100%,0%,0%,0%,0%,0%,2017,
2858,LAS BRISAS ACADEMY,PUBLIC,18211 W LAS BRISAS DR,GOODYEAR,MARICOPA,85338.0,NO,47,94%,96%,98%,98%,98%,6%,4%,2%,2%,2%,2017,
2859,LAS BRISAS ELEMENTARY SCHOOL,PUBLIC,5805 W ALAMEDA,GLENDALE,MARICOPA,85310.0,NO,134,100%,95%,96%,95%,96%,0%,5%,4%,5%,4%,2017,
2860,LAS SENDAS ELEMENTARY SCHOOL,PUBLIC,3120 N RED MOUNTAIN RD,MESA,MARICOPA,85207.0,YES,155,91%,97%,97%,97%,99%,8%,3%,3%,3%,1%,2017,
2861,LAVEEN ELEMENTARY SCHOOL,PUBLIC,4141 W MCNEIL STREET,LAVEEN,MARICOPA,85339.0,NO,89,92%,98%,98%,98%,98%,3%,2%,2%,2%,2%,2017,
2862,LAWRENCE W CROSS MIDDLE SCHOOL,PUBLIC,1000 W CHAPALA DR,TUCSON,PIMA,85704.0,YES,197,95%,96%,96%,98%,97%,4%,3%,4%,2%,3%,2017,
2863,LE PERA ELEMENTARY SCHOOL,PUBLIC,TAHBO RD AND MOHAVE RD,PARKER,LA PAZ,85371.0,NO,30,100%,100%,100%,100%,100%,0%,0%,0%,0%,0%,2017,
2864,LEADING EDGE ACADEMY - EAST MESA CAMPUS,CHARTER,10115 E UNIVERSITY DR,MESA,MARICOPA,,NO,< 20 ,,,,,,,,,,,2017,
2865,LEADING EDGE ACADEMY - GILBERT ELEMENTARY CAMPUS,CHARTER,717 W RAY RD,GILBERT,MARICOPA,85233.0,NO,42,17%,83%,83%,86%,86%,14%,17%,17%,14%,14%,2017,
2866,LEADING EDGE ACADEMY - MARICOPA CAMPUS,CHARTER,19302 N PORTER RD,MARICOPA,PINAL,85238.0,NO,77,74%,95%,96%,97%,97%,4%,5%,4%,3%,3%,2017,
2867,LEADING EDGE ACADEMY - MOUNTAIN VIEW CAMPUS,CHARTER,4815 W HUNT HWY,QUEEN CREEK,PINAL,85142.0,NO,30,70%,87%,87%,83%,87%,17%,10%,13%,13%,13%,2017,
2868,LEARNING FOUNDATION AND PERFORMING ARTS ALTA MESA,CHARTER,5761 E BROWN RD,MESA,MARICOPA,85205.0,NO,25,80%,88%,88%,92%,92%,12%,8%,8%,8%,8%,2017,
2869,LEARNING FOUNDATION AND PERFORMING ARTS STAPLEY,CHARTER,851 N STAPLEY DR,MESA,MARICOPA,85203.0,NO,28,93%,96%,96%,96%,100%,4%,4%,4%,4%,0%,2017,
2870,LEARNING FOUNDATION AND PERFORMING ARTS WARNER,CHARTER,3939 E WARNER RD,GILBERT,MARICOPA,85296.0,NO,75,84%,88%,89%,88%,89%,9%,12%,11%,11%,9%,2017,
2871,LEE KORNEGAY INTERMEIDATE SCHOOL,PUBLIC,PO BOX 2070,MIAMI,GILA,85539.0,NO,72,99%,93%,83%,93%,93%,1%,1%,1%,1%,1%,2017,
2872,LEGACY TRADITIONAL CHARTER SCHOOL - GILBERT,CHARTER,2747 S RECKER RD,GILBERT,MARICOPA,85295.0,YES,114,88%,97%,96%,95%,98%,12%,3%,4%,5%,2%,2017,
2873,LEGACY TRADITIONAL CHARTER SCHOOL - LAVEEN VILLAGE,CHARTER,7900 S 43RD AVE,LAVEEN,MARICOPA,85339.0,YES,128,52%,80%,82%,82%,82%,1%,2%,2%,2%,2%,2017,
2874,LEGACY TRADITIONAL SCHOOL - AVONDALE,CHARTER,12320 W VAN BUREN ST,AVONDALE,MARICOPA,85323.0,NO,151,84%,97%,97%,97%,97%,3%,3%,3%,3%,3%,2017,
2875,LEGACY TRADITIONAL SCHOOL - CASA GRANDE,CHARTER,1274 E O'NEIL DR,CASA GRANDE,PINAL,85138.0,NO,146,87%,97%,97%,97%,97%,11%,3%,3%,3%,3%,2017,
2876,LEGACY TRADITIONAL SCHOOL - GLENDALE,PUBLIC,13091 N 67TH AVE,GLENDALE,MARICOPA,85306.0,YES,117,100%,93%,92%,92%,93%,0%,6%,6%,6%,6%,2017,
2877,LEGACY TRADITIONAL SCHOOL - MARICOPA,CHARTER,17760 REGENT DR,MARICOPA,PINAL,85138.0,NO,128,95%,98%,98%,98%,98%,2%,2%,2%,2%,2%,2017,
2878,LEGACY TRADITIONAL SCHOOL - NORTH CHANDLER,CHARTER,1900 N MCQUEEN RD,CHANDLER,MARICOPA,85225.0,NO,65,86%,94%,94%,94%,94%,11%,6%,6%,6%,6%,2017,
2879,LEGACY TRADITIONAL SCHOOL - NORTHWEST TUCSON,CHARTER,3500 W CORTARO FARMS RD,TUCSON,PIMA,85742.0,NO,123,94%,93%,97%,98%,97%,6%,7%,3%,2%,3%,2017,
2880,LEGACY TRADITIONAL SCHOOL - PEORIA,CHARTER,7877 W. HILLCREST BLVD,PEORIA,MARICOPA,85383.0,YES,< 20 ,,,,,,,,,,,2017,
2881,LEGACY TRADITIONAL SCHOOL SURPRISE,CHARTER,14506 W SWEETWATER AVE,SURPRISE,MARICOPA,85379.0,NO,219,90%,97%,96%,96%,97%,8%,3%,4%,4%,3%,2017,
2882,LEGACY TRADITIONAL SCHOOL-QUEEN CREEK,CHARTER,41800 N. BARNES PKWY,QUEEN CREEK,PINAL,85140.0,NO,111,86%,90%,88%,91%,92%,12%,10%,12%,9%,8%,2017,
2883,LEGEND SPRINGS ELEMENTARY,PUBLIC,21150 N ARROWHEAD LOOP,GLENDALE,MARICOPA,85308.0,NO,88,95%,99%,97%,98%,99%,3%,1%,3%,2%,1%,2017,
2884,LEHI ELEMENTARY SCHOOL,PUBLIC,2555 N STAPLEY DR,MESA,MARICOPA,85203.0,YES,60,98%,100%,100%,100%,100%,2%,0%,0%,0%,0%,2017,
2885,LEMAN ACADEMY OF EXCELLENCE - MARANA,CHARTER,"7720 N SILVERBELL RD, BLDG 1 & 2",TUCSON,PIMA,85743.0,YES,107,93%,96%,96%,96%,100%,3%,4%,4%,3%,0%,2017,
2886,LEMAN ACADEMY OF EXCELLENCE - ORO VALLEY,CHARTER,12255 N LA CAÑADA DRIVE,ORO VALLEY,PIMA,85755.0,YES,74,95%,97%,100%,100%,100%,4%,3%,0%,0%,0%,2017,
2887,LEMAN ACADEMY OF EXCELLENCE - SIERRA VISTA,CHARTER,1000 E. WILCOX DR,SIERRA VISTA,COCHISE,85635.0,NO,28,96%,96%,96%,96%,96%,4%,4%,4%,4%,4%,2017,
2888,LEONOR HAMBLY K-8,PUBLIC,824 THORNE AVE,WINKLEMAN,GILA,85292.0,NO,< 20 ,,,,,,,,,,,2017,
2889,LIBERTY ARTS ACADEMY,CHARTER,3015 S POWER RD,MESA,MARICOPA,85212.0,NO,21,81%,95%,95%,95%,95%,10%,5%,5%,5%,5%,2017,
2890,LIBERTY ELEMENTARY SCHOOL,PUBLIC,19818 W HWY 85,BUCKEYE,MARICOPA,85326.0,YES,60,97%,97%,98%,97%,98%,2%,3%,2%,3%,2%,2017,
2891,LIBERTY ELEMENTARY SCHOOL,PUBLIC,5125 E MARILYN RD,SCOTTSDALE,MARICOPA,85254.0,YES,75,95%,99%,99%,99%,99%,3%,1%,1%,1%,1%,2017,
2892,LIBERTY ELEMENTARY SCHOOL,PUBLIC,5495 S LIBERTY AVE,TUCSON,PIMA,85706.0,YES,96,98%,100%,100%,100%,100%,0%,0%,0%,0%,0%,2017,
2893,LIBERTY TRADITIONAL CHARTER SCHOOL,CHARTER,4901 W INDIAN SCHOOL RD,PHOENIX,MARICOPA,85031.0,NO,52,88%,100%,100%,100%,98%,0%,0%,0%,0%,0%,2017,
2894,LIBERTY TRADITIONAL SCHOOL,PUBLIC,3300 N LAKE VALLEY RD,PRESCOTT VALLEY,YAVAPAI,86314.0,YES,77,92%,94%,94%,95%,94%,6%,6%,6%,5%,6%,2017,
2895,LINCOLN ELEMENTARY SCHOOL,PUBLIC,930 S SIRRINE,MESA,MARICOPA,85210.0,YES,129,98%,100%,100%,100%,100%,2%,0%,0%,0%,0%,2017,
2896,LINDBERGH ELEMENTARY SCHOOL,PUBLIC,930 S LAZONA DR,MESA,MARICOPA,85204.0,YES,49,98%,100%,100%,100%,100%,0%,0%,0%,0%,0%,2017,
2897,LITTLE RED SCHOOLHOUSE,PUBLIC,HWY 82 & DUQUESNE RD,NOGALES,SANTA CRUZ,85621.0,NO,27,100%,100%,100%,100%,100%,0%,0%,0%,0%,0%,2017,
2898,LOGOS CHRISTIAN ACADEMY,PRIVATE,9745 N TREKELL RD,CASA GRANDE,PINAL,85122.0,NO,< 20 ,,,,,,,,,,,2017,
2899,LOMA LINDA ELEMENTARY SCHOOL,PUBLIC,2002 E CLARENDON AVE,PHOENIX,MARICOPA,85016.0,YES,67,100%,100%,100%,100%,100%,0%,0%,0%,0%,0%,2017,
